,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,NO3.N,pref,crop,NO3.N,pref,crop
method,fold,,,,,,
M,fold1,0.4905264973640442,0.7966101694915254,0.8305084745762712,1.0613917112350464,0.7132931882931883,0.7133988968547792
S,fold1,0.5465607643127441,,,0.9446549415588379,,
R,fold1,-9.155600256180781,,,21.15727306783307,,
X,fold1,-12.60307502746582,,,28.339433670043945,,
S,fold1,-4.39140965247014,,,11.23198268545863,,
S,fold1,,0.847457627118644,,,0.7804827969301655,
R,fold1,,0.7966101694915254,,,0.7210287679799875,
X,fold1,,0.7796610169491526,,,0.696513209013209,
S,fold1,,0.288135593220339,,,0.03728070175438596,
S,fold1,,,0.8135593220338984,,,0.7111111111111111
R,fold1,,,0.7457627118644068,,,0.6075501253132832
X,fold1,,,0.7627118644067796,,,0.6339354273177803
S,fold1,,,0.5254237288135594,,,0.18090260071392147
M,fold2,0.5038201212882996,0.7966101694915254,0.7966101694915254,1.8478107452392578,0.6581365604092876,0.6989795918367346
S,fold2,0.5129191875457764,,,1.8139251470565796,,
R,fold2,-3.6650817438646692,,,17.373109059726293,,
X,fold2,-4.156890392303467,,,19.20464324951172,,
S,fold2,-1.31677530711218,,,8.627842401749003,,
S,fold2,,0.7796610169491526,,,0.6359307359307359,
R,fold2,,0.8135593220338984,,,0.6715448073938639,
X,fold2,,0.7627118644067796,,,0.6397918579736761,
S,fold2,,0.4576271186440678,,,0.05708245243128964,
S,fold2,,,0.8135593220338984,,,0.7112244897959182
R,fold2,,,0.7457627118644068,,,0.6385745207173779
X,fold2,,,0.7457627118644068,,,0.6999270570699141
S,fold2,,,0.576271186440678,,,0.20789915966386555
M,fold3,0.5095146894454956,0.864406779661017,0.7966101694915254,2.18658709526062,0.8292989417989417,0.684256903006903
S,fold3,0.5617862939834595,,,1.9535598754882812,,
R,fold3,-1.4181738949726008,,,10.780236168214804,,
X,fold3,-1.8527629375457764,,,12.71763801574707,,
S,fold3,-0.3917522055842253,,,6.204441084664752,,
S,fold3,,0.8983050847457628,,,0.8808501683501683,
R,fold3,,0.847457627118644,,,0.7016835016835016,
X,fold3,,0.7627118644067796,,,0.7130434782608694,
S,fold3,,0.4067796610169492,,,0.07247652582159624,
S,fold3,,,0.7796610169491526,,,0.6608321062589355
R,fold3,,,0.7796610169491526,,,0.6305501930501931
X,fold3,,,0.7796610169491526,,,0.6415849915849916
S,fold3,,,0.6271186440677966,,,0.19583333333333333
M,fold4,0.5665233135223389,0.9322033898305084,0.847457627118644,1.3234997987747192,0.9025836496510983,0.6738699840401277
S,fold4,0.601517915725708,,,1.21665358543396,,
R,fold4,-2.966676615338335,,,12.111137681077713,,
X,fold4,-2.45623779296875,,,10.552656173706055,,
S,fold4,-1.2510026213060157,,,6.872806964320352,,
S,fold4,,0.8305084745762712,,,0.7446789321789321,
R,fold4,,0.8813559322033898,,,0.8589979491307765,
X,fold4,,0.7796610169491526,,,0.7257012695774123,
S,fold4,,0.2711864406779661,,,0.03878787878787879,
S,fold4,,,0.8813559322033898,,,0.7030108976519491
R,fold4,,,0.8305084745762712,,,0.6245098039215686
X,fold4,,,0.8305084745762712,,,0.6452623034859877
S,fold4,,,0.5254237288135594,,,0.1681184668989547
M,fold5,0.7090966701507568,0.8813559322033898,0.8813559322033898,1.5861201286315918,0.8769508269508269,0.7973560965888332
S,fold5,0.6625329256057739,,,1.8400042057037354,,
R,fold5,-1.8741064137551717,,,15.670767161889719,,
X,fold5,-2.2156827449798584,,,17.533174514770508,,
S,fold5,-0.6888940256473497,,,9.208519528143235,,
S,fold5,,0.8983050847457628,,,0.890162125456243,
R,fold5,,0.8813559322033898,,,0.7683823529411765,
X,fold5,,0.864406779661017,,,0.7715277777777777,
S,fold5,,0.4576271186440678,,,0.09059525054922063,
S,fold5,,,0.8813559322033898,,,0.7973560965888332
R,fold5,,,0.864406779661017,,,0.7499849170437406
X,fold5,,,0.8983050847457628,,,0.862012987012987
S,fold5,,,0.559322033898305,,,0.21929181929181926
