,,accuracy,accuracy,Loss,Loss
,,NO3.N,pref,NO3.N,pref
method,fold,,,,
M,fold1,0.312836229801178,0.8333333333333334,2.3285226821899414,0.7816993464052288
S,fold1,0.3869757652282715,,2.077293634414673,
R,fold1,-6.287859383653542,,24.6956370981624,
X,fold1,-6.2660813331604,,24.621837615966797,
S,fold1,-2.3970616529526354,,11.511281621263258,
S,fold1,,0.8166666666666667,,0.7448051948051949
R,fold1,,0.8166666666666667,,0.7489446350295408
X,fold1,,0.8333333333333334,,0.7859846502703646
S,fold1,,0.43333333333333335,,0.06874999999999999
M,fold2,0.6152173280715942,0.7833333333333333,2.049574375152588,0.5925284821561417
S,fold2,0.6249871253967285,,1.9975348711013794,
R,fold2,-2.5752688608114713,,19.043946616320117,
X,fold2,-3.3778247833251953,,23.31882095336914,
S,fold2,-1.0312560295970106,,10.819642633237937,
S,fold2,,0.75,,0.5821861471861473
R,fold2,,0.8,,0.6329450972308116
X,fold2,,0.7333333333333333,,0.5633743901601044
S,fold2,,0.4166666666666667,,0.07655826558265583
M,fold3,-0.823767900466919,0.8666666666666667,9.666643142700195,0.8460116411988069
S,fold3,0.6163486838340759,,2.033493757247925,
R,fold3,-3.7903302694602816,,25.390514423466055,
X,fold3,-3.819974422454834,,25.547643661499023,
S,fold3,-1.3051487828796673,,12.218137399226915,
S,fold3,,0.6333333333333333,,0.4226010565723484
R,fold3,,0.8166666666666667,,0.7946719946719948
X,fold3,,0.8333333333333334,,0.7384520884520885
S,fold3,,0.3333333333333333,,0.0650662468844287
M,fold4,0.5413554906845093,0.8333333333333334,3.0931172370910645,0.8222014097014098
S,fold4,0.6105223894119263,,2.626652956008911,
R,fold4,-2.415654004977347,,23.03530471007481,
X,fold4,-2.3327677249908447,,22.476322174072266,
S,fold4,-0.8346087828623954,,12.372673659402173,
S,fold4,,0.7833333333333333,,0.7636668342550696
R,fold4,,0.8,,0.8006879816090343
X,fold4,,0.7666666666666667,,0.7364951489951489
S,fold4,,0.26666666666666666,,0.03508771929824561
M,fold5,0.6349210739135742,0.847457627118644,2.4691362380981445,0.8196649029982362
S,fold5,0.5965093374252319,,2.728925943374634,
R,fold5,-3.4811070167885223,,30.30704390714524,
X,fold5,-3.2634544372558594,,28.83499526977539,
S,fold5,-0.6676833641731257,,11.279032781822062,
S,fold5,,0.6779661016949152,,0.456608381136683
R,fold5,,0.8135593220338984,,0.7539623025472082
X,fold5,,0.847457627118644,,0.7738366571699906
S,fold5,,0.4745762711864407,,0.07088353413654619
