,,accuracy,accuracy,Loss,Loss
,,NO3.N,soiltype,NO3.N,soiltype
method,fold,,,,
M,fold1,0.5869923830032349,0.85,2.736917018890381,0.2956241177656786
S,fold1,0.5924488306045532,,2.700758457183838,
R,fold1,-4.537199023958352,,36.6938860371315,
X,fold1,-3.57895565032959,,30.34380531311035,
S,fold1,-1.5507493175700455,,16.90329431238269,
S,fold1,,0.8333333333333334,,0.2898989898989899
R,fold1,,0.7666666666666667,,0.26666666666666666
X,fold1,,0.7833333333333333,,0.2749871597329225
S,fold1,,0.6666666666666666,,0.22812633376013658
M,fold2,0.5402634143829346,0.8813559322033898,2.8163113594055176,0.4438035596572182
S,fold2,0.5380645990371704,,2.8297812938690186,
R,fold2,-4.557938523968606,,34.04750530517976,
X,fold2,-4.779072284698486,,35.402156829833984,
S,fold2,-0.8759621850855805,,11.492000527456481,
S,fold2,,0.864406779661017,,0.4352576647097195
R,fold2,,0.8305084745762712,,0.41650358773646445
X,fold2,,0.8305084745762712,,0.4141666666666667
S,fold2,,0.7288135593220338,,0.3318965517241379
M,fold3,0.6334723234176636,0.864406779661017,1.0749716758728027,0.3547489413188143
S,fold3,0.6271069049835205,,1.0936403274536133,
R,fold3,-13.996189536394793,,43.98161562631047,
X,fold3,-18.61619758605957,,57.53141403198242,
S,fold3,-3.719293984106211,,13.84099430943965,
S,fold3,,0.864406779661017,,0.3547489413188143
R,fold3,,0.7966101694915254,,0.32727272727272727
X,fold3,,0.8305084745762712,,0.3412121212121212
S,fold3,,0.7627118644067796,,0.3111940298507463
M,fold4,0.7202354073524475,0.7966101694915254,1.515051245689392,0.28225108225108225
S,fold4,0.7319948673248291,,1.4513683319091797,
R,fold4,-7.149216372773489,,44.13168264299687,
X,fold4,-6.1772356033325195,,38.86796188354492,
S,fold4,-1.590002657742775,,14.026032701488026,
S,fold4,,0.7966101694915254,,0.2823261858349578
R,fold4,,0.7627118644067796,,0.27030539311241064
X,fold4,,0.7796610169491526,,0.27619047619047615
S,fold4,,0.7288135593220338,,0.25786790780141844
M,fold5,0.533818244934082,0.6949152542372882,2.924997568130493,0.29538043478260867
S,fold5,0.5141924619674683,,3.0481371879577637,
R,fold5,-3.9187248319748313,,30.86190427615108,
X,fold5,-4.576995849609375,,34.99214553833008,
S,fold5,-1.3172267376943192,,14.539140164941406,
S,fold5,,0.6949152542372882,,0.29538043478260867
R,fold5,,0.6779661016949152,,0.2885511651469098
X,fold5,,0.6779661016949152,,0.29032901296111663
S,fold5,,0.6440677966101694,,0.2708683473389356
