,,accuracy,Loss
,,area,area
method,fold,,
M,fold1,0.7833333333333333,0.4392523364485981
S,fold1,0.7833333333333333,0.4392523364485981
R,fold1,0.9666666666666667,0.9509001636661212
X,fold1,0.9833333333333333,0.9761051373954599
S,fold1,0.9666666666666667,0.9509001636661212
M,fold2,0.8333333333333334,0.45454545454545453
S,fold2,0.8333333333333334,0.45454545454545453
R,fold2,0.9833333333333333,0.9687337154768108
X,fold2,1.0,1.0
S,fold2,0.9833333333333333,0.9687337154768108
M,fold3,0.7166666666666667,0.4174757281553398
S,fold3,0.7166666666666667,0.4174757281553398
R,fold3,1.0,1.0
X,fold3,0.9833333333333333,0.9791013584117032
S,fold3,0.9833333333333333,0.9791013584117032
M,fold4,0.6333333333333333,0.3877551020408163
S,fold4,0.6333333333333333,0.3877551020408163
R,fold4,0.9666666666666667,0.9633699633699633
X,fold4,0.9666666666666667,0.9633699633699633
S,fold4,0.9666666666666667,0.9633699633699633
M,fold5,0.7288135593220338,0.4215686274509804
S,fold5,0.7288135593220338,0.4215686274509804
R,fold5,0.9661016949152542,0.9571220930232558
X,fold5,0.9661016949152542,0.9571220930232558
S,fold5,0.9830508474576272,0.9781238413051538
