,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,Available.P,crop,pH,Available.P,crop
method,fold,,,,,,
M,fold1,0.710305392742157,0.4923354983329773,0.7833333333333333,0.12736459076404572,6136.7880859375,0.7663990368258661
S,fold1,0.7041330337524414,,,0.1300782710313797,,
R,fold1,-33.917306359920175,,,15.351436368001321,,
X,fold1,-33.901832580566406,,,15.344633102416992,,
S,fold1,-33.543517999460576,,,15.18709985900641,,
S,fold1,,0.4903774857521057,,,6160.45751953125,
R,fold1,,-6573.315842619133,,,79472144.60457818,
X,fold1,,-5712.13623046875,,,69061960.0,
S,fold1,,-1102.2397246421374,,,13336266.317157269,
S,fold1,,,0.7833333333333333,,,0.7674441458924217
R,fold1,,,0.6833333333333333,,,0.49238116534628157
X,fold1,,,0.75,,,0.6670704539125591
S,fold1,,,0.5333333333333333,,,0.1874657909140668
M,fold2,-2.1775972843170166,0.3258938789367676,0.85,1.3862464427947998,7062.29931640625,0.8185132085376883
S,fold2,0.6272616386413574,,,0.16260942816734314,,
R,fold2,-34.92284277856773,,,15.671562863613731,,
X,fold2,-35.02650833129883,,,15.71678638458252,,
S,fold2,-34.813290163859044,,,15.623769856282342,,
S,fold2,,0.48310399055480957,,,5415.28125,
R,fold2,,-8881.355467362628,,,93056352.00639184,
X,fold2,,-10994.4072265625,,,115193824.0,
S,fold2,,-1171.357078111729,,,12282245.778027045,
S,fold2,,,0.6,,,0.35273809523809524
R,fold2,,,0.8,,,0.6693896216424376
X,fold2,,,0.7833333333333333,,,0.7532179808495598
S,fold2,,,0.5,,,0.17329545454545453
M,fold3,0.5338702201843262,0.13032519817352295,0.8833333333333333,0.1605558544397354,6156.17724609375,0.8064713064713064
S,fold3,0.5224749445915222,,,0.16448090970516205,,
R,fold3,-49.173541967206496,,,17.282003655412833,,
X,fold3,-48.414005279541016,,,17.0203857421875,,
S,fold3,-48.844761969199304,,,17.1687571732111,,
S,fold3,,0.4462214708328247,,,3920.038330078125,
R,fold3,,-9416.384456747874,,,66662942.752765544,
X,fold3,,-13717.65234375,,,97110384.0,
S,fold3,,-2035.6070713687416,,,14416552.837157544,
S,fold3,,,0.45,,,0.3064247921390778
R,fold3,,,0.8166666666666667,,,0.6744089244089244
X,fold3,,,0.8333333333333334,,,0.7476237686764003
S,fold3,,,0.5833333333333334,,,0.2153061224489796
M,fold4,0.8307980298995972,0.4571545720100403,0.8833333333333333,0.06045624241232872,4655.7001953125,0.8701617826617827
S,fold4,0.8285703659057617,,,0.061252184212207794,,
R,fold4,-52.02383198585659,,,18.945531870282455,,
X,fold4,-51.67991256713867,,,18.822649002075195,,
S,fold4,-52.5347451743141,,,19.12808227700242,,
S,fold4,,0.42035192251205444,,,4971.33740234375,
R,fold4,,-6330.893809755276,,,54305331.74925012,
X,fold4,,-7243.19580078125,,,62129664.0,
S,fold4,,-1744.5925447924085,,,14971031.588988896,
S,fold4,,,0.7833333333333333,,,0.6982712765957446
R,fold4,,,0.8166666666666667,,,0.6091269841269841
X,fold4,,,0.85,,,0.7705357142857143
S,fold4,,,0.5666666666666667,,,0.17841312056737588
M,fold5,0.49050021171569824,-0.2768803834915161,0.847457627118644,0.2619590163230896,3885.1357421875,0.7916666666666666
S,fold5,0.47856009006500244,,,0.26809805631637573,,
R,fold5,-30.961461400497807,,,16.43296732627842,,
X,fold5,-30.98838996887207,,,16.446813583374023,,
S,fold5,-30.655452562413295,,,16.275633055020194,,
S,fold5,,-0.17120110988616943,,,3563.587890625,
R,fold5,,-26403.050249645745,,,80339026.05146487,
X,fold5,,-28442.439453125,,,86544224.0,
S,fold5,,-4427.628368213938,,,13474890.650572427,
S,fold5,,,0.864406779661017,,,0.8017492711370261
R,fold5,,,0.8305084745762712,,,0.7023645320197044
X,fold5,,,0.8135593220338984,,,0.7068236525379383
S,fold5,,,0.6440677966101694,,,0.22835497835497837
