Metric,Model,pH,Available.P,crop
R2,MT,0.078±1.134,0.226±0.282,0.849±0.037
R2,ST,0.632±0.126,0.334±0.254,0.696±0.151
R2,RF,-40.200±8.637,-11521.000±7540.416,0.789±0.054
R2,SVR,-40.078±8.846,-2096.285±1217.058,0.565±0.049
R2,XGB,-40.002±8.371,-13221.966±8111.890,0.806±0.036
MSE,MT,0.399±0.498,5579.220±1145.958,0.811±0.034
MSE,ST,0.157±0.067,4806.140±955.158,0.585±0.212
MSE,RF,16.737±1.290,74767159.433±13206376.250,0.630±0.075
MSE,SVR,16.677±1.396,13696197.434±929720.433,0.197±0.022
MSE,XGB,16.670±1.222,86008011.200±19145265.686,0.729±0.037
