,,accuracy,accuracy,Loss,Loss
,,pH,Available.P,pH,Available.P
method,fold,,,,
M,fold1,0.7003080248832703,0.52195805311203,0.13175995647907257,5778.70263671875
S,fold1,0.7187900543212891,,0.12363428622484207,
R,fold1,-33.8096645422112,,15.304111511437013,
X,fold1,-33.901832580566406,,15.344633102416992,
S,fold1,-33.543517999460576,,15.18709985900641,
S,fold1,,0.5417298078536987,,5539.6962890625
R,fold1,,-6693.025435292569,,80919227.2040823
X,fold1,,-5712.13623046875,,69061960.0
S,fold1,,-1102.2397246421374,,13336266.317157269
M,fold2,0.6715696454048157,0.4664419889450073,0.1432797759771347,5589.841796875
S,fold2,0.6349834203720093,,0.1592407375574112,
R,fold2,-34.69785154780194,,15.5734090443728,
X,fold2,-35.02650833129883,,15.71678638458252,
S,fold2,-34.813290163859044,,15.623769856282342,
S,fold2,,0.4041595458984375,,6242.34619140625
R,fold2,,-9389.220301640578,,98377018.23776363
X,fold2,,-10994.4072265625,,115193824.0
S,fold2,,-1171.357078111729,,12282245.778027045
M,fold3,0.5433493852615356,0.41262543201446533,0.15729083120822906,4157.85498046875
S,fold3,0.5361495018005371,,0.15977077186107635,
R,fold3,-49.095833095415195,,17.255237257153905,
X,fold3,-48.414005279541016,,17.0203857421875,
S,fold3,-48.844761969199304,,17.1687571732111,
S,fold3,,0.4238378405570984,,4078.485595703125
R,fold3,,-9484.53315853448,,67145347.71634549
X,fold3,,-13717.65234375,,97110384.0
S,fold3,,-2035.6070713687416,,14416552.837157544
M,fold4,0.8222655057907104,0.5168775320053101,0.06350492686033249,4143.4873046875
S,fold4,0.7860151529312134,,0.07645724713802338,
R,fold4,-51.914853031287436,,18.906593449959857,
X,fold4,-51.67991256713867,,18.822649002075195,
S,fold4,-52.5347451743141,,19.12808227700242,
S,fold4,,0.4450411796569824,,4759.5908203125
R,fold4,,-5926.482914408424,,50836911.63756304
X,fold4,,-7243.19580078125,,62129664.0
S,fold4,,-1744.5925447924085,,14971031.588988896
M,fold5,0.4396247863769531,-0.2836310863494873,0.28811660408973694,3905.676025390625
S,fold5,0.48432087898254395,,0.26513612270355225,
R,fold5,-31.05586128493193,,16.48150297354035,
X,fold5,-30.98838996887207,,16.446813583374023,
S,fold5,-30.655452562413295,,16.275633055020194,
S,fold5,,-0.022165298461914062,,3110.11962890625
R,fold5,,-24915.19777826614,,75811969.88664387
X,fold5,,-28442.439453125,,86544224.0
S,fold5,,-4427.628368213938,,13474890.650572427
