Metric,Model,pH,Available_P,EC,NH4_N,NO3_N,Exchangeable_K
R2,MT,0.806±0.057,0.651±0.074,0.667±0.036,0.550±0.076,0.676±0.045,0.609±0.042
R2,MT_comp,0.789±0.080,0.660±0.069,0.660±0.047,0.632±0.037,0.684±0.064,0.604±0.050
R2,ST,0.818±0.066,0.678±0.078,0.700±0.048,0.751±0.067,0.736±0.086,0.651±0.065
R2,RF,0.812±0.058,0.633±0.100,0.715±0.066,0.607±0.120,0.745±0.079,0.653±0.041
R2,SVR,0.835±0.060,0.691±0.075,0.719±0.040,0.731±0.046,0.746±0.060,0.670±0.057
R2,XGB,0.775±0.056,0.535±0.056,0.685±0.068,0.570±0.146,0.667±0.131,0.590±0.033
MSE,MT,0.277±0.038,44.021±7.938,0.027±0.002,0.401±0.075,1.157±0.136,12.716±0.361
MSE,MT_comp,0.303±0.056,46.155±6.635,0.026±0.002,0.392±0.047,1.160±0.118,13.165±0.967
MSE,ST,0.276±0.036,39.829±6.304,0.025±0.001,0.349±0.054,1.155±0.221,12.124±0.635
MSE,RF,0.259±0.030,41.646±4.944,0.025±0.001,0.358±0.044,1.028±0.115,12.122±0.430
MSE,SVR,0.247±0.037,36.822±9.261,0.024±0.002,0.331±0.067,0.952±0.133,11.754±0.631
MSE,XGB,0.281±0.028,46.534±4.764,0.026±0.001,0.356±0.053,1.097±0.171,13.080±0.690
