,,accuracy,accuracy,Loss,Loss
,,pH,area,pH,area
method,fold,,,,
M,fold1,0.6845591068267822,1.0,0.1319953054189682,1.0
S,fold1,0.6922124624252319,,0.12879277765750885,
R,fold1,-35.77379140107388,,15.387882178372916,
X,fold1,-35.77127456665039,,15.38683032989502,
S,fold1,-35.15846496049586,,15.130400683860072,
S,fold1,,1.0,,1.0
R,fold1,,0.9833333333333333,,0.9761051373954599
X,fold1,,0.9833333333333333,,0.9761051373954599
S,fold1,,0.9666666666666667,,0.9509001636661212
M,fold2,0.6445725560188293,1.0,0.13657531142234802,1.0
S,fold2,0.641777515411377,,0.1376493275165558,
R,fold2,-41.1341474462887,,16.1903203283125,
X,fold2,-40.63595199584961,,15.998886108398438,
S,fold2,-40.62995998842081,,15.996583016817002,
S,fold2,,1.0,,1.0
R,fold2,,0.9833333333333333,,0.9687337154768108
X,fold2,,1.0,,1.0
S,fold2,,0.9833333333333333,,0.9687337154768108
M,fold3,0.6485369205474854,1.0,0.13092361390590668,1.0
S,fold3,0.6204495429992676,,0.14138644933700562,
R,fold3,-45.58652269419975,,17.353960403504097,
X,fold3,-45.45804214477539,,17.30609703063965,
S,fold3,-45.32936455351904,,17.258166342631476,
S,fold3,,0.9833333333333333,,0.9798319327731093
R,fold3,,1.0,,1.0
X,fold3,,0.9833333333333333,,0.9791013584117032
S,fold3,,0.9833333333333333,,0.9791013584117032
M,fold4,0.8139588832855225,0.9833333333333333,0.06508605182170868,0.9818785865297492
S,fold4,0.8593704700469971,,0.04919891804456711,
R,fold4,-53.54075645507302,,19.08095385362007,
X,fold4,-53.899295806884766,,19.206388473510742,
S,fold4,-54.19912768451837,,19.31128346149681,
S,fold4,,0.9833333333333333,,0.9818785865297492
R,fold4,,0.9666666666666667,,0.9633699633699633
X,fold4,,0.9666666666666667,,0.9633699633699633
S,fold4,,0.9666666666666667,,0.9633699633699633
M,fold5,0.4769706130027771,1.0,0.2997462749481201,1.0
S,fold5,0.4955283999443054,,0.2891108989715576,
R,fold5,-26.20743868504657,,15.59248497666126,
X,fold5,-26.11931610107422,,15.541983604431152,
S,fold5,-25.554257361718562,,15.218149116203168,
S,fold5,,1.0,,1.0
R,fold5,,0.9830508474576272,,0.9781238413051538
X,fold5,,0.9661016949152542,,0.9571220930232558
S,fold5,,0.9830508474576272,,0.9781238413051538
