,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,crop,pref,pH,crop,pref
method,fold,,,,,,
M,fold1,0.7128123044967651,0.75,0.8666666666666667,0.12016648799180984,0.761518204018204,0.842609269815152
M,fold1,0.7159414291381836,,,0.11885719746351242,,
R,fold1,-35.256669420711276,,,15.17069516964409,,
X,fold1,-35.46232223510742,,,15.256745338439941,,
S,fold1,-34.67148427492088,,,14.925839102982914,,
M,fold1,,0.75,,,0.7581592662080466,
R,fold1,,0.7,,,0.5710393772893773,
X,fold1,,0.7666666666666667,,,0.6799937343358395,
S,fold1,,0.5,,,0.18253968253968253,
M,fold1,,,0.8833333333333333,,,0.8728609625668448
R,fold1,,,0.85,,,0.8347671458520515
X,fold1,,,0.8666666666666667,,,0.7867137764196587
S,fold1,,,0.4166666666666667,,,0.0496031746031746
M,fold2,0.7271745204925537,0.8333333333333334,0.8333333333333334,0.12521669268608093,0.7963423392612858,0.7492648555148556
M,fold2,0.7318381071090698,,,0.12307628244161606,,
R,fold2,-29.893351694888562,,,14.178893785949375,,
X,fold2,-29.662242889404297,,,14.072824478149414,,
S,fold2,-29.82640240234257,,,14.148166562907042,,
M,fold2,,0.8333333333333334,,,0.7963423392612858,
R,fold2,,0.7666666666666667,,,0.6326797385620915,
X,fold2,,0.7833333333333333,,,0.758829365079365,
S,fold2,,0.5333333333333333,,,0.1806451612903226,
M,fold2,,,0.8,,,0.6937333499833499
R,fold2,,,0.8,,,0.7072897340754484
X,fold2,,,0.8166666666666667,,,0.737773569023569
S,fold2,,,0.4,,,0.047619047619047616
M,fold3,0.6909801363945007,0.8833333333333333,0.8666666666666667,0.13077327609062195,0.7781769434156215,0.8528273162244453
M,fold3,0.7170684337615967,,,0.1197330430150032,,
R,fold3,-36.20850020697289,,,15.746161669718694,,
X,fold3,-36.34113311767578,,,15.802291870117188,,
S,fold3,-35.61771176307058,,,15.496147552015987,,
M,fold3,,0.8833333333333333,,,0.7948051948051947,
R,fold3,,0.85,,,0.6665079106939572,
X,fold3,,0.8,,,0.6425196182846121,
S,fold3,,0.65,,,0.22683982683982684,
M,fold3,,,0.7833333333333333,,,0.7085172403354221
R,fold3,,,0.7333333333333333,,,0.7017482517482517
X,fold3,,,0.7666666666666667,,,0.7094388864723793
S,fold3,,,0.31666666666666665,,,0.06240786240786242
M,fold4,0.7539594173431396,0.8305084745762712,0.8305084745762712,0.07731039077043533,0.6905753968253968,0.7589710044255498
M,fold4,0.8085459470748901,,,0.06015833467245102,,
R,fold4,-55.734411348894824,,,17.826977270833325,,
X,fold4,-55.95419692993164,,,17.896038055419922,,
S,fold4,-55.818221221193554,,,17.853311847204495,,
M,fold4,,0.847457627118644,,,0.8378968253968254,
R,fold4,,0.8305084745762712,,,0.6621696810908271,
X,fold4,,0.8305084745762712,,,0.7691697191697191,
S,fold4,,0.5084745762711864,,,0.17098058735689398,
M,fold4,,,0.7796610169491526,,,0.7265417878499918
R,fold4,,,0.847457627118644,,,0.8230786139877048
X,fold4,,,0.7627118644067796,,,0.7030829530829531
S,fold4,,,0.2711864406779661,,,0.03878787878787879
M,fold5,0.7846118807792664,0.8983050847457628,0.847457627118644,0.07455453276634216,0.8502877012874116,0.8262085137085137
M,fold5,0.7833314538002014,,,0.07499774545431137,,
R,fold5,-47.69080325651568,,,16.85385506043225,,
X,fold5,-47.3364372253418,,,16.7311954498291,,
S,fold5,-47.20644921154906,,,16.68620054816644,,
M,fold5,,0.8813559322033898,,,0.7905591945000812,
R,fold5,,0.8813559322033898,,,0.7609843937575029,
X,fold5,,0.847457627118644,,,0.7309837781266353,
S,fold5,,0.6271186440677966,,,0.22770562770562772,
M,fold5,,,0.8305084745762712,,,0.8095418470418471
R,fold5,,,0.864406779661017,,,0.832411415744749
X,fold5,,,0.864406779661017,,,0.8265842386125404
S,fold5,,,0.4576271186440678,,,0.052941176470588235
