,,accuracy,accuracy,Loss,Loss
,,pH,crop,pH,crop
method,fold,,,,
M,fold1,0.7153262495994568,0.7666666666666667,0.1251571625471115,0.7434192388460681
S,fold1,0.7163889408111572,,0.12468995898962021,
R,fold1,-33.83648878487295,,15.315904822470142,
X,fold1,-33.901832580566406,,15.344633102416992,
S,fold1,-33.543517999460576,,15.18709985900641,
S,fold1,,0.6833333333333333,,0.5165323294591587
R,fold1,,0.7,,0.5255771360422523
X,fold1,,0.75,,0.6670704539125591
S,fold1,,0.5333333333333333,,0.1874657909140668
M,fold2,0.6873138546943665,0.85,0.13641126453876495,0.8248543123543123
S,fold2,0.6937238574028015,,0.13361485302448273,
R,fold2,-34.618684658326416,,15.538871998048823,
X,fold2,-35.02650833129883,,15.71678638458252,
S,fold2,-34.813290163859044,,15.623769856282342,
S,fold2,,0.75,,0.6521561771561772
R,fold2,,0.7833333333333333,,0.7353717204781034
X,fold2,,0.7833333333333333,,0.7532179808495598
S,fold2,,0.5,,0.17329545454545453
M,fold3,0.5460698008537292,0.8833333333333333,0.15635378658771515,0.8010020224305938
S,fold3,0.5573904514312744,,0.1524544358253479,
R,fold3,-49.217808645375264,,17.297251071958105,
X,fold3,-48.414005279541016,,17.0203857421875,
S,fold3,-48.844761969199304,,17.1687571732111,
S,fold3,,0.35,,0.31713524570667423
R,fold3,,0.8666666666666667,,0.7684981684981685
X,fold3,,0.8333333333333334,,0.7476237686764003
S,fold3,,0.5833333333333334,,0.2153061224489796
M,fold4,0.8339040875434875,0.9,0.05934643745422363,0.8893925518925518
S,fold4,0.7963480353355408,,0.0727652832865715,
R,fold4,-51.96068954216618,,18.922970936179777,
X,fold4,-51.67991256713867,,18.822649002075195,
S,fold4,-52.5347451743141,,19.12808227700242,
S,fold4,,0.7666666666666667,,0.5803030303030303
R,fold4,,0.8,,0.5820916538658474
X,fold4,,0.85,,0.7705357142857143
S,fold4,,0.5666666666666667,,0.17841312056737588
M,fold5,0.471341609954834,0.864406779661017,0.2718094289302826,0.8054811714206507
S,fold5,0.4374762773513794,,0.28922125697135925,
R,fold5,-31.019177020537114,,16.462641779722123,
X,fold5,-30.98838996887207,,16.446813583374023,
S,fold5,-30.655452562413295,,16.275633055020194,
S,fold5,,0.8135593220338984,,0.6240752711340948
R,fold5,,0.8813559322033898,,0.680529762285568
X,fold5,,0.8135593220338984,,0.7068236525379383
S,fold5,,0.6440677966101694,,0.22835497835497837
