,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,pref,area,pH,pref,area
method,fold,,,,,,
M,fold1,0.6851440668106079,0.6666666666666666,0.9833333333333333,0.13175052404403687,0.4328192073475092,0.9761051373954599
S,fold1,0.6924834847450256,,,0.12867936491966248,,
R,fold1,-35.61627472711111,,,15.321969800896452,,
X,fold1,-35.77127456665039,,,15.38683032989502,,
S,fold1,-35.15846496049586,,,15.130400683860072,,
S,fold1,,0.7666666666666667,,,0.677955747955748,
R,fold1,,0.8,,,0.7395021645021645,
X,fold1,,0.8166666666666667,,,0.7186202686202686,
S,fold1,,0.43333333333333335,,,0.050387596899224806,
S,fold1,,,1.0,,,1.0
R,fold1,,,0.9666666666666667,,,0.9534161490683231
X,fold1,,,0.9833333333333333,,,0.9761051373954599
S,fold1,,,0.9666666666666667,,,0.9509001636661212
M,fold2,0.655762791633606,0.75,1.0,0.13227540254592896,0.629167525596097,1.0
S,fold2,0.6486347913742065,,,0.1350143551826477,,
R,fold2,-41.07619699887652,,,16.168052491803685,,
X,fold2,-40.63595199584961,,,15.998886108398438,,
S,fold2,-40.62995998842081,,,15.996583016817002,,
S,fold2,,0.8666666666666667,,,0.8606818181818182,
R,fold2,,0.8,,,0.6589937839937839,
X,fold2,,0.8,,,0.6572390572390573,
S,fold2,,0.4166666666666667,,,0.049019607843137254,
S,fold2,,,1.0,,,1.0
R,fold2,,,0.9833333333333333,,,0.9687337154768108
X,fold2,,,1.0,,,1.0
S,fold2,,,0.9833333333333333,,,0.9687337154768108
M,fold3,0.5683574676513672,0.7833333333333333,0.9833333333333333,0.1607912927865982,0.6458430458430459,0.9798319327731093
S,fold3,0.6407263278961182,,,0.1338331252336502,,
R,fold3,-45.53944455353481,,,17.336423310333764,,
X,fold3,-45.45804214477539,,,17.30609703063965,,
S,fold3,-45.32936455351904,,,17.258166342631476,,
S,fold3,,0.7833333333333333,,,0.6738004419822601,
R,fold3,,0.7333333333333333,,,0.6200708382526566,
X,fold3,,0.7166666666666667,,,0.6146798139037606,
S,fold3,,0.3333333333333333,,,0.045454545454545456,
S,fold3,,,1.0,,,1.0
R,fold3,,,1.0,,,1.0
X,fold3,,,0.9833333333333333,,,0.9791013584117032
S,fold3,,,0.9833333333333333,,,0.9791013584117032
M,fold4,0.8480815887451172,0.7833333333333333,0.9666666666666667,0.053148310631513596,0.7119324389061231,0.9633699633699633
S,fold4,0.8359500169754028,,,0.057392485439777374,,
R,fold4,-53.79824035671368,,,19.171033983867297,,
X,fold4,-53.899295806884766,,,19.206388473510742,,
S,fold4,-54.19912768451837,,,19.31128346149681,,
S,fold4,,0.65,,,0.4652402422139264,
R,fold4,,0.85,,,0.8293215253581107,
X,fold4,,0.75,,,0.6996650707016561,
S,fold4,,0.3,,,0.038461538461538464,
S,fold4,,,0.9833333333333333,,,0.9818785865297492
R,fold4,,,0.9666666666666667,,,0.9633699633699633
X,fold4,,,0.9666666666666667,,,0.9633699633699633
S,fold4,,,0.9666666666666667,,,0.9633699633699633
M,fold5,0.4682677388191223,0.7627118644067796,1.0,0.30473387241363525,0.7223581973581975,1.0
S,fold5,0.5056400299072266,,,0.2833159565925598,,
R,fold5,-26.123768857547354,,,15.544534100307786,,
X,fold5,-26.11931610107422,,,15.541983604431152,,
S,fold5,-25.554257361718562,,,15.218149116203168,,
S,fold5,,0.6949152542372882,,,0.6023809523809524,
R,fold5,,0.7288135593220338,,,0.6397283272283272,
X,fold5,,0.7457627118644068,,,0.6235690235690236,
S,fold5,,0.3728813559322034,,,0.04526748971193415,
S,fold5,,,1.0,,,1.0
R,fold5,,,0.9830508474576272,,,0.9781238413051538
X,fold5,,,0.9661016949152542,,,0.9571220930232558
S,fold5,,,0.9830508474576272,,,0.9781238413051538
