,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,pref,crop,pH,pref,crop
method,fold,,,,,,
M,fold1,0.720392644405365,0.9,0.7666666666666667,0.12292971462011337,0.8636017033075857,0.7466329966329965
S,fold1,0.7381694912910461,,,0.11511410772800446,,
R,fold1,-33.940871239880984,,,15.361796696243971,,
X,fold1,-33.901832580566406,,,15.344633102416992,,
S,fold1,-33.543517999460576,,,15.18709985900641,,
S,fold1,,0.4166666666666667,,,0.0508130081300813,
R,fold1,,0.8666666666666667,,,0.8381701631701634,
X,fold1,,0.8333333333333334,,,0.7859846502703646,
S,fold1,,0.43333333333333335,,,0.06874999999999999,
S,fold1,,,0.5166666666666667,,,0.18091397849462365
R,fold1,,,0.7,,,0.5428541366041366
X,fold1,,,0.75,,,0.6670704539125591
S,fold1,,,0.5333333333333333,,,0.1874657909140668
M,fold2,0.6603927612304688,0.4,0.4666666666666667,0.14815576374530792,0.047619047619047616,0.14832535885167464
S,fold2,0.6809531450271606,,,0.13918615877628326,,
R,fold2,-34.656151636310625,,,15.555217199468668,,
X,fold2,-35.02650833129883,,,15.71678638458252,,
S,fold2,-34.813290163859044,,,15.623769856282342,,
S,fold2,,0.4,,,0.049999999999999996,
R,fold2,,0.7166666666666667,,,0.543531746031746,
X,fold2,,0.7333333333333333,,,0.5633743901601044,
S,fold2,,0.4166666666666667,,,0.07655826558265583,
S,fold2,,,0.5,,,0.16503456221198157
R,fold2,,,0.8,,,0.7497817785051828
X,fold2,,,0.7833333333333333,,,0.7532179808495598
S,fold2,,,0.5,,,0.17329545454545453
M,fold3,0.4625728726387024,0.3333333333333333,0.5333333333333333,0.1851138472557068,0.061661390019598965,0.1918081918081918
S,fold3,0.5406216382980347,,,0.15823037922382355,,
R,fold3,-49.28981622166055,,,17.322053689987207,,
X,fold3,-48.414005279541016,,,17.0203857421875,,
S,fold3,-48.844761969199304,,,17.1687571732111,,
S,fold3,,0.31666666666666665,,,0.04372842347525892,
R,fold3,,0.8166666666666667,,,0.8191974691974693,
X,fold3,,0.8333333333333334,,,0.7384520884520885,
S,fold3,,0.3333333333333333,,,0.0650662468844287,
S,fold3,,,0.5833333333333334,,,0.2102897102897103
R,fold3,,,0.85,,,0.7358451072736788
X,fold3,,,0.8333333333333334,,,0.7476237686764003
S,fold3,,,0.5833333333333334,,,0.2153061224489796
M,fold4,0.6500583291053772,0.31666666666666665,0.55,0.12503491342067719,0.06723985890652558,0.17045454545454547
S,fold4,0.7685136795043945,,,0.08271055668592453,,
R,fold4,-51.899405361563254,,,18.90107396356817,,
X,fold4,-51.67991256713867,,,18.822649002075195,,
S,fold4,-52.5347451743141,,,19.12808227700242,,
S,fold4,,0.36666666666666664,,,0.11146723646723648,
R,fold4,,0.8,,,0.7927069927069926,
X,fold4,,0.7666666666666667,,,0.7364951489951489,
S,fold4,,0.26666666666666666,,,0.03508771929824561,
S,fold4,,,0.5666666666666667,,,0.1752021563342318
R,fold4,,,0.7666666666666667,,,0.6301184926184926
X,fold4,,,0.85,,,0.7705357142857143
S,fold4,,,0.5666666666666667,,,0.17841312056737588
M,fold5,0.3707195520401001,0.4745762711864407,0.559322033898305,0.3235442042350769,0.10849673202614378,0.19333496691987256
S,fold5,0.4438691735267639,,,0.28593435883522034,,
R,fold5,-30.992313808910996,,,16.448830074637698,,
X,fold5,-30.98838996887207,,,16.446813583374023,,
S,fold5,-30.655452562413295,,,16.275633055020194,,
S,fold5,,0.5084745762711864,,,0.11964285714285712,
R,fold5,,0.864406779661017,,,0.842096792096792,
X,fold5,,0.847457627118644,,,0.7738366571699906,
S,fold5,,0.4745762711864407,,,0.07088353413654619,
S,fold5,,,0.6949152542372882,,,0.31319292498380374
R,fold5,,,0.8135593220338984,,,0.554012883668056
X,fold5,,,0.8135593220338984,,,0.7068236525379383
S,fold5,,,0.6440677966101694,,,0.22835497835497837
