,,accuracy,accuracy,Loss,Loss
,,pH,pref,pH,pref
method,fold,,,,
M,fold1,0.7204084396362305,0.8833333333333333,0.12292277067899704,0.8561942959001781
S,fold1,0.7285035252571106,,0.11936376243829727,
R,fold1,-33.93736640180479,,15.360255789905084,
X,fold1,-33.901832580566406,,15.344633102416992,
S,fold1,-33.543517999460576,,15.18709985900641,
S,fold1,,0.45,,0.07625948930296757
R,fold1,,0.85,,0.795868945868946
X,fold1,,0.8333333333333334,,0.7859846502703646
S,fold1,,0.43333333333333335,,0.06874999999999999
M,fold2,0.6644511222839355,0.4,0.14638525247573853,0.047619047619047616
S,fold2,0.6795707941055298,,0.13978920876979828,
R,fold2,-34.64254609408353,,15.549281697325373,
X,fold2,-35.02650833129883,,15.71678638458252,
S,fold2,-34.813290163859044,,15.623769856282342,
S,fold2,,0.4,,0.047619047619047616
R,fold2,,0.75,,0.5727525252525253
X,fold2,,0.7333333333333333,,0.5633743901601044
S,fold2,,0.4166666666666667,,0.07655826558265583
M,fold3,0.49145591259002686,0.31666666666666665,0.17516523599624634,0.04372842347525892
S,fold3,0.5250887274742126,,0.16358061134815216,
R,fold3,-49.17019447282979,,17.280850629180552,
X,fold3,-48.414005279541016,,17.0203857421875,
S,fold3,-48.844761969199304,,17.1687571732111,
S,fold3,,0.35,,0.07117734724292102
R,fold3,,0.8333333333333334,,0.8253685708231163
X,fold3,,0.8333333333333334,,0.7384520884520885
S,fold3,,0.3333333333333333,,0.0650662468844287
M,fold4,0.7377384901046753,0.26666666666666666,0.09370660781860352,0.03508771929824561
S,fold4,0.773118257522583,,0.081065334379673,
R,fold4,-51.87612925371586,,18.892757359005213,
X,fold4,-51.67991256713867,,18.822649002075195,
S,fold4,-52.5347451743141,,19.12808227700242,
S,fold4,,0.26666666666666666,,0.03980099502487562
R,fold4,,0.7666666666666667,,0.7335319085319085
X,fold4,,0.7666666666666667,,0.7364951489951489
S,fold4,,0.26666666666666666,,0.03508771929824561
M,fold5,0.42060720920562744,0.4576271186440678,0.29789450764656067,0.05232558139534884
S,fold5,0.429882287979126,,0.2931256890296936,
R,fold5,-31.11143480106442,,16.510076065470287,
X,fold5,-30.98838996887207,,16.446813583374023,
S,fold5,-30.655452562413295,,16.275633055020194,
S,fold5,,0.4745762711864407,,0.07291666666666667
R,fold5,,0.864406779661017,,0.8296669380002712
X,fold5,,0.847457627118644,,0.7738366571699906
S,fold5,,0.4745762711864407,,0.07088353413654619
