,,accuracy,accuracy,Loss,Loss
,,pH,shannon_entropy,pH,shannon_entropy
method,fold,,,,
M,fold1,0.6803670525550842,-0.09215342998504639,0.13374945521354675,0.11225447058677673
S,fold1,0.6862198710441589,,0.13130035996437073,
R,fold1,-35.58232960602303,,15.307765567285156,
X,fold1,-35.77127456665039,,15.38683032989502,
S,fold1,-35.15846496049586,,15.130400683860072,
S,fold1,,-0.18147754669189453,,0.12143543362617493
R,fold1,,-205.2904326013471,,21.203083808053805
X,fold1,,-204.8498992919922,,21.157806396484375
S,fold1,,-210.6915437677083,,21.758224496222702
M,fold2,0.6388015747070312,0.09331715106964111,0.13879285752773285,0.20166359841823578
S,fold2,0.6386091709136963,,0.13886679708957672,
R,fold2,-41.26621457245143,,16.24106798091755,
X,fold2,-40.63595199584961,,15.998886108398438,
S,fold2,-40.62995998842081,,15.996583016817002,
S,fold2,,-0.0024716854095458984,,0.22296886146068573
R,fold2,,-90.93885298464133,,20.44895855596657
X,fold2,,-90.86273956298828,,20.432029724121094
S,fold2,,-92.7716791175139,,20.85661412719351
M,fold3,0.6511784195899963,-0.04893672466278076,0.12993961572647095,0.19567161798477173
S,fold3,0.6463748216629028,,0.13172902166843414,
R,fold3,-45.42485275904937,,17.29373668448018,
X,fold3,-45.45804214477539,,17.30609703063965,
S,fold3,-45.32936455351904,,17.258166342631476,
S,fold3,,-0.19242370128631592,,0.22243809700012207
R,fold3,,-102.40121360202723,,19.288756919797915
X,fold3,,-100.13385009765625,,18.865793228149414
S,fold3,,-104.30703283284933,,19.644273867770018
M,fold4,0.8297209143638611,0.22128593921661377,0.05957173928618431,0.18356114625930786
S,fold4,0.8478226661682129,,0.0532388836145401,
R,fold4,-53.80868205911082,,19.17468698860252,
X,fold4,-53.899295806884766,,19.206388473510742,
S,fold4,-54.19912768451837,,19.31128346149681,
S,fold4,,0.06606709957122803,,0.22014985978603363
R,fold4,,-79.91557188711258,,19.073695997730123
X,fold4,,-80.20259857177734,,19.141355514526367
S,fold4,,-81.89939846123848,,19.541330398681843
M,fold5,0.5142056941986084,-0.01647019386291504,0.2784069776535034,0.24133659899234772
S,fold5,0.49870800971984863,,0.2872886657714844,
R,fold5,-26.15841562935132,,15.56439004026218,
X,fold5,-26.11931610107422,,15.541983604431152,
S,fold5,-25.554257361718562,,15.218149116203168,
S,fold5,,-0.012544870376586914,,0.2404046356678009
R,fold5,,-87.33744458081549,,20.973619816673047
X,fold5,,-86.96379089355469,,20.884904861450195
S,fold5,,-88.97005350863671,,21.36124387715968
