,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,soiltype,area,pH,soiltype,area
method,fold,,,,,,
M,fold1,0.6496149301528931,0.85,1.0,0.12049730122089386,0.29570217917675545,1.0
S,fold1,0.6487405300140381,,,0.12079797685146332,,
R,fold1,-47.0410372995162,,,16.52129313763383,,
X,fold1,-47.26387023925781,,,16.597925186157227,,
S,fold1,-46.671498481106234,,,16.394208888669304,,
S,fold1,,0.85,,,0.29570217917675545,
R,fold1,,0.75,,,0.26048026048026046,
X,fold1,,0.7666666666666667,,,0.2689265536723164,
S,fold1,,0.6833333333333333,,,0.2349206349206349,
S,fold1,,,1.0,,,1.0
R,fold1,,,0.9833333333333333,,,0.9791013584117032
X,fold1,,,1.0,,,1.0
S,fold1,,,0.9833333333333333,,,0.9791013584117032
M,fold2,0.7052567005157471,0.8813559322033898,0.9830508474576272,0.11713467538356781,0.44541343669250644,0.9618122977346278
S,fold2,0.7254503965377808,,,0.10910943150520325,,
R,fold2,-38.321770762408036,,,15.62696413917607,,
X,fold2,-37.566104888916016,,,15.326652526855469,,
S,fold2,-37.73905576782386,,,15.395385902815653,,
S,fold2,,0.847457627118644,,,0.42485168094924197,
R,fold2,,0.8813559322033898,,,0.4458333333333333,
X,fold2,,0.847457627118644,,,0.42485168094924197,
S,fold2,,0.711864406779661,,,0.32417802726543704,
S,fold2,,,0.9830508474576272,,,0.9618122977346278
R,fold2,,,0.9661016949152542,,,0.9189560439560439
X,fold2,,,0.9661016949152542,,,0.9189560439560439
S,fold2,,,0.9491525423728814,,,0.8703296703296703
M,fold3,0.1499602198600769,0.864406779661017,1.0,0.3741234540939331,0.487382297551789,1.0
S,fold3,0.7063319683074951,,,0.12925052642822266,,
R,fold3,-38.87546609766635,,,17.55017566799483,,
X,fold3,-38.70388412475586,,,17.47465705871582,,
S,fold3,-39.25243832782293,,,17.71609043987485,,
S,fold3,,0.8813559322033898,,,0.5578817733990148,
R,fold3,,0.8305084745762712,,,0.5369458128078818,
X,fold3,,0.847457627118644,,,0.5661100267476324,
S,fold3,,0.7627118644067796,,,0.3111940298507463,
S,fold3,,,1.0,,,1.0
R,fold3,,,1.0,,,1.0
X,fold3,,,1.0,,,1.0
S,fold3,,,1.0,,,1.0
M,fold4,0.5382121801376343,0.7966101694915254,1.0,0.2241327464580536,0.2830291177748805,1.0
S,fold4,0.535875678062439,,,0.22526681423187256,,
R,fold4,-34.24976114285987,,,17.1087806288666,,
X,fold4,-34.33320999145508,,,17.149282455444336,,
S,fold4,-34.45830272317819,,,17.209998113297303,,
S,fold4,,0.8305084745762712,,,0.4208445642407906,
R,fold4,,0.7796610169491526,,,0.2766188613646241,
X,fold4,,0.7796610169491526,,,0.2761533463287849,
S,fold4,,0.7288135593220338,,,0.2572390572390572,
S,fold4,,,1.0,,,1.0
R,fold4,,,0.9830508474576272,,,0.9808503732554366
X,fold4,,,0.9661016949152542,,,0.9611842105263158
S,fold4,,,0.9661016949152542,,,0.9611842105263158
M,fold5,0.7376493215560913,0.6949152542372882,0.9830508474576272,0.1039959192276001,0.29710867397806584,0.9781238413051538
S,fold5,0.7056465148925781,,,0.11668185144662857,,
R,fold5,-43.019919622336666,,,17.449517238451165,,
X,fold5,-43.1080436706543,,,17.48444938659668,,
S,fold5,-42.143762698185505,,,17.102208213747577,,
S,fold5,,0.6779661016949152,,,0.28933333333333333,
R,fold5,,0.6949152542372882,,,0.29490037149611614,
X,fold5,,0.6779661016949152,,,0.28933333333333333,
S,fold5,,0.6440677966101694,,,0.2708683473389356,
S,fold5,,,0.9830508474576272,,,0.9781238413051538
R,fold5,,,0.9661016949152542,,,0.9553030303030303
X,fold5,,,0.8983050847457628,,,0.8760504201680672
S,fold5,,,0.9830508474576272,,,0.9781238413051538
