,,accuracy,accuracy,Loss,Loss
,,pH,soiltype,pH,soiltype
method,fold,,,,
M,fold1,0.6489318609237671,0.85,0.12073219567537308,0.295959595959596
S,fold1,0.6617571115493774,,0.11632160097360611,
R,fold1,-48.21680636697324,,16.925639201891183,
X,fold1,-48.33837127685547,,16.967445373535156,
S,fold1,-47.55200463331589,,16.69701416269671,
S,fold1,,0.85,,0.29570217917675545
R,fold1,,0.75,,0.2595996732026144
X,fold1,,0.7833333333333333,,0.2749871597329225
S,fold1,,0.6666666666666666,,0.22812633376013658
M,fold2,0.6903052926063538,0.847457627118644,0.12307654321193695,0.42485168094924197
S,fold2,0.6954767107963562,,0.12102136015892029,
R,fold2,-39.66495616103911,,16.160762150090886,
X,fold2,-40.171417236328125,,16.36203384399414,
S,fold2,-39.102834595436846,,15.9373680098105,
S,fold2,,0.8813559322033898,,0.4438035596572182
R,fold2,,0.847457627118644,,0.42485168094924197
X,fold2,,0.8305084745762712,,0.4141666666666667
S,fold2,,0.7288135593220338,,0.3318965517241379
M,fold3,0.7096737623214722,0.864406779661017,0.12777972221374512,0.35486993345432544
S,fold3,0.6947466135025024,,0.134349524974823,
R,fold3,-38.19173987777359,,17.249251259925472,
X,fold3,-38.3093376159668,,17.301008224487305,
S,fold3,-38.40051239611928,,17.34113719396012,
S,fold3,,0.864406779661017,,0.3547489413188143
R,fold3,,0.847457627118644,,0.3478523895946763
X,fold3,,0.8305084745762712,,0.3412121212121212
S,fold3,,0.7627118644067796,,0.3111940298507463
M,fold4,0.5273744463920593,0.7796610169491526,0.2293929010629654,0.2764782326185835
S,fold4,0.5264618396759033,,0.2298358678817749,
R,fold4,-32.88055063377508,,16.444220884822943,
X,fold4,-32.79935836791992,,16.40481185913086,
S,fold4,-32.85737841320651,,16.432974045373957,
S,fold4,,0.7966101694915254,,0.2823261858349578
R,fold4,,0.7796610169491526,,0.27629870129870127
X,fold4,,0.7796610169491526,,0.27619047619047615
S,fold4,,0.7288135593220338,,0.25786790780141844
M,fold5,0.7296030521392822,0.6949152542372882,0.1071854755282402,0.29490037149611614
S,fold5,0.701858401298523,,0.11818345636129379,
R,fold5,-44.141755871946316,,17.894213846709242,
X,fold5,-44.12369155883789,,17.887054443359375,
S,fold5,-43.31229342005253,,17.56541452986151,
S,fold5,,0.711864406779661,,0.3029569892473118
R,fold5,,0.6949152542372882,,0.296505376344086
X,fold5,,0.6779661016949152,,0.29032901296111663
S,fold5,,0.6440677966101694,,0.2708683473389356
