,,accuracy,accuracy,Loss,Loss
,,pH,year,pH,year
method,fold,,,,
M,fold1,0.6726210117340088,0.9,0.1369907706975937,0.8912859942710689
S,fold1,0.6939816474914551,,0.1280524581670761,
R,fold1,-35.75606063155061,,15.380462791305094,
X,fold1,-35.608848571777344,,15.318862915039062,
S,fold1,-35.158464960495856,,15.130400683860069,
S,fold1,,0.9,,0.90682387456581
R,fold1,,0.9,,0.8958015509788965
X,fold1,,0.8333333333333334,,0.8093208297811878
S,fold1,,0.6333333333333333,,0.39826839826839827
M,fold2,0.6657310128211975,0.95,0.12844504415988922,0.9372054617956257
S,fold2,0.6422132253646851,,0.1374819129705429,
R,fold2,-41.09703880772211,,16.17606109247281,
X,fold2,-40.59444808959961,,15.982938766479492,
S,fold2,-40.62995998842081,,15.996583016817002,
S,fold2,,0.95,,0.9372054617956257
R,fold2,,0.85,,0.8125656020392862
X,fold2,,0.9333333333333333,,0.9219072444878896
S,fold2,,0.6333333333333333,,0.4177631578947369
M,fold3,0.6571311950683594,0.9166666666666666,0.12772215902805328,0.9236949360001042
S,fold3,0.6467359662055969,,0.1315944790840149,
R,fold3,-45.590646619538546,,17.355496608245243,
X,fold3,-45.313350677490234,,17.252199172973633,
S,fold3,-45.32936455351904,,17.258166342631476,
S,fold3,,0.9166666666666666,,0.92316760280147
R,fold3,,0.9,,0.9006441223832528
X,fold3,,0.9166666666666666,,0.9115009746588694
S,fold3,,0.6833333333333333,,0.48433048433048437
M,fold4,0.783333957195282,0.9,0.0758000984787941,0.9031746031746032
S,fold4,0.8335728645324707,,0.0582241490483284,
R,fold4,-53.75461724681819,,19.155772542681515,
X,fold4,-53.94853210449219,,19.223613739013672,
S,fold4,-54.19912768451837,,19.31128346149681,
S,fold4,,0.9166666666666666,,0.9234581843277496
R,fold4,,0.8333333333333334,,0.8416338700059631
X,fold4,,0.85,,0.8537067148449262
S,fold4,,0.5,,0.3638888888888889
M,fold5,0.5493509769439697,0.8813559322033898,0.25826534628868103,0.8730100190546438
S,fold5,0.5337778329849243,,0.26719027757644653,
R,fold5,-26.160343534732945,,15.565494915882683,
X,fold5,-26.138763427734375,,15.553128242492676,
S,fold5,-25.55425736171856,,15.218149116203167,
S,fold5,,0.8983050847457628,,0.8893924466338259
R,fold5,,0.9152542372881356,,0.9025355495510249
X,fold5,,0.9152542372881356,,0.9045340624287993
S,fold5,,0.711864406779661,,0.5181295323830958
