,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,soiltype,area,crop,soiltype,area,crop
method,fold,,,,,,
M,fold1,0.85,1.0,0.8333333333333334,0.2956241177656786,1.0,0.7664776183939946
S,fold1,0.8333333333333334,,,0.2898989898989899,,
R,fold1,0.7833333333333333,,,0.2727733820247515,,
X,fold1,0.7833333333333333,,,0.2749871597329225,,
S,fold1,0.6666666666666666,,,0.22812633376013658,,
S,fold1,,1.0,,,1.0,
R,fold1,,0.9833333333333333,,,0.9791013584117032,
X,fold1,,0.9833333333333333,,,0.9791013584117032,
S,fold1,,0.9833333333333333,,,0.9791013584117032,
S,fold1,,,0.8166666666666667,,,0.7319109461966604
R,fold1,,,0.7833333333333333,,,0.6710162853019996
X,fold1,,,0.8666666666666667,,,0.8207982493696779
S,fold1,,,0.5666666666666667,,,0.22109996540989277
M,fold2,0.8983050847457628,0.9661016949152542,0.847457627118644,0.45401174168297453,0.9189560439560439,0.806648113790971
S,fold2,0.8813559322033898,,,0.44541343669250644,,
R,fold2,0.847457627118644,,,0.4225708502024291,,
X,fold2,0.8305084745762712,,,0.4141666666666667,,
S,fold2,0.7288135593220338,,,0.3318965517241379,,
S,fold2,,0.9661016949152542,,,0.9189560439560439,
R,fold2,,0.9491525423728814,,,0.8703296703296703,
X,fold2,,0.9491525423728814,,,0.8703296703296703,
S,fold2,,0.9491525423728814,,,0.8703296703296703,
S,fold2,,,0.8135593220338984,,,0.7695332678525956
R,fold2,,,0.7627118644067796,,,0.6615914657055244
X,fold2,,,0.7796610169491526,,,0.7326503250872999
S,fold2,,,0.5423728813559322,,,0.20895846923244182
M,fold3,0.8813559322033898,1.0,0.864406779661017,0.3616222760290557,1.0,0.795021645021645
S,fold3,0.864406779661017,,,0.3547489413188143,,
R,fold3,0.7966101694915254,,,0.32732805842970175,,
X,fold3,0.8305084745762712,,,0.3412121212121212,,
S,fold3,0.7627118644067796,,,0.3111940298507463,,
S,fold3,,1.0,,,1.0,
R,fold3,,1.0,,,1.0,
X,fold3,,1.0,,,1.0,
S,fold3,,1.0,,,1.0,
S,fold3,,,0.864406779661017,,,0.7993506493506493
R,fold3,,,0.7966101694915254,,,0.6990530303030303
X,fold3,,,0.7796610169491526,,,0.6854166666666667
S,fold3,,,0.6101694915254238,,,0.19736842105263158
M,fold4,0.7796610169491526,0.9830508474576272,0.864406779661017,0.27629870129870127,0.9808503732554366,0.8278061224489796
S,fold4,0.7966101694915254,,,0.2825851225330731,,
R,fold4,0.7457627118644068,,,0.2642857142857143,,
X,fold4,0.7796610169491526,,,0.27619047619047615,,
S,fold4,0.7288135593220338,,,0.25786790780141844,,
S,fold4,,1.0,,,1.0,
R,fold4,,0.9830508474576272,,,0.9808503732554366,
X,fold4,,0.9661016949152542,,,0.9611842105263158,
S,fold4,,0.9661016949152542,,,0.9611842105263158,
S,fold4,,,0.847457627118644,,,0.798997597384694
R,fold4,,,0.7796610169491526,,,0.718164188752424
X,fold4,,,0.7966101694915254,,,0.7017094017094018
S,fold4,,,0.559322033898305,,,0.21034013605442176
M,fold5,0.6949152542372882,0.9830508474576272,0.847457627118644,0.29490037149611614,0.9781238413051538,0.6796070926025194
S,fold5,0.6949152542372882,,,0.29490037149611614,,
R,fold5,0.711864406779661,,,0.3034110097939885,,
X,fold5,0.6779661016949152,,,0.29032901296111663,,
S,fold5,0.6440677966101694,,,0.2708683473389356,,
S,fold5,,0.9830508474576272,,,0.9781238413051538,
R,fold5,,0.9830508474576272,,,0.9781238413051538,
X,fold5,,0.9152542372881356,,,0.8984509466437177,
S,fold5,,0.9830508474576272,,,0.9781238413051538,
S,fold5,,,0.864406779661017,,,0.6933985132514544
R,fold5,,,0.7966101694915254,,,0.5760986091303045
X,fold5,,,0.7966101694915254,,,0.6079974559753971
S,fold5,,,0.576271186440678,,,0.18606321839080459
