Metric,Model,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC
R2,MT,0.762±0.078,0.721±0.094,0.683±0.049,0.663±0.066,0.830±0.058,0.719±0.067
R2,MT_comp,0.763±0.081,0.763±0.051,0.675±0.043,0.681±0.061,0.829±0.062,0.717±0.062
R2,ST,0.756±0.072,0.753±0.034,0.681±0.071,0.680±0.060,0.833±0.064,0.708±0.060
R2,RF,0.749±0.070,0.600±0.115,0.632±0.089,0.668±0.050,0.811±0.057,0.719±0.071
R2,SVR,0.709±0.048,0.749±0.047,0.565±0.069,0.552±0.048,0.837±0.061,0.705±0.063
R2,XGB,0.674±0.133,0.570±0.146,0.534±0.056,0.590±0.034,0.775±0.056,0.686±0.066
MSE,MT,0.967±0.098,0.356±0.020,38.348±7.038,12.167±0.876,0.254±0.030,0.025±0.002
MSE,MT_comp,1.025±0.118,0.337±0.042,40.919±6.532,11.785±0.775,0.252±0.040,0.026±0.002
MSE,ST,1.042±0.121,0.344±0.059,40.186±8.149,11.995±0.508,0.259±0.043,0.026±0.001
MSE,RF,5.033±0.494,0.859±0.075,6833.131±385.225,815.220±44.714,4.072±0.188,0.038±0.002
MSE,SVR,3.715±0.311,0.785±0.053,3710.098±87.752,688.533±23.831,4.062±0.186,0.040±0.002
MSE,XGB,5.100±0.656,0.822±0.052,6667.282±934.124,810.309±46.435,4.069±0.180,0.038±0.002
