,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC
method,fold,,,,,,,,,,,,
M,fold1,0.5246910279053946,0.06015377222424927,0.5290371299769541,0.4394273172456861,0.7245831054676789,0.6380915496137352,29.90866470336914,0.5062459111213684,277.94256591796875,149.0902862548828,6.806363105773926,0.06450505554676056
M,fold1,0.3733746973028679,0.3551420002522536,0.5532583232972104,0.575526660114984,0.7271963068640512,0.45455505849277317,28.413299560546875,9.0237398147583,1036.5465087890625,195.50897216796875,3.63081431388855,0.17586642503738403
S,fold1,0.608430570753383,,,,,,48.29570770263672,,,,,
R,fold1,0.6294390657622984,,,,,,5.991985489135626,,,,,
X,fold1,0.43349372691616755,,,,,,6.389586925506592,,,,,
S,fold1,0.6785085879058885,,,,,,4.217722232167814,,,,,
S,fold1,,0.35043563168306235,,,,,,9.273675918579102,,,,
R,fold1,,0.40152617929146034,,,,,,0.9449330557156228,,,,
X,fold1,,0.3047342027343196,,,,,,0.8659855127334595,,,,
S,fold1,,0.6695054823598751,,,,,,0.8424327776978388,,,,
S,fold1,,,0.5618332654767142,,,,,,937.4024047851562,,,
R,fold1,,,0.6203179062094337,,,,,,6988.984237589909,,,
X,fold1,,,0.5496185322798174,,,,,,7702.3603515625,,,
S,fold1,,,0.524355560684645,,,,,,3682.448025087955,,,
S,fold1,,,,0.537837355464088,,,,,,145.39476013183594,,
R,fold1,,,,0.6608734677283724,,,,,,849.3126510094434,,
X,fold1,,,,0.6140683144632355,,,,,,832.8018798828125,,
S,fold1,,,,0.545243642939217,,,,,,696.8760845140873,,
S,fold1,,,,,0.756461357882379,,,,,,2.3501675128936768,
R,fold1,,,,,0.8361545287991117,,,,,,3.895201161447481,
X,fold1,,,,,0.7827077435337993,,,,,,3.876011371612549,
S,fold1,,,,,0.8376852668796123,,,,,,3.890385530347534,
S,fold1,,,,,,0.646862851960566,,,,,,0.6927229166030884
R,fold1,,,,,,0.620699814392001,,,,,,0.03450576348556141
X,fold1,,,,,,0.5657656601674512,,,,,,0.03433423861861229
S,fold1,,,,,,0.6100521467578287,,,,,,0.035994017119321466
M,fold2,0.6204132536143107,0.24037499489600656,0.5898035321835182,0.5097626449757605,0.7614863515862907,0.543543941163908,7.764449119567871,17.56271743774414,268.771728515625,190.14906311035156,2.6723945140838623,0.12160266190767288
M,fold2,0.5649490413523095,0.33662450283010836,0.6266509923500875,-0.09513692494600666,0.7589440938393901,0.28704608525077824,22.996789932250977,2.9381914138793945,862.8781127929688,382.59552001953125,6.899529457092285,0.34403765201568604
S,fold2,0.5261689659222817,,,,,,25.585283279418945,,,,,
R,fold2,0.757516193439745,,,,,,4.585353913948259,,,,,
X,fold2,0.7571264492168585,,,,,,4.611285209655762,,,,,
S,fold2,0.7121950335761246,,,,,,3.441904136889013,,,,,
S,fold2,,0.3374917666818845,,,,,,22.769506454467773,,,,
R,fold2,,0.5747199409728688,,,,,,0.9050039677177554,,,,
X,fold2,,0.613137702561789,,,,,,0.8883601427078247,,,,
S,fold2,,0.8025208252998622,,,,,,0.8099332180655582,,,,
S,fold2,,,0.6010899745703877,,,,,,717.1788330078125,,,
R,fold2,,,0.6807933324860954,,,,,,7116.214080595087,,,
X,fold2,,,0.6296363253409719,,,,,,6223.8603515625,,,
S,fold2,,,0.5727567136271844,,,,,,3553.7356901386297,,,
S,fold2,,,,0.3570872951987464,,,,,,416.5464172363281,,
R,fold2,,,,0.5947352746578926,,,,,,865.2798327294952,,
X,fold2,,,,0.5511710867599557,,,,,,869.561767578125,,
S,fold2,,,,0.49079849894001126,,,,,,715.6149368294335,,
S,fold2,,,,,0.5722455671892573,,,,,,15.231292724609375,
R,fold2,,,,,0.8270824576459821,,,,,,4.017322876577728,
X,fold2,,,,,0.7995222292743208,,,,,,4.039032936096191,
S,fold2,,,,,0.846155485691,,,,,,4.012396848237418,
S,fold2,,,,,,0.5725218158926592,,,,,,0.18677107989788055
R,fold2,,,,,,0.7302545967830141,,,,,,0.0402874161346335
X,fold2,,,,,,0.6886097686332265,,,,,,0.04031788557767868
S,fold2,,,,,,0.7459630335590569,,,,,,0.04105890781059997
M,fold3,0.2621654801460152,-0.13987702625207518,0.4423432686868789,0.5679974735288544,0.6977715860166769,0.5182171053764719,16.875986099243164,8.751352310180664,306.423828125,123.0271987915039,1.9605385065078735,1.0604506731033325
M,fold3,0.6386087554314157,0.37131275090724813,-0.11274951936293245,0.5862005396167211,0.6690323467629061,0.534684676298625,16.43210792541504,11.603161811828613,950.3438110351562,140.70211791992188,3.0488767623901367,0.12868846952915192
S,fold3,0.5987064737793583,,,,,,15.083359718322754,,,,,
