,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,Available.P,Exchangeable.Ca,pH,Available.P,Exchangeable.Ca
method,fold,,,,,,
M,fold1,0.6816225051879883,0.4448480010032654,0.6295058727264404,0.26703327894210815,49.83975601196289,95.65432739257812
S,fold1,0.6995198130607605,,,0.2614794075489044,,
R,fold1,-142.44524106211645,,,3.89507783994172,,
X,fold1,-130.12557983398438,,,3.876011371612549,,
S,fold1,-142.24571026245474,,,3.890385530347534,,
S,fold1,,0.48787569999694824,,,46.38961410522461,
R,fold1,,-1.5569299252762128,,,6921.950509419045,
X,fold1,,-0.8988590240478516,,,7702.3603515625,
S,fold1,,-31.136655865188104,,,3682.448025087955,
S,fold1,,,0.6258273124694824,,,92.62577056884766
R,fold1,,,-5.556502590805193,,,66436.72182166137
X,fold1,,,-4.16510009765625,,,68255.359375
S,fold1,,,-1171.0172740044345,,,52736.930548941134
M,fold2,0.6737042665481567,0.4139707684516907,0.4284564256668091,0.27943408489227295,50.99221420288086,106.9422607421875
S,fold2,0.6572193503379822,,,0.2553248107433319,,
R,fold2,-132.2606762230127,,,4.022443467267181,,
X,fold2,-128.1390380859375,,,4.039032936096191,,
S,fold2,-129.21628913228355,,,4.012396848237418,,
S,fold2,,0.4635177254676819,,,47.75529479980469,
R,fold2,,-1.4713074661326564,,,7082.942186338054,
X,fold2,,-1.6905207633972168,,,6223.8603515625,
S,fold2,,-36.78123992202089,,,3553.7356901386297,
S,fold2,,,0.43688011169433594,,,108.08518981933594
R,fold2,,,-5.03107433976731,,,68536.1500912189
X,fold2,,,-3.8574256896972656,,,71825.7421875
S,fold2,,,-1279.3138474116474,,,53084.4903771941
M,fold3,0.6129886507987976,0.3745744228363037,0.3976151943206787,0.276172935962677,34.80878829956055,107.26215362548828
S,fold3,0.6653506755828857,,,0.24404437839984894,,
R,fold3,-153.63014251161542,,,4.164680090675112,,
X,fold3,-161.11166381835938,,,4.148414134979248,,
S,fold3,-178.5704568779501,,,4.161491073587239,,
S,fold3,,0.3412579298019409,,,32.18177032470703,
R,fold3,,-1.9524688019655483,,,7011.0441970604925,
X,fold3,,-1.166156530380249,,,7636.12841796875,
S,fold3,,-31.66592112439308,,,3807.892793341043,
S,fold3,,,0.3602721095085144,,,101.03910064697266
R,fold3,,,-7.880448360578217,,,62019.52599572419
X,fold3,,,-6.246931076049805,,,61365.1015625
S,fold3,,,-1341.3078117080356,,,57063.16460522462
M,fold4,0.8315941095352173,0.48381006717681885,0.5515303611755371,0.19689029455184937,36.1146125793457,94.58610534667969
S,fold4,0.840775191783905,,,0.18659944832324982,,
R,fold4,-172.3422190920832,,,4.388003414310611,,
X,fold4,-168.51699829101562,,,4.373076915740967,,
S,fold4,-192.2748219642368,,,4.371928044298555,,
S,fold4,,0.3753352165222168,,,40.53923797607422,
R,fold4,,-2.1454900832554924,,,6082.48007343213,
X,fold4,,-1.490309715270996,,,5201.94482421875,
S,fold4,,-34.9678658346877,,,3751.165630515107,
S,fold4,,,0.615174412727356,,,82.73883819580078
R,fold4,,,-5.81198420857401,,,62197.874847477804
X,fold4,,,-4.431967735290527,,,61518.765625
S,fold4,,,-931.6705097577908,,,54888.57327996734
M,fold5,0.5153152346611023,0.17605841159820557,0.47158002853393555,0.31484362483024597,35.962677001953125,103.65851593017578
S,fold5,0.5103344917297363,,,0.31025803089141846,,
R,fold5,-162.49774390649173,,,3.891393208969512,,
X,fold5,-129.11663818359375,,,3.9106528759002686,,
S,fold5,-166.08546152320594,,,3.874299692590622,,
S,fold5,,0.322170615196228,,,29.557279586791992,
R,fold5,,-1.3413856548495446,,,7108.418855868724,
X,fold5,,-1.102201223373413,,,6572.1181640625,
S,fold5,,-28.88933916091147,,,3755.2468429064593,
S,fold5,,,0.5113258361816406,,,98.45812225341797
R,fold5,,,-5.787060113330513,,,59403.260853787615
X,fold5,,,-5.764748573303223,,,60593.1328125
S,fold5,,,-956.4271625560697,,,51076.56760155645
