Metric,Model,pH,Available.P,Exchangeable.Ca
R2,MT,0.663±0.103,0.379±0.107,0.496±0.085
R2,ST,0.675±0.105,0.398±0.066,0.510±0.102
R2,RF,-152.635±14.182,-1.694±0.304,-6.013±0.975
R2,SVR,-161.679±23.118,-32.688±2.823,-1135.947±166.080
R2,XGB,-143.402±17.650,-1.270±0.284,-4.893±0.939
MSE,MT,0.267±0.039,41.544±7.267,101.621±5.466
MSE,ST,0.252±0.040,39.285±7.333,96.589±8.520
MSE,RF,4.072±0.187,6841.367±384.933,63718.707±3299.048
MSE,SVR,4.062±0.186,3710.098±87.752,53769.945±2043.912
MSE,XGB,4.069±0.180,6667.282±934.124,64711.620±4506.091
