,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,Available.P,Exchangeable.K,pH,Available.P,Exchangeable.K
method,fold,,,,,,
M,fold1,0.5105609893798828,0.4477884769439697,0.48897290229797363,0.23131179809570312,35.26803970336914,12.58203411102295
S,fold1,0.508912980556488,,,0.23704129457473755,,
R,fold1,-206.70076190349556,,,3.766224608370904,,
X,fold1,-184.1931610107422,,,3.7736270427703857,,
S,fold1,-191.07002400779874,,,3.7737896563410884,,
S,fold1,,0.4659605026245117,,,32.387847900390625,
R,fold1,,-1.7179324195562633,,,6842.631364515569,
X,fold1,,-1.2633795738220215,,,8053.537109375,
S,fold1,,-38.69606946289965,,,3792.965390940422,
S,fold1,,,0.48677563667297363,,,12.376594543457031
R,fold1,,,-6.3145416675090775,,,1093.5247702894765
X,fold1,,,-4.937820911407471,,,1089.62158203125
S,fold1,,,-37.52643906800479,,,889.2331054354463
M,fold2,0.6361211538314819,0.2957085967063904,0.1009984016418457,0.25353777408599854,44.40883255004883,14.197710037231445
S,fold2,0.6504011154174805,,,0.25429829955101013,,
R,fold2,-171.37468450590143,,,3.992424602212325,,
X,fold2,-137.5626220703125,,,4.019520282745361,,
S,fold2,-166.31892211238224,,,3.978896598527058,,
S,fold2,,0.3153654932975769,,,47.851497650146484,
R,fold2,,-2.1369702810236144,,,5172.085048958251,
X,fold2,,-1.5160832405090332,,,5090.10546875,
S,fold2,,-34.83259327853096,,,3129.93232906108,
S,fold2,,,0.28002744913101196,,,12.252792358398438
R,fold2,,,-7.1936214821023015,,,1168.9001249756977
X,fold2,,,-5.845514297485352,,,1138.6585693359375
S,fold2,,,-37.45774157844483,,,922.7917445659966
M,fold3,0.6526643633842468,0.4125782251358032,0.3795105218887329,0.26765671372413635,34.956809997558594,14.506887435913086
S,fold3,0.6339721083641052,,,0.2722714841365814,,
R,fold3,-184.13759053815897,,,3.8296789122103387,,
X,fold3,-151.35812377929688,,,3.8116776943206787,,
S,fold3,-190.8834564903314,,,3.8093466229027335,,
S,fold3,,0.40154212713241577,,,30.3144474029541,
R,fold3,,-2.352987163608659,,,7025.119845520542,
X,fold3,,-1.64866304397583,,,6899.3232421875,
S,fold3,,-42.29396148241851,,,3820.371180073374,
S,fold3,,,0.3516938090324402,,,15.057486534118652
R,fold3,,,-13.633141555368113,,,1080.315141251723
X,fold3,,,-9.981253623962402,,,1069.2540283203125
S,fold3,,,-50.2779615371024,,,880.8421587111075
M,fold4,0.8091845512390137,0.30876874923706055,0.26271510124206543,0.20561209321022034,43.83916473388672,14.263002395629883
S,fold4,0.8069301843643188,,,0.22290392220020294,,
R,fold4,-160.25838614660265,,,4.134330437295164,,
X,fold4,-131.87733459472656,,,4.165404796600342,,
S,fold4,-157.97628378456886,,,4.1209462359334035,,
S,fold4,,0.43393468856811523,,,42.68915939331055,
R,fold4,,-1.8532144461458966,,,5918.3637314838215,
X,fold4,,-0.9328567981719971,,,6553.31884765625,
S,fold4,,-31.433989598619114,,,3366.0284273875945,
S,fold4,,,0.19519078731536865,,,21.357954025268555
R,fold4,,,-6.5767482463680995,,,854.2132868925759
X,fold4,,,-4.991663455963135,,,788.9567260742188
S,fold4,,,-30.5421258199902,,,710.9151350522634
M,fold5,0.6450346112251282,0.2799890637397766,0.38983315229415894,0.3085263669490814,46.20680618286133,11.99939250946045
S,fold5,0.6289075016975403,,,0.3112008571624756,,
R,fold5,-141.62738972617365,,,3.5267987081277514,,
X,fold5,-120.39945220947266,,,3.530585765838623,,
S,fold5,-139.58803326918976,,,3.5305884617471404,,
S,fold5,,0.30934107303619385,,,47.91183853149414,
R,fold5,,-1.5051726147403932,,,6703.750760567042,
X,fold5,,-1.422292947769165,,,6321.68701171875,
S,fold5,,-27.366479592418482,,,3743.55293781334,
S,fold5,,,0.35280561447143555,,,12.019134521484375
R,fold5,,,-6.863489956163285,,,938.3262973987802
X,fold5,,,-5.763481140136719,,,906.6722412109375
S,fold5,,,-32.84174504360471,,,853.2221658754928
