,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,Available.P,crop,pH,Available.P,crop
method,fold,,,,,,
M,fold1,0.6713775396347046,0.4536135792732239,0.7333333333333333,0.2793106734752655,46.373008728027344,0.6642537356823072
S,fold1,0.6675482392311096,,,0.2708575129508972,,
R,fold1,-142.44524106211645,,,3.89507783994172,,
X,fold1,-130.12557983398438,,,3.876011371612549,,
S,fold1,-142.24571026245474,,,3.890385530347534,,
S,fold1,,0.4608558416366577,,,45.180809020996094,
R,fold1,,-1.5569299252762128,,,6921.950509419045,
X,fold1,,-0.8988590240478516,,,7702.3603515625,
S,fold1,,-31.136655865188104,,,3682.448025087955,
S,fold1,,,0.7166666666666667,,,0.631660138802996
R,fold1,,,0.7,,,0.5760457374439137
X,fold1,,,0.7833333333333333,,,0.7361463932892504
S,fold1,,,0.7166666666666667,,,0.5702380952380952
M,fold2,0.6383812427520752,0.43571704626083374,0.8666666666666667,0.26767027378082275,47.83840560913086,0.8445837978446675
S,fold2,0.6665828824043274,,,0.2575347125530243,,
R,fold2,-132.2606762230127,,,4.022443467267181,,
X,fold2,-128.1390380859375,,,4.039032936096191,,
S,fold2,-129.21628913228355,,,4.012396848237418,,
S,fold2,,0.4352109432220459,,,46.44382858276367,
R,fold2,,-1.4713074661326564,,,7082.942186338054,
X,fold2,,-1.6905207633972168,,,6223.8603515625,
S,fold2,,-36.78123992202089,,,3553.7356901386297,
S,fold2,,,0.85,,,0.8312264567583717
R,fold2,,,0.85,,,0.8141629646948797
X,fold2,,,0.75,,,0.7056180767464609
S,fold2,,,0.7833333333333333,,,0.6066849816849818
M,fold3,0.6621713638305664,0.3728509545326233,0.8666666666666667,0.2536911964416504,29.959003448486328,0.8256410256410256
S,fold3,0.628345251083374,,,0.257061630487442,,
R,fold3,-153.63014251161542,,,4.164680090675112,,
X,fold3,-161.11166381835938,,,4.148414134979248,,
S,fold3,-178.5704568779501,,,4.161491073587239,,
S,fold3,,0.3515942692756653,,,37.11496353149414,
R,fold3,,-1.9524688019655483,,,7011.0441970604925,
X,fold3,,-1.166156530380249,,,7636.12841796875,
S,fold3,,-31.66592112439308,,,3807.892793341043,
S,fold3,,,0.8666666666666667,,,0.8241529304029305
R,fold3,,,0.7666666666666667,,,0.5665322820810625
X,fold3,,,0.8666666666666667,,,0.8238163300663301
S,fold3,,,0.8,,,0.5005411255411255
M,fold4,0.7935042381286621,0.45956581830978394,0.8666666666666667,0.2271912842988968,39.76936340332031,0.7838732642344258
S,fold4,0.8254569172859192,,,0.2000303566455841,,
R,fold4,-172.3422190920832,,,4.388003414310611,,
X,fold4,-168.51699829101562,,,4.373076915740967,,
S,fold4,-192.2748219642368,,,4.371928044298555,,
S,fold4,,0.4429625868797302,,,38.68866729736328,
R,fold4,,-2.1454900832554924,,,6082.48007343213,
X,fold4,,-1.490309715270996,,,5201.94482421875,
S,fold4,,-34.9678658346877,,,3751.165630515107,
S,fold4,,,0.85,,,0.7462198654059119
R,fold4,,,0.8,,,0.6562277146994754
X,fold4,,,0.8,,,0.6006106321839081
S,fold4,,,0.7833333333333333,,,0.5354944796805262
M,fold5,0.5275646448135376,0.173903226852417,0.7627118644067796,0.30542492866516113,35.20576477050781,0.5868316135084427
S,fold5,0.48137998580932617,,,0.3294367492198944,,
R,fold5,-162.49774390649173,,,3.891393208969512,,
X,fold5,-129.11663818359375,,,3.9106528759002686,,
S,fold5,-166.08546152320594,,,3.874299692590622,,
S,fold5,,0.21242022514343262,,,31.700288772583008,
R,fold5,,-1.3413856548495446,,,7108.418855868724,
X,fold5,,-1.102201223373413,,,6572.1181640625,
S,fold5,,-28.88933916091147,,,3755.2468429064593,
S,fold5,,,0.8305084745762712,,,0.6952539330588111
R,fold5,,,0.7796610169491526,,,0.6053838859498915
X,fold5,,,0.847457627118644,,,0.6847639149468417
S,fold5,,,0.8135593220338984,,,0.5022321428571428
