,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,Available.P,crop_ph,pH,Available.P,crop_ph
method,fold,,,,,,
M,fold1,0.5149840116500854,0.43535417318344116,0.9206349206349206,0.24098381400108337,34.75696563720703,0.9043425447919831
S,fold1,0.49710357189178467,,,0.23434492945671082,,
R,fold1,-206.70076190349556,,,3.766224608370904,,
X,fold1,-184.1931610107422,,,3.7736270427703857,,
S,fold1,-191.07002400779874,,,3.7737896563410884,,
S,fold1,,0.4448416829109192,,,33.74419403076172,
R,fold1,,-1.7179324195562633,,,6842.631364515569,
X,fold1,,-1.2633795738220215,,,8053.537109375,
S,fold1,,-38.69606946289965,,,3792.965390940422,
S,fold1,,,0.8888888888888888,,,0.8502546689303905
R,fold1,,,0.8571428571428571,,,0.8278165806255694
X,fold1,,,0.8888888888888888,,,0.8615384615384616
S,fold1,,,0.9206349206349206,,,0.9043425447919831
M,fold2,0.65779709815979,0.2776586413383484,0.873015873015873,0.2515139579772949,46.05973815917969,0.8534883720930233
S,fold2,0.6442660093307495,,,0.24872662127017975,,
R,fold2,-171.37468450590143,,,3.992424602212325,,
X,fold2,-137.5626220703125,,,4.019520282745361,,
S,fold2,-166.31892211238224,,,3.978896598527058,,
S,fold2,,0.3073580265045166,,,43.96420669555664,
R,fold2,,-2.1369702810236144,,,5172.085048958251,
X,fold2,,-1.5160832405090332,,,5090.10546875,
S,fold2,,-34.83259327853096,,,3129.93232906108,
S,fold2,,,0.8571428571428571,,,0.8373027259684362
R,fold2,,,0.9047619047619048,,,0.8901162790697674
X,fold2,,,0.8888888888888888,,,0.8734576757532281
S,fold2,,,0.9047619047619048,,,0.8901162790697674
M,fold3,0.6603860855102539,0.43226122856140137,0.8548387096774194,0.2533647119998932,33.85831069946289,0.8397932816537468
S,fold3,0.6229040622711182,,,0.27794376015663147,,
R,fold3,-184.13759053815897,,,3.8296789122103387,,
X,fold3,-151.35812377929688,,,3.8116776943206787,,
S,fold3,-190.8834564903314,,,3.8093466229027335,,
S,fold3,,0.3817518353462219,,,32.68972396850586,
R,fold3,,-2.352987163608659,,,7025.119845520542,
X,fold3,,-1.64866304397583,,,6899.3232421875,
S,fold3,,-42.29396148241851,,,3820.371180073374,
S,fold3,,,0.9032258064516129,,,0.8963210702341138
R,fold3,,,0.8709677419354839,,,0.8590909090909091
X,fold3,,,0.9354838709677419,,,0.9295454545454545
S,fold3,,,0.8709677419354839,,,0.8617614269788183
M,fold4,0.7838327884674072,0.42794889211654663,0.9032258064516129,0.22856681048870087,43.19645690917969,0.8736413043478262
S,fold4,0.809689462184906,,,0.21465477347373962,,
R,fold4,-160.25838614660265,,,4.134330437295164,,
X,fold4,-131.87733459472656,,,4.165404796600342,,
S,fold4,-157.97628378456886,,,4.1209462359334035,,
S,fold4,,0.3674834966659546,,,44.91698455810547,
R,fold4,,-1.8532144461458966,,,5918.3637314838215,
X,fold4,,-0.9328567981719971,,,6553.31884765625,
S,fold4,,-31.433989598619114,,,3366.0284273875945,
S,fold4,,,0.9193548387096774,,,0.89247311827957
R,fold4,,,0.8870967741935484,,,0.8606741573033708
X,fold4,,,0.9193548387096774,,,0.8967698967698967
S,fold4,,,0.9032258064516129,,,0.8825757575757576
M,fold5,0.6442676782608032,0.2894544005393982,0.9193548387096774,0.3039303421974182,49.28032302856445,0.89247311827957
S,fold5,0.6289420127868652,,,0.31783100962638855,,
R,fold5,-141.62738972617365,,,3.5267987081277514,,
X,fold5,-120.39945220947266,,,3.530585765838623,,
S,fold5,-139.58803326918976,,,3.5305884617471404,,
S,fold5,,0.30396461486816406,,,48.627262115478516,
R,fold5,,-1.5051726147403932,,,6703.750760567042,
X,fold5,,-1.422292947769165,,,6321.68701171875,
S,fold5,,-27.366479592418482,,,3743.55293781334,
S,fold5,,,0.9032258064516129,,,0.8784313725490196
R,fold5,,,0.8548387096774194,,,0.8064516129032258
X,fold5,,,0.9193548387096774,,,0.89247311827957
S,fold5,,,0.9032258064516129,,,0.8784313725490196
