,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,Available.P,croptype,pH,Available.P,croptype
method,fold,,,,,,
M,fold1,0.6891006231307983,0.41951489448547363,0.9666666666666667,0.13009490072727203,7002.15380859375,0.9576576576576578
S,fold1,0.6924117803573608,,,0.1287093609571457,,
R,fold1,0.5025037353094336,,,0.12910155221737254,,
X,fold1,0.42729663848876953,,,0.16612091660499573,,
S,fold1,0.5287252848100141,,,0.1271301642061548,,
S,fold1,,0.41972053050994873,,,6999.6728515625,
R,fold1,,-0.5407136456791499,,,6640.18071590967,
X,fold1,,-0.15974068641662598,,,9314.943359375,
S,fold1,,-2.741366636087914,,,7435.533142381354,
S,fold1,,,0.9666666666666667,,,0.9576576576576578
R,fold1,,,0.9666666666666667,,,0.9611014523295225
X,fold1,,,0.9833333333333333,,,0.9780116959064328
S,fold1,,,0.9666666666666667,,,0.9576576576576578
M,fold2,0.6207036972045898,0.4050831198692322,0.9666666666666667,0.1457470804452896,6215.90576171875,0.9503968253968255
S,fold2,0.5659428834915161,,,0.16678927838802338,,
R,fold2,0.5492114698149562,,,0.12099760675096595,,
X,fold2,0.4975913166999817,,,0.14340752363204956,,
S,fold2,0.5502145540718512,,,0.12074572695950472,,
S,fold2,,0.4350266456604004,,,5903.04541015625,
R,fold2,,-0.4090979549989193,,,6133.544169880858,
X,fold2,,-1.2621450424194336,,,6729.47314453125,
S,fold2,,-2.0244253186781727,,,6565.127276668552,
S,fold2,,,0.95,,,0.929128277817151
R,fold2,,,0.9666666666666667,,,0.9503968253968255
X,fold2,,,0.9166666666666666,,,0.8860939112487101
S,fold2,,,0.9666666666666667,,,0.9503968253968255
M,fold3,0.5522858500480652,0.37090766429901123,0.9333333333333333,0.16677811741828918,4418.7900390625,0.9063180827886711
S,fold3,0.6712021827697754,,,0.12248054891824722,,
R,fold3,0.39993734391089697,,,0.14586240152956406,,
X,fold3,0.35880333185195923,,,0.15136593580245972,,
S,fold3,0.4320942031798063,,,0.1221254353754528,,
S,fold3,,0.2913520932197571,,,4977.59423828125,
R,fold3,,-0.7943954331404479,,,4920.894933912773,
X,fold3,,-0.1522747278213501,,,6276.50048828125,
S,fold3,,-2.0946843864769704,,,4955.119492226647,
S,fold3,,,0.95,,,0.9324430479183032
R,fold3,,,0.9166666666666666,,,0.8778061949417447
X,fold3,,,0.9833333333333333,,,0.9789987789987791
S,fold3,,,0.9333333333333333,,,0.9063180827886711
M,fold4,0.8033109307289124,0.522642195224762,0.9666666666666667,0.06881120055913925,4120.4931640625,0.9454071034098394
S,fold4,0.8338498473167419,,,0.05812723934650421,,
R,fold4,0.7201815088120325,,,0.07098249560613963,,
X,fold4,0.5738755464553833,,,0.10321129858493805,,
S,fold4,0.7349452355263597,,,0.057450761371232936,,
S,fold4,,0.4911124110221863,,,4392.654296875,
R,fold4,,-1.1509301726194674,,,4359.001684610309,
X,fold4,,-2.2716312408447266,,,6659.50439453125,
S,fold4,,-3.4586985529161405,,,5237.669034788995,
S,fold4,,,0.9833333333333333,,,0.9872729376373943
R,fold4,,,0.9666666666666667,,,0.9454071034098394
X,fold4,,,0.9333333333333333,,,0.9195251000129049
S,fold4,,,0.9833333333333333,,,0.9872729376373943
M,fold5,0.5088805556297302,0.2972506880760193,0.9322033898305084,0.2814587950706482,2174.86669921875,0.8862433862433862
S,fold5,0.49442481994628906,,,0.2897433340549469,,
R,fold5,-0.2199741662347774,,,0.29841150577174824,,
X,fold5,-0.04202413558959961,,,0.3293004035949707,,
S,fold5,-0.12941549245605888,,,0.2692503094560703,,
S,fold5,,0.28815561532974243,,,2203.01416015625,
R,fold5,,0.15950944259948674,,,3066.2424240299115,
X,fold5,,0.0013998746871948242,,,4450.11669921875,
S,fold5,,-0.07530750483110649,,,1541.9127531022557,
S,fold5,,,0.9491525423728814,,,0.9192488262910797
R,fold5,,,0.9491525423728814,,,0.9192488262910797
X,fold5,,,0.9322033898305084,,,0.8862433862433862
S,fold5,,,0.9830508474576272,,,0.975561238988349
