,,accuracy,accuracy,Loss,Loss
,,pH,Available.P,pH,Available.P
method,fold,,,,
M,fold1,0.7186397314071655,0.4817613959312439,0.2421233206987381,32.09156036376953
S,fold1,0.702944815158844,,0.24962034821510315,
R,fold1,-187.31881037208126,,3.9766801118467496,
X,fold1,-161.46717834472656,,3.959540605545044,
S,fold1,-180.44634327007324,,3.9690781639531743,
S,fold1,,0.4801650643348694,,33.39500427246094
R,fold1,,-2.037993898288709,,6889.84456175537
X,fold1,,-1.5893611907958984,,6442.76953125
S,fold1,,-35.46303447392529,,3727.644612199058
M,fold2,0.7511583566665649,0.5927793979644775,0.23026902973651886,35.34741973876953
S,fold2,0.7509720325469971,,0.23113024234771729,
R,fold2,-157.19315637599962,,4.060961274765092,
X,fold2,-147.67233276367188,,4.073495388031006,
S,fold2,-156.42137139402297,,4.06493250480975,
S,fold2,,0.5662518739700317,,35.82609939575195
R,fold2,,-1.82973072531199,,7633.406580358786
X,fold2,,-1.0424973964691162,,7358.73583984375
S,fold2,,-31.054424117449315,,3761.9014741078918
M,fold3,0.6174750328063965,0.09709799289703369,0.2631940543651581,40.10612106323242
S,fold3,0.6400701403617859,,0.2553098499774933,
R,fold3,-137.9637741800436,,3.9753554036824834,
X,fold3,-119.8772201538086,,3.977881908416748,
S,fold3,-153.05862704560596,,3.9774294278769333,
S,fold3,,0.0981518030166626,,40.495689392089844
R,fold3,,-2.2808599857891294,,6656.280441017221
X,fold3,,-1.703456163406372,,6748.13232421875
S,fold3,,-38.066236512752035,,3743.2529506450933
M,fold4,0.7072790861129761,0.40269553661346436,0.23653684556484222,51.967288970947266
S,fold4,0.6974676847457886,,0.2408563494682312,
R,fold4,-143.11859989200084,,4.164644648189623,
X,fold4,-142.85215759277344,,4.1429362297058105,
S,fold4,-142.95143673355693,,4.166298040320974,
S,fold4,,0.42131346464157104,,51.48867416381836
R,fold4,,-1.634441883250783,,5215.186703010177
X,fold4,,-0.9772055149078369,,5306.46875
S,fold4,,-28.679186426547055,,3084.5585097531216
M,fold5,0.5896469354629517,0.20026814937591553,0.27695491909980774,40.88942337036133
S,fold5,0.5647426843643188,,0.28952229022979736,
R,fold5,-152.72904291118385,,3.9261130593143543,
X,fold5,-135.9708709716797,,3.9280219078063965,
S,fold5,-152.52993403748732,,3.9068218573096596,
S,fold5,,0.13481879234313965,,40.565711975097656
R,fold5,,-1.3063764245300722,,7044.567623112762
X,fold5,,-0.8152904510498047,,7022.85400390625
S,fold5,,-31.05832035662481,,3812.6378019621525
