,,accuracy,accuracy,Loss,Loss
,,pH,Available_P,pH,Available_P
method,fold,,,,
M,fold1,0.536719024181366,0.457632839679718,0.29501575231552124,34.4653434753418
S,fold1,0.48504918813705444,,0.3110337257385254,
R,fold1,-188.99393598255068,,3.7947127029560774,
X,fold1,-157.03668212890625,,3.796329975128174,
S,fold1,-186.94098495361723,,3.800670516807788,
S,fold1,,0.4982362985610962,,31.246238708496094
R,fold1,,-1.588864860422822,,6582.00886339564
X,fold1,,-1.077237606048584,,6697.57763671875
S,fold1,,-41.66805155823201,,3630.549487109191
M,fold2,0.6560544967651367,0.2642707824707031,0.2391304075717926,38.75677490234375
S,fold2,0.6187425851821899,,0.25323420763015747,
R,fold2,-180.03970564896423,,4.094593971659908,
X,fold2,-161.54669189453125,,4.096203327178955,
S,fold2,-173.71394567725295,,4.067660655794668,
S,fold2,,0.43426036834716797,,33.75041198730469
R,fold2,,-2.464241343045503,,5267.31240451252
X,fold2,,-1.9610958099365234,,5015.80859375
S,fold2,,-36.09625496775696,,3138.8530273734127
M,fold3,0.6424859762191772,0.2665885090827942,0.2667519152164459,34.033321380615234
S,fold3,0.6144158840179443,,0.2742660343647003,
R,fold3,-166.81463844112227,,3.7693387234979214,
X,fold3,-140.93052673339844,,3.7548470497131348,
S,fold3,-181.729522405315,,3.7631964104476845,
S,fold3,,0.23268157243728638,,35.09135818481445
R,fold3,,-1.748537544219022,,6061.296302258211
X,fold3,,-1.2091064453125,,5994.62939453125
S,fold3,,-45.06557563131137,,3404.7345179195668
M,fold4,0.7845349311828613,0.4505465626716614,0.2029595673084259,44.18605422973633
S,fold4,0.5798561573028564,,0.33280521631240845,
R,fold4,-150.36998194580616,,4.279756011713953,
X,fold4,-128.48992919921875,,4.277761936187744,
S,fold4,-148.16942284661175,,4.260571533832544,
S,fold4,,0.35790491104125977,,48.4547004699707
R,fold4,,-1.842478160547076,,4529.235470652101
X,fold4,,-1.845937967300415,,4564.61181640625
S,fold4,,-31.20494397464268,,2919.240256580679
M,fold5,0.6711643934249878,0.16232037544250488,0.2911481559276581,52.02973937988281
S,fold5,0.6416510343551636,,0.32494673132896423,
R,fold5,-136.66136781928054,,3.5776124181081994,
X,fold5,-117.29124450683594,,3.5836031436920166,
S,fold5,-144.40959312333902,,3.5801469922591336,
S,fold5,,0.2590376138687134,,49.64311218261719
R,fold5,,-1.5498107470506386,,6604.887466995773
X,fold5,,-1.1341311931610107,,6572.15869140625
S,fold5,,-27.275062415272256,,3507.807216570825
