,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,Exchangeable_Ca,Available_P,pH,Exchangeable_Ca,Available_P
method,fold,,,,,,
M,fold1,0.7006967663764954,0.620837926864624,0.4750709533691406,0.2504255473613739,92.45186614990234,46.440486907958984
S,fold1,0.7122248411178589,,,0.2449863851070404,,
R,fold1,-142.44524106211645,,,3.89507783994172,,
X,fold1,-130.12557983398438,,,3.876011371612549,,
S,fold1,-142.24571026245474,,,3.890385530347534,,
S,fold1,,0.6299005746841431,,,92.3769760131836,
R,fold1,,-5.560646808177098,,,66394.60847086606,
X,fold1,,-4.16510009765625,,,68255.359375,
S,fold1,,-1171.0172740044345,,,52736.930548941134,
S,fold1,,,0.4791643023490906,,,48.29851531982422
R,fold1,,,-1.5761028840117461,,,6988.984237589909
X,fold1,,,-0.8988590240478516,,,7702.3603515625
S,fold1,,,-31.136655865188104,,,3682.448025087955
M,fold2,0.6581649780273438,0.4605673551559448,0.4498034119606018,0.2567276060581207,111.68112182617188,46.83943557739258
S,fold2,0.6537424921989441,,,0.25450119376182556,,
R,fold2,-132.2606762230127,,,4.022443467267181,,
X,fold2,-128.1390380859375,,,4.039032936096191,,
S,fold2,-129.21628913228355,,,4.012396848237418,,
S,fold2,,0.4302307367324829,,,112.1091079711914,
R,fold2,,-5.028031530466873,,,69523.71504669888,
X,fold2,,-3.8574256896972656,,,71825.7421875,
S,fold2,,-1279.3138474116474,,,53084.4903771941,
S,fold2,,,0.4612284302711487,,,47.12855529785156
R,fold2,,,-1.4900377820672634,,,7158.748952494584
X,fold2,,,-1.6905207633972168,,,6223.8603515625
S,fold2,,,-36.78123992202089,,,3553.7356901386297
M,fold3,0.6635996699333191,0.4345875382423401,0.312350332736969,0.2424135059118271,98.31285858154297,35.95503234863281
S,fold3,0.6377967596054077,,,0.254282683134079,,
R,fold3,-153.63014251161542,,,4.164680090675112,,
X,fold3,-161.11166381835938,,,4.148414134979248,,
S,fold3,-178.5704568779501,,,4.161491073587239,,
S,fold3,,0.4226788878440857,,,100.529296875,
R,fold3,,-7.4704177696902665,,,62266.623608425965,
X,fold3,,-6.246931076049805,,,61365.1015625,
S,fold3,,-1341.3078117080356,,,57063.16460522462,
S,fold3,,,0.31384778022766113,,,34.95204544067383
R,fold3,,,-2.0126854880580933,,,6918.1724520905445
X,fold3,,,-1.166156530380249,,,7636.12841796875
S,fold3,,,-31.66592112439308,,,3807.892793341043
M,fold4,0.828122079372406,0.6498684883117676,0.43210434913635254,0.19164517521858215,84.37138366699219,36.57257080078125
S,fold4,0.841922402381897,,,0.1919267326593399,,
R,fold4,-172.3422190920832,,,4.388003414310611,,
X,fold4,-168.51699829101562,,,4.373076915740967,,
S,fold4,-192.2748219642368,,,4.371928044298555,,
S,fold4,,0.620949387550354,,,83.6683120727539,
R,fold4,,-6.059745406850519,,,61722.126443531844,
X,fold4,,-4.431967735290527,,,61518.765625,
S,fold4,,-931.6705097577908,,,54888.57327996734,
S,fold4,,,0.49671506881713867,,,35.75384521484375
R,fold4,,,-2.2537707396824875,,,5964.627669900827
X,fold4,,,-1.490309715270996,,,5201.94482421875
S,fold4,,,-34.9678658346877,,,3751.165630515107
M,fold5,0.5270911455154419,0.5172560214996338,0.2505671977996826,0.30532366037368774,92.61836242675781,32.674560546875
S,fold5,0.5137952566146851,,,0.30812177062034607,,
R,fold5,-162.49774390649173,,,3.891393208969512,,
X,fold5,-129.11663818359375,,,3.9106528759002686,,
S,fold5,-166.08546152320594,,,3.874299692590622,,
S,fold5,,0.5206036567687988,,,93.72743225097656,
R,fold5,,-6.00276311559211,,,60277.240202641355,
X,fold5,,-5.764748573303223,,,60593.1328125,
S,fold5,,-956.4271625560697,,,51076.56760155645,
S,fold5,,,0.18429780006408691,,,35.39894104003906
R,fold5,,,-1.3776481283023578,,,6869.085325954065
X,fold5,,,-1.102201223373413,,,6572.1181640625
S,fold5,,,-28.88933916091147,,,3755.2468429064593
