Metric,Model,pH,Exchangeable_Ca,Available_P
R2,MT,0.676±0.096,0.537±0.085,0.384±0.087
R2,ST,0.672±0.107,0.525±0.089,0.387±0.120
R2,RF,-152.635±14.182,-6.024±0.812,-1.742±0.334
R2,SVR,-161.679±23.118,-1135.947±166.080,-32.688±2.823
R2,XGB,-143.402±17.650,-4.893±0.939,-1.270±0.284
MSE,MT,0.249±0.036,95.887±9.060,39.696±5.824
MSE,ST,0.251±0.037,96.482±9.479,40.306±6.065
MSE,RF,4.072±0.187,64036.863±3414.411,6779.924±419.282
MSE,SVR,4.062±0.186,53769.945±2043.912,3710.098±87.752
MSE,XGB,4.069±0.180,64711.620±4506.091,6667.282±934.124
