,,accuracy,accuracy,Loss,Loss
,,pH,Exchangeable_Ca,pH,Exchangeable_Ca
method,fold,,,,
M,fold1,0.7233431339263916,0.6280344724655151,0.23994332551956177,91.46934509277344
S,fold1,0.7109915018081665,,0.2456420511007309,
R,fold1,-142.44524106211645,,3.89507783994172,
X,fold1,-130.12557983398438,,3.876011371612549,
S,fold1,-142.24571026245474,,3.890385530347534,
S,fold1,,0.622251570224762,,91.52776336669922
R,fold1,,-5.560646808177098,,66394.60847086606
X,fold1,,-4.16510009765625,,68255.359375
S,fold1,,-1171.0172740044345,,52736.930548941134
M,fold2,0.6279261112213135,0.3946695923805237,0.26876670122146606,112.96145629882812
S,fold2,0.6565258502960205,,0.25558650493621826,
R,fold2,-126.79875711340387,,4.017147804865142,
X,fold2,-128.1390380859375,,4.039032936096191,
S,fold2,-129.21628913228355,,4.012396848237418,
S,fold2,,0.4283416271209717,,111.90946197509766
R,fold2,,-5.1589698378907185,,69038.52163264381
X,fold2,,-3.8574256896972656,,71825.7421875
S,fold2,,-1279.3138474116474,,53084.4903771941
M,fold3,0.6531846523284912,0.41593438386917114,0.24843426048755646,102.48595428466797
S,fold3,0.6550747156143188,,0.2499045729637146,
R,fold3,-157.271708239715,,4.159090108993434,
X,fold3,-161.11166381835938,,4.148414134979248,
S,fold3,-178.5704568779501,,4.161491073587239,
S,fold3,,0.4232221245765686,,103.18460845947266
R,fold3,,-7.7036911726000845,,62492.98434611147
X,fold3,,-6.246931076049805,,61365.1015625
S,fold3,,-1341.3078117080356,,57063.16460522462
M,fold4,0.8464717864990234,0.6064232587814331,0.18519379198551178,88.24581909179688
S,fold4,0.8286000490188599,,0.19427427649497986,
R,fold4,-166.66488671725318,,4.3957008977830965,
X,fold4,-168.51699829101562,,4.373076915740967,
S,fold4,-192.2748219642368,,4.371928044298555,
S,fold4,,0.6480094194412231,,80.0833511352539
R,fold4,,-6.163578981383445,,62688.683886927436
X,fold4,,-4.431967735290527,,61518.765625
S,fold4,,-931.6705097577908,,54888.57327996734
M,fold5,0.5365782976150513,0.5190784335136414,0.30221447348594666,97.2204360961914
S,fold5,0.5428059101104736,,0.2996971011161804,
R,fold5,-158.48558297629052,,3.8891385731907677,
X,fold5,-129.11663818359375,,3.9106528759002686,
S,fold5,-166.08546152320594,,3.874299692590622,
S,fold5,,0.5321835279464722,,92.85538482666016
R,fold5,,-6.282183612518468,,60587.55262558377
X,fold5,,-5.764748573303223,,60593.1328125
S,fold5,,-956.4271625560697,,51076.56760155645
