,,accuracy,accuracy,Loss,Loss
,,pH,croptype,pH,croptype
method,fold,,,,
M,fold1,0.6646392345428467,0.9333333333333333,0.16874590516090393,0.9259259259259259
S,fold1,0.6809267997741699,,0.16055037081241608,
R,fold1,0.4899335275169575,,0.14207261009792865,
X,fold1,0.42311912775039673,,0.24297161400318146,
S,fold1,0.43127519850187135,,0.15281926740246757,
S,fold1,,0.9666666666666667,,0.9648351648351648
R,fold1,,1.0,,1.0
X,fold1,,1.0,,1.0
S,fold1,,0.9666666666666667,,0.9648351648351648
M,fold2,0.7815731763839722,0.9666666666666667,0.07192080467939377,0.9438339438339437
S,fold2,0.765687108039856,,0.07715156674385071,
R,fold2,0.7155389098851354,,0.08370486926330485,
X,fold2,0.6843357086181641,,0.11079582571983337,
S,fold2,0.7760565656905926,,0.06597742986447547,
S,fold2,,0.9333333333333333,,0.9126148705096074
R,fold2,,0.9333333333333333,,0.9126148705096074
X,fold2,,0.9333333333333333,,0.9126148705096074
S,fold2,,0.9333333333333333,,0.9126148705096074
M,fold3,0.2270452380180359,0.9333333333333333,0.22951166331768036,0.9269005847953217
S,fold3,0.40612703561782837,,0.1763373166322708,
R,fold3,0.33862163343381735,,0.18413656454989752,
X,fold3,0.2738756537437439,,0.22200530767440796,
S,fold3,0.4204472693494957,,0.15886489116831662,
S,fold3,,0.9333333333333333,,0.9269005847953217
R,fold3,,0.9333333333333333,,0.9269005847953217
X,fold3,,0.9333333333333333,,0.9269005847953217
S,fold3,,0.9333333333333333,,0.9269005847953217
M,fold4,0.7712218761444092,1.0,0.10786810517311096,1.0
S,fold4,0.7815704345703125,,0.10298877209424973,
R,fold4,0.6501915309113053,,0.10629126069785853,
X,fold4,0.705773115158081,,0.10170960426330566,
S,fold4,0.6718648884392258,,0.09472397378463474,
S,fold4,,1.0,,1.0
R,fold4,,1.0,,1.0
X,fold4,,0.9,,0.867612293144208
S,fold4,,1.0,,1.0
M,fold5,0.5732853412628174,0.9333333333333333,0.1475207656621933,0.9236111111111112
S,fold5,0.6937922239303589,,0.10585996508598328,
R,fold5,0.3548837609503309,,0.13444703551043974,
X,fold5,0.6210441589355469,,0.10154513269662857,
S,fold5,0.6123553830148846,,0.08603483576471624,
S,fold5,,0.9333333333333333,,0.9236111111111112
R,fold5,,0.9333333333333333,,0.9236111111111112
X,fold5,,0.9333333333333333,,0.9236111111111112
S,fold5,,0.9333333333333333,,0.9236111111111112
M,fold6,0.655415415763855,0.9666666666666667,0.13698191940784454,0.9428571428571427
S,fold6,0.6849659085273743,,0.12523476779460907,
R,fold6,0.3961701488297831,,0.1344428696924009,
X,fold6,0.49354803562164307,,0.13203099370002747,
S,fold6,0.35978469620578934,,0.1434265702074569,
S,fold6,,0.9666666666666667,,0.9428571428571427
R,fold6,,0.9333333333333333,,0.8703703703703703
X,fold6,,0.9666666666666667,,0.9428571428571427
S,fold6,,0.9,,0.8427736006683375
M,fold7,0.7586857676506042,1.0,0.0667615681886673,1.0
S,fold7,0.7837105393409729,,0.05983825773000717,
R,fold7,0.7102523741749817,,0.06925617671970509,
X,fold7,0.5600541830062866,,0.1116042286157608,
S,fold7,0.843507187985796,,0.03606024270097937,
S,fold7,,1.0,,1.0
R,fold7,,0.9666666666666667,,0.9238095238095237
X,fold7,,1.0,,1.0
S,fold7,,1.0,,1.0
M,fold8,0.803449809551239,0.9666666666666667,0.08309897780418396,0.9754062362758015
S,fold8,0.817678689956665,,0.07708318531513214,
R,fold8,0.7258181612441186,,0.06553433323088557,
X,fold8,0.7502147555351257,,0.06732943654060364,
S,fold8,0.7020680428941313,,0.06558004364479775,
S,fold8,,0.9666666666666667,,0.9754062362758015
R,fold8,,0.9666666666666667,,0.9754062362758015
X,fold8,,0.9333333333333333,,0.8980072463768116
S,fold8,,0.9666666666666667,,0.9754062362758015
M,fold9,0.4475858211517334,0.9666666666666667,0.40639016032218933,0.8798798798798799
S,fold9,0.4136887192726135,,0.4313269853591919,
R,fold9,-0.9080403625855344,,0.42039016123895545,
X,fold9,-0.39359045028686523,,0.3833683729171753,
S,fold9,-0.8159494942877865,,0.4092810682141507,
S,fold9,,0.9666666666666667,,0.8798798798798799
R,fold9,,0.9666666666666667,,0.8798798798798799
X,fold9,,0.9666666666666667,,0.8798798798798799
S,fold9,,0.9666666666666667,,0.8798798798798799
M,fold10,0.5561127662658691,1.0,0.15585866570472717,1.0
S,fold10,0.4976523518562317,,0.17638541758060455,
R,fold10,0.3559706221405693,,0.14563007209198553,
X,fold10,0.15770602226257324,,0.16474562883377075,
S,fold10,0.3972456794324767,,0.14858881681463235,
S,fold10,,1.0,,1.0
R,fold10,,0.9655172413793104,,0.9642579642579644
X,fold10,,0.9310344827586207,,0.9278846153846154
S,fold10,,1.0,,1.0
