Metric,Model,pHtype,Available.P,Exchangeable.K
R2,MT,0.741±0.044,0.385±0.068,0.270±0.068
R2,ST,0.738±0.065,0.376±0.086,0.285±0.065
R2,RF,0.744±0.043,-1.913±0.301,-8.116±2.774
R2,SVR,0.734±0.050,-34.925±5.251,-37.729±6.828
R2,XGB,0.773±0.055,-1.357±0.246,-6.304±1.877
MSE,MT,0.700±0.034,44.041±4.495,15.114±1.284
MSE,ST,0.698±0.044,45.208±5.766,14.524±2.066
MSE,RF,0.700±0.032,6332.390±692.222,1027.056±114.124
MSE,SVR,0.688±0.046,3570.570±274.875,851.401±73.667
MSE,XGB,0.743±0.046,6583.594±955.033,998.633±130.610
