,,accuracy,accuracy,Loss,Loss
,,pHtype,Available.P,pHtype,Available.P
method,fold,,,,
M,fold1,0.6031746031746031,0.2969120144844055,0.46833446022086994,35.64854431152344
S,fold1,0.5873015873015873,,0.5703802838700279,
R,fold1,0.7142857142857143,,0.7073068543656779,
X,fold1,0.8095238095238095,,0.8044871794871794,
S,fold1,0.6984126984126984,,0.6790346907993966,
S,fold1,,0.46407032012939453,,33.2512321472168
R,fold1,,-2.037993898288709,,6889.84456175537
X,fold1,,-1.5893611907958984,,6442.76953125
S,fold1,,-35.46303447392529,,3727.644612199058
M,fold2,0.4603174603174603,0.5402936935424805,0.3333333333333333,36.65853500366211
S,fold2,0.5079365079365079,,0.3862433862433862,
R,fold2,0.7142857142857143,,0.6893357954873333,
X,fold2,0.746031746031746,,0.7256339485941004,
S,fold2,0.7142857142857143,,0.6820021613125062,
S,fold2,,0.5606771111488342,,32.76560592651367
R,fold2,,-1.82973072531199,,7633.406580358786
X,fold2,,-1.0424973964691162,,7358.73583984375
S,fold2,,-31.054424117449315,,3761.9014741078918
