,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,Available.P,crop_ph,pH,Available.P,crop_ph
method,fold,,,,,,
M,fold1,0.7911865711212158,0.5484603047370911,0.9375,0.19633720815181732,31.058691024780273,0.9085714285714286
S,fold1,0.7800900936126709,,,0.21076686680316925,,
R,fold1,-208.94358766755838,,,4.092414638458611,,
X,fold1,-137.7820281982422,,,4.058204650878906,,
S,fold1,-209.8664232210191,,,4.132764206351869,,
S,fold1,,0.39352232217788696,,,32.19197082519531,
R,fold1,,-1.5726926812643192,,,6184.214163626437,
X,fold1,,-1.2170357704162598,,,6727.51708984375,
S,fold1,,-30.781547426033562,,,3846.4160845410834,
S,fold1,,,0.90625,,,0.8693877551020408
R,fold1,,,0.84375,,,0.782312925170068
X,fold1,,,0.78125,,,0.7196495619524406
S,fold1,,,0.90625,,,0.8693877551020408
M,fold2,0.3082231879234314,0.379650354385376,0.875,0.3082802891731262,42.90433883666992,0.8545454545454545
S,fold2,0.3244065046310425,,,0.3044409155845642,,
R,fold2,-173.35172220017387,,,3.98441338152456,,
X,fold2,-164.09140014648438,,,3.946820020675659,,
S,fold2,-161.48554636289433,,,3.968143967793668,,
S,fold2,,0.40947169065475464,,,43.23101043701172,
R,fold2,,-1.6850707566193628,,,7306.6884049338605,
X,fold2,,-1.177901268005371,,,7223.623046875,
S,fold2,,-30.515696197732645,,,3734.624525898418,
S,fold2,,,0.90625,,,0.893687707641196
R,fold2,,,0.875,,,0.8545454545454545
X,fold2,,,0.90625,,,0.893687707641196
S,fold2,,,0.90625,,,0.8981972428419936
M,fold3,0.510959804058075,0.06686437129974365,0.9032258064516129,0.2802158296108246,48.126129150390625,0.89198606271777
S,fold3,0.4347655177116394,,,0.28219348192214966,,
R,fold3,-150.62308702097332,,,3.9487587102648556,,
X,fold3,-148.75254821777344,,,3.9616315364837646,,
S,fold3,-136.17835431843767,,,3.9612861426318338,,
S,fold3,,0.08284938335418701,,,48.345916748046875,
R,fold3,,-1.1800203156856268,,,6378.3568039075135,
X,fold3,,-1.0975615978240967,,,6402.71728515625,
S,fold3,,-31.88438429725965,,,3702.248776635407,
S,fold3,,,0.9032258064516129,,,0.89198606271777
R,fold3,,,0.9032258064516129,,,0.89198606271777
X,fold3,,,0.8709677419354839,,,0.8590909090909091
S,fold3,,,0.967741935483871,,,0.9639953542392566
M,fold4,0.7399502992630005,0.52936851978302,0.8064516129032258,0.23096604645252228,42.78534698486328,0.7785714285714285
S,fold4,0.7530704140663147,,,0.2350597083568573,,
R,fold4,-155.05929881743364,,,4.029838396725895,,
X,fold4,-121.48210906982422,,,4.035243511199951,,
S,fold4,-173.94842248087383,,,4.03884963167343,,
S,fold4,,0.5731197595596313,,,38.77949142456055,
R,fold4,,-1.956788582907652,,,8301.43429167687,
X,fold4,,-1.8089137077331543,,,7637.71533203125,
S,fold4,,-33.403439916059625,,,3965.0392184225157,
S,fold4,,,0.8387096774193549,,,0.810281517747858
R,fold4,,,0.8387096774193549,,,0.810281517747858
X,fold4,,,0.9354838709677419,,,0.9217171717171717
S,fold4,,,0.8387096774193549,,,0.8199767711962833
M,fold5,0.4977111220359802,0.4382379651069641,0.7741935483870968,0.3117995858192444,25.051321029663086,0.758082497212932
S,fold5,0.3534652590751648,,,0.3696204423904419,,
R,fold5,-228.42470400556815,,,3.8395414610147527,,
X,fold5,-189.5706024169922,,,3.819281578063965,,
S,fold5,-231.97428471909782,,,3.8365176609066176,,
S,fold5,,0.36454886198043823,,,28.635757446289062,
R,fold5,,-4.222834094939404,,,6261.931230035061,
X,fold5,,-2.808328628540039,,,6728.96533203125,
S,fold5,,-43.38459650165916,,,4216.648028883742,
S,fold5,,,0.7419354838709677,,,0.7181818181818183
R,fold5,,,0.8064516129032258,,,0.7960526315789473
X,fold5,,,0.8387096774193549,,,0.8272017837235228
S,fold5,,,0.7741935483870968,,,0.7654054054054054
M,fold6,0.7750851511955261,0.3231363892555237,0.9354838709677419,0.21205918490886688,40.99618148803711,0.9261904761904762
S,fold6,0.7656846642494202,,,0.22566506266593933,,
R,fold6,-148.83697564489776,,,3.9814031214572188,,
X,fold6,-106.08757019042969,,,4.024057865142822,,
S,fold6,-165.76114838668394,,,3.994710753273461,,
S,fold6,,0.4180559515953064,,,39.373104095458984,
R,fold6,,-1.889265686254784,,,7350.875482659527,
X,fold6,,-1.650341272354126,,,6925.48193359375,
S,fold6,,-37.44681054066724,,,3796.460936507573,
S,fold6,,,0.967741935483871,,,0.9639953542392566
R,fold6,,,0.9354838709677419,,,0.9261904761904762
X,fold6,,,0.967741935483871,,,0.9620563035495715
S,fold6,,,0.967741935483871,,,0.9639953542392566
M,fold7,0.7987766265869141,0.5977123975753784,0.8709677419354839,0.23734568059444427,42.729820251464844,0.8434343434343434
S,fold7,0.805583655834198,,,0.23729591071605682,,
R,fold7,-140.75426566017507,,,3.787418057486979,,
X,fold7,-127.99526977539062,,,3.78657603263855,,
S,fold7,-142.9869149015183,,,3.783067592515874,,
S,fold7,,0.65301513671875,,,41.98229217529297,
R,fold7,,-1.3704150700904099,,,6515.765394101502,
X,fold7,,-1.4853575229644775,,,6278.42578125,
S,fold7,,-20.939108158774136,,,3450.6836185886195,
S,fold7,,,0.8387096774193549,,,0.810281517747858
R,fold7,,,0.8709677419354839,,,0.8523809523809525
X,fold7,,,0.9354838709677419,,,0.9217171717171717
S,fold7,,,0.8709677419354839,,,0.8523809523809525
M,fold8,0.770776093006134,0.49600958824157715,0.9354838709677419,0.18621008098125458,34.43934631347656,0.9077380952380952
S,fold8,0.7698471546173096,,,0.2002614587545395,,
