Metric,Model,pH,Available.P,crop_ph
R2,MT,0.652±0.155,0.390±0.159,0.881±0.056
R2,ST,0.633±0.178,0.385±0.152,0.884±0.062
R2,RF,-163.797±31.221,-1.825±0.842,0.862±0.046
R2,SVR,-169.037±32.997,-30.729±6.175,0.897±0.056
R2,XGB,-142.341±24.539,-1.477±0.502,0.901±0.062
MSE,MT,0.256±0.046,40.188±7.211,0.860±0.057
MSE,ST,0.266±0.051,39.630±6.303,0.862±0.066
MSE,RF,3.955±0.113,6671.122±757.284,0.832±0.058
MSE,SVR,3.958±0.116,3769.443±208.094,0.881±0.058
MSE,XGB,3.950±0.114,6667.730±535.839,0.881±0.076
