,,accuracy,accuracy,Loss,Loss
,,pH,Available.P,pH,Available.P
method,fold,,,,
M,fold1,0.8063135147094727,0.5551696419715881,0.19540520012378693,29.5755615234375
S,fold1,0.7969578504562378,,0.19109144806861877,
R,fold1,-208.94358766755838,,4.092414638458611,
X,fold1,-137.7820281982422,,4.058204650878906,
S,fold1,-209.8664232210191,,4.132764206351869,
S,fold1,,0.5387054681777954,,26.857738494873047
R,fold1,,-1.5726926812643192,,6184.214163626437
X,fold1,,-1.2170357704162598,,6727.51708984375
S,fold1,,-30.781547426033562,,3846.4160845410834
M,fold2,0.3120315670967102,0.36480748653411865,0.29484057426452637,44.123878479003906
S,fold2,0.35094892978668213,,0.31276610493659973,
R,fold2,-168.60184232205546,,3.9799612308378816,
X,fold2,-164.09140014648438,,3.946820020675659,
S,fold2,-161.48554636289433,,3.968143967793668,
S,fold2,,0.4074251055717468,,42.39015197753906
R,fold2,,-1.6111269422798715,,7693.769409830706
X,fold2,,-1.177901268005371,,7223.623046875
S,fold2,,-30.515696197732645,,3734.624525898418
M,fold3,0.4530084729194641,0.11482137441635132,0.2911186218261719,45.58393096923828
S,fold3,0.5622793436050415,,0.2634983956813812,
R,fold3,-142.215287004063,,3.949922952514617,
X,fold3,-148.75254821777344,,3.9616315364837646,
S,fold3,-136.17835431843767,,3.9612861426318338,
S,fold3,,0.02143561840057373,,49.308204650878906
R,fold3,,-1.18472866553123,,6634.139397435906
X,fold3,,-1.0975615978240967,,6402.71728515625
S,fold3,,-31.88438429725965,,3702.248776635407
M,fold4,0.7508450746536255,0.6226931810379028,0.22926321625709534,39.21049880981445
S,fold4,0.7180939316749573,,0.2447338104248047,
R,fold4,-165.53789537288029,,4.036057719421901,
X,fold4,-121.48210906982422,,4.035243511199951,
S,fold4,-173.94842248087383,,4.03884963167343,
S,fold4,,0.523604154586792,,40.47694396972656
R,fold4,,-2.03170501922378,,8143.513615811994
X,fold4,,-1.8089137077331543,,7637.71533203125
S,fold4,,-33.403439916059625,,3965.0392184225157
M,fold5,0.3719865083694458,0.2616305351257324,0.35279402136802673,30.55056381225586
S,fold5,0.5144666433334351,,0.31081482768058777,
R,fold5,-229.4554249653779,,3.8401134336361253,
X,fold5,-189.5706024169922,,3.819281578063965,
S,fold5,-231.97428471909782,,3.8365176609066176,
S,fold5,,0.31804633140563965,,26.060840606689453
R,fold5,,-4.120100751149061,,6386.079736430636
X,fold5,,-2.808328628540039,,6728.96533203125
S,fold5,,-43.38459650165916,,4216.648028883742
M,fold6,0.7497653961181641,0.4021971821784973,0.22503845393657684,37.413272857666016
S,fold6,0.7818413972854614,,0.21904362738132477,
R,fold6,-155.99009196944263,,3.994864584888425,
X,fold6,-106.08757019042969,,4.024057865142822,
S,fold6,-165.76114838668394,,3.994710753273461,
S,fold6,,0.46772903203964233,,35.41100311279297
R,fold6,,-1.9644865706860308,,7508.285941834856
X,fold6,,-1.650341272354126,,6925.48193359375
S,fold6,,-37.44681054066724,,3796.460936507573
M,fold7,0.7966098785400391,0.6167266368865967,0.23509538173675537,41.440338134765625
S,fold7,0.7996758222579956,,0.2345546931028366,
R,fold7,-143.9006617405184,,3.798647256967302,
X,fold7,-127.99526977539062,,3.78657603263855,
S,fold7,-142.9869149015183,,3.783067592515874,
S,fold7,,0.6172064542770386,,44.82300567626953
R,fold7,,-1.3632940406802794,,6510.233883033305
X,fold7,,-1.4853575229644775,,6278.42578125
S,fold7,,-20.939108158774136,,3450.6836185886195
M,fold8,0.797524094581604,0.5131981372833252,0.18653519451618195,32.27150344848633
S,fold8,0.7910477519035339,,0.19211415946483612,
R,fold8,-179.63772695242847,,4.164380394291903,
X,fold8,-166.714111328125,,4.159168720245361,
S,fold8,-193.9545866265277,,4.134117325500856,
S,fold8,,0.43707603216171265,,32.62227249145508
R,fold8,,-1.4048413328077043,,5630.042806707931
X,fold8,,-1.1022186279296875,,5731.7646484375
S,fold8,,-28.317842932345304,,3731.8552640224666
M,fold9,0.6579711437225342,0.16742265224456787,0.2919690012931824,48.017730712890625
S,fold9,0.6915103197097778,,0.2835116982460022,
R,fold9,-129.52688707408697,,3.8876208162238255,
X,fold9,-115.88998413085938,,3.871086597442627,
S,fold9,-117.74918588289925,,3.8960525037845155,
S,fold9,,0.25321757793426514,,46.095088958740234
R,fold9,,-1.2849142558708633,,6857.632881335178
X,fold9,,-1.1106255054473877,,6957.95263671875
S,fold9,,-23.431247098314266,,3762.6742121849825
M,fold10,0.6757876873016357,0.3011102080345154,0.2819593548774719,52.8737907409668
S,fold10,0.6189675331115723,,0.32437023520469666,
R,fold10,-138.5676584181049,,3.834521360361145,
X,fold10,-145.04434204101562,,3.8373806476593018,
S,fold10,-156.46273358738114,,3.8319860247911386,
S,fold10,,0.3103630542755127,,54.860694885253906
R,fold10,,-1.6625082296476417,,5779.575466295784
X,fold10,,-1.3111765384674072,,6063.1376953125
S,fold10,,-27.18124681036309,,3487.7800643944483
