,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,Humus,CEC,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,Humus,CEC
method,fold,,,,,,,,,,,,,,,,
M,fold1,0.6598492960754517,0.6768902441362271,0.7145950633299358,0.7290378920830741,0.834340904577795,0.643929042650264,0.7238587436392828,0.6620705323522738,1.010118007659912,0.2943788766860962,45.32736587524414,10.945589065551758,0.2457236647605896,0.025605345144867897,1.929756760597229,5.302124500274658
M,fold1,0.6541022618396395,0.6900782649560804,0.6995779350937827,0.7316772434454392,0.8326763115957596,0.6877656040323828,0.7156197215407465,0.682433200470145,1.0030219554901123,0.2566482424736023,48.54917526245117,10.77625560760498,0.25817617774009705,0.024295637384057045,1.8752634525299072,5.263315200805664
S,fold1,0.6292455495876809,,,,,,,,0.9935178160667419,,,,,,,
R,fold1,0.6294390657622984,,,,,,,,5.991985489135626,,,,,,,
X,fold1,0.43349372691616755,,,,,,,,6.389586925506592,,,,,,,
S,fold1,0.6785085879058885,,,,,,,,4.217722232167814,,,,,,,
S,fold1,,0.6977077027136871,,,,,,,,0.2601374685764313,,,,,,
R,fold1,,0.40152617929146034,,,,,,,,0.9449330557156228,,,,,,
X,fold1,,0.3047342027343196,,,,,,,,0.8659855127334595,,,,,,
S,fold1,,0.6695054823598751,,,,,,,,0.8424327776978388,,,,,,
S,fold1,,,0.7092304811047686,,,,,,,,48.651512145996094,,,,,
R,fold1,,,0.6203179062094337,,,,,,,,6988.984237589909,,,,,
X,fold1,,,0.5496185322798174,,,,,,,,7702.3603515625,,,,,
S,fold1,,,0.524355560684645,,,,,,,,3682.448025087955,,,,,
S,fold1,,,,0.7559350757122323,,,,,,,,10.479557037353516,,,,
R,fold1,,,,0.6608734677283724,,,,,,,,849.3126510094434,,,,
X,fold1,,,,0.6140683144632355,,,,,,,,832.8018798828125,,,,
S,fold1,,,,0.545243642939217,,,,,,,,696.8760845140873,,,,
S,fold1,,,,,0.8512987089898282,,,,,,,,0.2512767016887665,,,
R,fold1,,,,,0.8361545287991117,,,,,,,,3.895201161447481,,,
X,fold1,,,,,0.7827077435337993,,,,,,,,3.876011371612549,,,
S,fold1,,,,,0.8376852668796123,,,,,,,,3.890385530347534,,,
S,fold1,,,,,,0.6349063283142138,,,,,,,,0.02734851837158203,,
R,fold1,,,,,,0.620699814392001,,,,,,,,0.03450576348556141,,
X,fold1,,,,,,0.5657656601674512,,,,,,,,0.03433423861861229,,
S,fold1,,,,,,0.6100521467578287,,,,,,,,0.035994017119321466,,
S,fold1,,,,,,,0.7123193088745107,,,,,,,,1.9245531558990479,
