,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC
method,fold,,,,,,,,,,,,
M,fold1,0.6305023336780098,0.6673844259844934,0.7093786421259755,0.7122434822294448,0.8539498887308534,0.6561661334430844,1.0964710712432861,0.3048391342163086,45.388179779052734,11.10920524597168,0.24142101407051086,0.025419117882847786
M,fold1,0.6179346898616429,0.5976944278608751,0.7036914688839679,0.747260221268433,0.8265615377160496,0.6450757871577424,1.122581958770752,0.32147181034088135,49.45233917236328,10.33663272857666,0.260464072227478,0.025432461872696877
S,fold1,0.6138024093619568,,,,,,1.089415431022644,,,,,
R,fold1,0.6252278009143528,,,,,,1.0955473130534579,,,,,
X,fold1,0.43315165837741426,,,,,,1.340421438217163,,,,,
S,fold1,0.6841540395137273,,,,,,0.880454472728062,,,,,
S,fold1,,0.6803022859029606,,,,,,0.3190223276615143,,,,
R,fold1,,0.4056254611452576,,,,,,0.3020106843316872,,,,
X,fold1,,0.30525497171051746,,,,,,0.2799331247806549,,,,
S,fold1,,0.6592548760198499,,,,,,0.2315135820877433,,,,
S,fold1,,,0.6952256838824663,,,,,,52.1161994934082,,,
R,fold1,,,0.620274793762531,,,,,,52.23062228151571,,,
X,fold1,,,0.5497806783863323,,,,,,53.29713439941406,,,
S,fold1,,,0.702511693521519,,,,,,44.1126563724231,,,
S,fold1,,,,0.671934960810179,,,,,,11.720779418945312,,
R,fold1,,,,0.6610644088452554,,,,,,12.66519386314113,,
X,fold1,,,,0.6136025647258164,,,,,,13.700155258178711,,
S,fold1,,,,0.6854176426452536,,,,,,11.965129771529075,,
S,fold1,,,,,0.847182556629573,,,,,,0.273318886756897,
R,fold1,,,,,0.8361612351564995,,,,,,0.2513583110250696,
X,fold1,,,,,0.7825401956481226,,,,,,0.2992951273918152,
S,fold1,,,,,0.8388467129795297,,,,,,0.24808579148466178,
S,fold1,,,,,,0.620235000737979,,,,,,0.0268049705773592
R,fold1,,,,,,0.6201194478041544,,,,,,0.02507666698332252
X,fold1,,,,,,0.5608315180602124,,,,,,0.027211306616663933
S,fold1,,,,,,0.7110512422328076,,,,,,0.02169084460048348
M,fold2,0.8051380247596606,0.8058555804446137,0.7057778392595612,0.5776679112509301,0.8331784604480683,0.7956499151154302,1.0491855144500732,0.30787548422813416,45.0709228515625,13.363311767578125,0.2695105969905853,0.025572380051016808
M,fold2,0.8015792889201001,0.8249358351501216,0.6823928782600992,0.5920696511055986,0.8354737613427431,0.7930208254359316,1.0642861127853394,0.31039735674858093,47.36275863647461,13.089510917663574,0.26863688230514526,0.024917755275964737
S,fold2,0.7781015409556735,,,,,,1.0761852264404297,,,,,
R,fold2,0.7582649029684316,,,,,,1.174439776928712,,,,,
X,fold2,0.7572086083932943,,,,,,1.2280603647232056,,,,,
S,fold2,0.7502190959901057,,,,,,1.1651117732544352,,,,,
S,fold2,,0.8180581507524215,,,,,,0.3016781806945801,,,,
R,fold2,,0.5884058192977126,,,,,,0.3897900556860158,,,,
X,fold2,,0.6131933655340932,,,,,,0.38861772418022156,,,,
S,fold2,,0.7868876736844919,,,,,,0.3053520041551559,,,,
