Metric,Model,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC
R2,MT,0.768±0.060,0.739±0.065,0.672±0.075,0.687±0.088,0.828±0.059,0.731±0.054
R2,MT_comp,0.762±0.071,0.750±0.071,0.675±0.064,0.689±0.078,0.826±0.062,0.735±0.052
R2,ST,0.755±0.067,0.761±0.072,0.680±0.057,0.666±0.075,0.827±0.064,0.714±0.047
R2,RF,0.747±0.070,0.603±0.112,0.632±0.089,0.668±0.050,0.811±0.057,0.720±0.070
R2,SVR,0.746±0.060,0.731±0.046,0.691±0.075,0.670±0.057,0.835±0.060,0.719±0.040
R2,XGB,0.667±0.131,0.570±0.146,0.535±0.056,0.590±0.033,0.775±0.056,0.685±0.068
MSE,MT,0.987±0.056,0.337±0.038,40.576±5.417,11.660±1.260,0.254±0.031,0.025±0.002
MSE,MT_comp,1.009±0.094,0.342±0.033,40.503±7.631,11.709±1.199,0.254±0.038,0.025±0.002
MSE,ST,1.007±0.098,0.327±0.062,39.670±6.598,12.228±1.332,0.255±0.034,0.025±0.001
MSE,RF,1.019±0.127,0.367±0.039,42.323±6.132,12.073±0.511,0.261±0.031,0.025±0.002
MSE,SVR,0.952±0.133,0.331±0.067,36.822±9.261,11.754±0.631,0.247±0.037,0.024±0.002
MSE,XGB,1.097±0.171,0.356±0.053,46.534±4.764,13.080±0.690,0.281±0.028,0.026±0.001
