,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC
method,fold,,,,,,,,,,,,
M,fold1,0.5394946171346423,0.3380806588584841,0.6859746529835905,0.7893812506307658,0.842515666373756,0.41951900959980254,1.6377724409103394,0.6625429391860962,33.4807243347168,13.561741828918457,0.24707409739494324,0.04734639823436737
M,fold1,0.4938862919686673,0.35807623873469124,0.6867441568819191,0.75113706540091,0.8437210471026416,0.4702605716790391,1.9781286716461182,0.580714762210846,33.045814514160156,15.282843589782715,0.2471248209476471,0.04510018974542618
S,fold1,0.5132121851051961,,,,,,1.51988685131073,,,,,
R,fold1,0.3489387855622605,,,,,,21.87670027747669,,,,,
X,fold1,0.6356309771720631,,,,,,14.636759757995605,,,,,
S,fold1,0.7237216656128794,,,,,,12.049000818053091,,,,,
S,fold1,,0.2830081895576371,,,,,,0.639396607875824,,,,
R,fold1,,0.3454953421723222,,,,,,3.6002785804602153,,,,
X,fold1,,0.5962523217030529,,,,,,3.156402349472046,,,,
S,fold1,,0.5889346523167087,,,,,,2.6321666008638465,,,,
S,fold1,,,0.6871342440806041,,,,,,37.39870071411133,,,
R,fold1,,,0.6584078838518307,,,,,,6781.696168358705,,,
X,fold1,,,0.5508991029871319,,,,,,6442.76953125,,,
S,fold1,,,0.5772043337874497,,,,,,3727.644612199058,,,
S,fold1,,,,0.7929087657742863,,,,,,15.042139053344727,,
R,fold1,,,,0.6993130987885177,,,,,,1056.2690947870324,,
X,fold1,,,,0.6696286314855852,,,,,,1040.47119140625,,
S,fold1,,,,0.5553164406656891,,,,,,850.9389316692352,,
S,fold1,,,,,0.8440185119521207,,,,,,0.26735979318618774,
R,fold1,,,,,0.8539166639986441,,,,,,3.9760458330570536,
X,fold1,,,,,0.8032176776816682,,,,,,3.959540605545044,
S,fold1,,,,,0.843468397018918,,,,,,3.9690781639531743,
S,fold1,,,,,,0.5157808801742086,,,,,,0.03844670206308365
R,fold1,,,,,,0.5669400705438622,,,,,,0.04693277446297318
X,fold1,,,,,,0.5174499562718724,,,,,,0.046767234802246094
S,fold1,,,,,,0.48464861124787934,,,,,,0.05582174691119076
M,fold2,0.5035614218494465,0.5916967928674969,0.7704291467711897,0.6284047926879106,0.8616860358073535,0.7562264698991588,1.8166173696517944,0.6298096776008606,33.78064727783203,11.758280754089355,0.22512398660182953,0.03525310009717941
M,fold2,0.5449585512987601,0.6507743721390937,0.7492288567640618,0.6090578758043437,0.875869231194407,0.7292852547153253,1.8084444999694824,0.6565088033676147,33.914127349853516,12.466229438781738,0.2237250953912735,0.039545562118291855
S,fold2,0.5085234986011302,,,,,,1.8885577917099,,,,,
R,fold2,0.49956590371501114,,,,,,21.71076219397401,,,,,
X,fold2,0.6511037785790627,,,,,,18.821977615356445,,,,,
S,fold2,0.585514328226834,,,,,,13.25258370925626,,,,,
S,fold2,,0.7000755723346304,,,,,,0.5197741389274597,,,,
R,fold2,,0.4971837433512702,,,,,,3.3196015101238308,,,,
X,fold2,,0.6521742465020149,,,,,,2.603431463241577,,,,
S,fold2,,0.7671268347062296,,,,,,2.4710259205106295,,,,
