Metric,Model,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC
R2,MT,0.753±0.040,0.529±0.085,0.739±0.051,0.587±0.053,0.888±0.021,0.641±0.070
R2,MT_comp,0.744±0.041,0.532±0.074,0.707±0.061,0.609±0.058,0.878±0.015,0.634±0.072
R2,ST,0.759±0.047,0.593±0.046,0.766±0.046,0.617±0.051,0.890±0.019,0.657±0.045
R2,RF,0.750±0.034,0.440±0.057,0.731±0.098,0.564±0.088,0.880±0.016,0.665±0.055
R2,SVR,0.765±0.048,0.589±0.049,0.583±0.041,0.576±0.066,0.886±0.024,nan±nan
R2,XGB,0.705±0.022,0.385±0.050,0.660±0.089,0.494±0.052,0.848±0.022,0.646±0.064
MSE,MT,0.668±0.107,0.199±0.015,18.444±2.079,9.056±1.100,0.206±0.025,0.018±0.003
MSE,MT_comp,0.675±0.101,0.197±0.010,19.841±2.411,8.974±1.026,0.220±0.031,0.019±0.003
MSE,ST,0.650±0.105,0.182±0.010,16.850±1.753,8.896±1.194,0.203±0.023,0.018±0.003
MSE,RF,2.063±0.145,0.259±0.015,1829.655±189.759,406.346±40.591,3.473±0.099,0.026±0.003
MSE,SVR,1.774±0.090,0.257±0.013,1420.688±79.622,380.849±20.911,3.480±0.099,0.026±0.003
MSE,XGB,2.034±0.142,0.255±0.014,1847.602±227.453,403.785±37.867,3.460±0.101,0.026±0.003
