,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC
method,fold,,,,,,,,,,,,
M,fold1,0.6226341068539634,0.664641177302604,0.7183542512859568,0.7280249917030649,0.8462419886627841,0.649961350652361,1.1385012865066528,0.284505158662796,45.47291946411133,10.974452018737793,0.24682042002677917,0.025611627846956253
M,fold1,0.6179346898616429,0.5976944278608751,0.7036914688839679,0.747260221268433,0.8265615377160496,0.6450757871577424,1.122581958770752,0.32147181034088135,49.45233917236328,10.33663272857666,0.260464072227478,0.025432461872696877
S,fold1,0.6138024093619568,,,,,,1.089415431022644,,,,,
R,fold1,0.6294390657622984,,,,,,5.991985489135626,,,,,
X,fold1,0.43349372691616755,,,,,,6.389586925506592,,,,,
S,fold1,0.6785085879058885,,,,,,4.217722232167814,,,,,
S,fold1,,0.6803022859029606,,,,,,0.3190223276615143,,,,
R,fold1,,0.40152617929146034,,,,,,0.9449330557156228,,,,
X,fold1,,0.3047342027343196,,,,,,0.8659855127334595,,,,
S,fold1,,0.6695054823598751,,,,,,0.8424327776978388,,,,
S,fold1,,,0.6952256838824663,,,,,,52.1161994934082,,,
R,fold1,,,0.6203179062094337,,,,,,6988.984237589909,,,
X,fold1,,,0.5496185322798174,,,,,,7702.3603515625,,,
S,fold1,,,0.524355560684645,,,,,,3682.448025087955,,,
S,fold1,,,,0.671934960810179,,,,,,11.720779418945312,,
R,fold1,,,,0.6608734677283724,,,,,,849.3126510094434,,
X,fold1,,,,0.6140683144632355,,,,,,832.8018798828125,,
S,fold1,,,,0.545243642939217,,,,,,696.8760845140873,,
S,fold1,,,,,0.847182556629573,,,,,,0.273318886756897,
R,fold1,,,,,0.8361545287991117,,,,,,3.895201161447481,
X,fold1,,,,,0.7827077435337993,,,,,,3.876011371612549,
S,fold1,,,,,0.8376852668796123,,,,,,3.890385530347534,
S,fold1,,,,,,0.620235000737979,,,,,,0.0268049705773592
R,fold1,,,,,,0.620699814392001,,,,,,0.03450576348556141
X,fold1,,,,,,0.5657656601674512,,,,,,0.03433423861861229
S,fold1,,,,,,0.6100521467578287,,,,,,0.035994017119321466
M,fold2,0.8030424237755718,0.7975418107615209,0.7128974350817538,0.5762234646569249,0.8337678382048023,0.8026176837598662,1.0231521129608154,0.32244837284088135,44.06342315673828,13.156853675842285,0.27643707394599915,0.024925194680690765
M,fold2,0.8015792889201001,0.8249358351501216,0.6823928782600992,0.5920696511055986,0.8354737613427431,0.7930208254359316,1.0642861127853394,0.31039735674858093,47.36275863647461,13.089510917663574,0.26863688230514526,0.024917755275964737
S,fold2,0.7781015409556735,,,,,,1.0761852264404297,,,,,
R,fold2,0.757516193439745,,,,,,4.585353913948259,,,,,
X,fold2,0.7571264492168585,,,,,,4.611285209655762,,,,,
S,fold2,0.7121950335761246,,,,,,3.441904136889013,,,,,
S,fold2,,0.8180581507524215,,,,,,0.3016781806945801,,,,
R,fold2,,0.5747199409728688,,,,,,0.9050039677177554,,,,
X,fold2,,0.613137702561789,,,,,,0.8883601427078247,,,,
S,fold2,,0.8025208252998622,,,,,,0.8099332180655582,,,,
