,,accuracy,accuracy,Loss,Loss
,,CEC,Humus,CEC,Humus
method,fold,,,,
M,fold1,0.4323098659515381,0.378659725189209,41.66067886352539,6.620153903961182
S,fold1,0.4472900629043579,,40.561336517333984,
R,fold1,-639.8556684720112,,47030.02012352048,
X,fold1,-650.85888671875,,47837.5078125,
S,fold1,-563.7049577047793,,41441.601957005165,
S,fold1,,0.45487165451049805,,5.808143615722656
R,fold1,,-42.460428539556595,,463.0550112205382
X,fold1,,-41.27936553955078,,450.47119140625
S,fold1,,-32.48909074706687,,356.81404470124636
M,fold2,0.3617069721221924,0.256026029586792,54.6904182434082,6.634106159210205
S,fold2,0.2523069977760315,,64.0640640258789,
R,fold2,-576.9091994515296,,49516.596524445944,
X,fold2,-562.1644897460938,,48253.234375,
S,fold2,-505.338633642702,,43384.26495134515,
S,fold2,,0.23932689428329468,,6.783014297485352
R,fold2,,-57.86943225893092,,524.945895108954
X,fold2,,-51.0634765625,,464.25634765625
S,fold2,,-45.88071285923712,,418.041024533655
M,fold3,0.433987557888031,0.3411869406700134,48.67521286010742,7.943960189819336
S,fold3,0.3999413251876831,,51.60308074951172,
R,fold3,-464.98649907355224,,40073.31184512582,
X,fold3,-472.0551452636719,,40681.19140625,
S,fold3,-444.8575980779255,,38342.29232352784,
S,fold3,,0.3477824330329895,,7.864431858062744
R,fold3,,-37.39877612344189,,463.0119593243095
X,fold3,,-37.54758834838867,,464.8063659667969
S,fold3,,-29.60649864743838,,369.0527755689582
M,fold4,0.5486171245574951,0.4604909420013428,37.62105178833008,5.559493064880371
S,fold4,0.3658508062362671,,52.85393142700195,
R,fold4,-477.60195467417464,,39889.65814441595,
X,fold4,-499.454345703125,,41710.97265625,
S,fold4,-424.0970428216153,,35430.226623082744,
S,fold4,,0.5762487649917603,,4.366640567779541
R,fold4,,-42.1095913892879,,444.2325609441665
X,fold4,,-45.7598876953125,,481.8478088378906
S,fold4,,-35.20793277848066,,373.11285461813765
M,fold5,0.3416423201560974,0.19787442684173584,52.68999099731445,8.138367652893066
S,fold5,0.3865472674369812,,49.09613800048828,
R,fold5,-503.92136648336924,,40410.103547918705,
X,fold5,-495.6695556640625,,39749.69140625,
S,fold5,-474.16118417822224,,38028.32268383729,
S,fold5,,0.23390740156173706,,7.7727766036987305
R,fold5,,-38.46227929509812,,400.38435721559097
X,fold5,,-42.30253601074219,,439.34759521484375
S,fold5,,-31.908942920157067,,333.8941944838034
