,,accuracy,accuracy,Loss,Loss
,,CEC,Humus,CEC,Humus
method,fold,,,,
M,fold1,0.38668113946914673,0.41972917318344116,45.00920104980469,6.182573318481445
S,fold1,0.44693559408187866,,40.58734893798828,
R,fold1,-639.4422547306511,,46999.68122268519,
X,fold1,-650.85888671875,,47837.5078125,
S,fold1,-563.7049577047793,,41441.601957005165,
S,fold1,,0.4996795654296875,,5.330731391906738
R,fold1,,-41.49220234988795,,452.7389143897634
X,fold1,,-41.27936553955078,,450.47119140625
S,fold1,,-32.48909074706687,,356.81404470124636
M,fold2,0.3527889847755432,0.2862711548805237,55.454532623291016,6.364407062530518
S,fold2,0.27670854330062866,,61.97328186035156,
R,fold2,-572.2172177272113,,49114.576680907136,
X,fold2,-562.1644897460938,,48253.234375,
S,fold2,-505.338633642702,,43384.26495134515,
S,fold2,,0.4390929937362671,,5.001676082611084
R,fold2,,-58.626810136520376,,531.6995258580699
X,fold2,,-51.0634765625,,464.25634765625
S,fold2,,-45.88071285923712,,418.041024533655
M,fold3,0.4269891381263733,0.3126522898674011,49.27705383300781,8.288030624389648
S,fold3,0.43796342611312866,,48.33330154418945,
R,fold3,-475.686763963748,,40993.499560054835,
X,fold3,-472.0551452636719,,40681.19140625,
S,fold3,-444.8575980779255,,38342.29232352784,
S,fold3,,0.2702001929283142,,8.799917221069336
R,fold3,,-37.006954100604794,,458.2873743032399
X,fold3,,-37.54758834838867,,464.8063659667969
S,fold3,,-29.60649864743838,,369.0527755689582
M,fold4,0.3655986785888672,0.5616190433502197,52.874942779541016,4.517395973205566
S,fold4,0.581477701663971,,34.88224792480469,
R,fold4,-465.3488748127379,,38868.41039957194,
X,fold4,-499.454345703125,,41710.97265625,
S,fold4,-424.0970428216153,,35430.226623082744,
S,fold4,,0.5262982249259949,,4.881367206573486
R,fold4,,-42.55145926677244,,448.78588869532433
X,fold4,,-45.7598876953125,,481.8478088378906
S,fold4,,-35.20793277848066,,373.11285461813765
M,fold5,0.38122665882110596,0.22846519947052002,49.52195739746094,7.827992916107178
S,fold5,0.31820279359817505,,54.565914154052734,
R,fold5,-503.41614420333724,,40369.66936151657,
X,fold5,-495.6695556640625,,39749.69140625,
S,fold5,-474.16118417822224,,38028.32268383729,
S,fold5,,0.16969895362854004,,8.424235343933105
R,fold5,,-38.47543247859907,,400.5178094392191
X,fold5,,-42.30253601074219,,439.34759521484375
S,fold5,,-31.908942920157067,,333.8941944838034
