,,accuracy,accuracy,Loss,Loss
,,pH,Available.P,pH,Available.P
method,fold,,,,
M,fold1,0.7259342670440674,0.4007938504219055,0.11468198150396347,7227.9775390625
S,fold1,0.6288440823554993,,0.15530909597873688,
R,fold1,-35.664327011732816,,15.34207713457048,
X,fold1,-35.355892181396484,,15.213014602661133,
S,fold1,-35.57844028977399,,15.306138094622847,
S,fold1,,0.4383767247200012,,6774.63134765625
R,fold1,,-6468.642353564843,,78040642.47739531
X,fold1,,-10220.5615234375,,123298504.0
S,fold1,,-1153.8199144894734,,13930119.030890562
M,fold2,0.6435931921005249,0.3169100880622864,0.13695165514945984,7137.169921875
S,fold2,0.6769251227378845,,0.12414362281560898,
R,fold2,-41.37075428395403,,16.28123804531517,
X,fold2,-41.86612319946289,,16.471586227416992,
S,fold2,-41.2578145792661,,16.237840228876298,
S,fold2,,0.1919173002243042,,8443.1396484375
R,fold2,,-7617.8646420230925,,79604641.2974367
X,fold2,,-5807.94580078125,,60693960.0
S,fold2,,-1234.8695838822402,,12912810.443267606
M,fold3,0.6275732517242432,0.19462192058563232,0.13873280584812164,5657.03369140625
S,fold3,0.5707414150238037,,0.15990324318408966,
R,fold3,-45.81718002514443,,17.439882639303214,
X,fold3,-45.652862548828125,,17.37866973876953,
S,fold3,-45.90273175649345,,17.471751541990535,
S,fold3,,0.2623412013053894,,5181.36865234375
R,fold3,,-10520.920324017417,,73906724.29450646
X,fold3,,-15260.8427734375,,107200288.0
S,fold3,,-2121.718657698016,,14910128.356626054
M,fold4,0.8399232029914856,0.47166675329208374,0.05600249022245407,4560.5068359375
S,fold4,0.5800392031669617,,0.1469222903251648,
R,fold4,-54.19285770236554,,19.309089923161494,
X,fold4,-54.02666473388672,,19.250947952270508,
S,fold4,-53.92719093646212,,19.216147037324934,
S,fold4,,0.5166460871696472,,4172.25048828125
R,fold4,,-6052.118495175669,,52249764.682895906
X,fold4,,-5160.13525390625,,44550276.0
S,fold4,,-1667.284227974654,,14400421.601747058
M,fold5,0.47730696201324463,0.3136953115463257,0.2995535433292389,2123.97412109375
S,fold5,0.4292249083518982,,0.3271091878414154,
R,fold5,-26.06190162011409,,15.509078209681965,
X,fold5,-26.2779483795166,,15.632895469665527,
S,fold5,-25.76024215038052,,15.336198255624645,
S,fold5,,0.215223491191864,,2428.724365234375
R,fold5,,-27079.143869028616,,83807554.93913977
X,fold5,,-26423.65234375,,81778952.0
S,fold5,,-4699.392720404377,,14546762.493435485
