,,accuracy,accuracy,Loss,Loss
,,Available.P,area,Available.P,area
method,fold,,,,
M,fold1,0.4339480400085449,0.95,6842.59326171875,0.9283154121863799
S,fold1,0.45017850399017334,,6646.39404296875,
R,fold1,-5262.497169528558,,63626609.3840196,
X,fold1,-5767.119140625,,69726624.0,
S,fold1,-1106.8309143041845,,13391766.458247583,
S,fold1,,0.95,,0.9283154121863799
R,fold1,,0.9,,0.8527004909983633
X,fold1,,0.9166666666666666,,0.8805256869772999
S,fold1,,0.9166666666666666,,0.8655311519497983
M,fold2,0.48127198219299316,0.95,5434.474609375,0.9062011464304325
S,fold2,0.4870876669883728,,5373.54638671875,
R,fold2,-9275.599654568543,,97186664.44945386,
X,fold2,-9380.6689453125,,98287432.0,
S,fold2,-1127.7352028331668,,11825239.14956372,
S,fold2,,0.95,,0.9062011464304325
R,fold2,,0.95,,0.9062011464304325
X,fold2,,0.9333333333333333,,0.88
S,fold2,,0.9333333333333333,,0.869281045751634
M,fold3,0.2917311191558838,0.9833333333333333,5013.63134765625,0.9804623901009444
S,fold3,0.3233219385147095,,4790.0087890625,
R,fold3,-8381.534432772525,,59337539.56255298,
X,fold3,-9324.0126953125,,66009072.0,
S,fold3,-1913.5495404891626,,13552543.089962417,
S,fold3,,0.9833333333333333,,0.9804623901009444
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.9666666666666667,,0.9603174603174602
S,fold3,,0.8833333333333333,,0.8477709314969192
M,fold4,0.47654956579208374,0.9333333333333333,4489.359375,0.9282296650717703
S,fold4,0.48913490772247314,,4381.42138671875,
R,fold4,-6445.011084520095,,55284055.32273923,
X,fold4,-5168.716796875,,44337944.0,
S,fold4,-1841.7321703476923,,15804147.078670068,
S,fold4,,0.9333333333333333,,0.9282296650717703
R,fold4,,0.9166666666666666,,0.9093929326487467
X,fold4,,0.9166666666666666,,0.9093929326487467
S,fold4,,0.8333333333333334,,0.8074454428754814
M,fold5,-0.16736817359924316,0.9491525423728814,3551.92529296875,0.9238709677419354
S,fold5,-0.0465695858001709,,3184.374267578125,
R,fold5,-32358.912903882872,,98460798.55966555,
X,fold5,-49058.171875,,149271264.0,
S,fold5,-4428.598083803652,,13477841.115491359,
S,fold5,,0.9491525423728814,,0.9238709677419354
R,fold5,,0.9322033898305084,,0.9063492063492063
X,fold5,,0.9491525423728814,,0.927960927960928
S,fold5,,0.9661016949152542,,0.9506688963210703
