,,accuracy,accuracy,Loss,Loss
,,CEC,area,CEC,area
method,fold,,,,
M,fold1,0.5707902908325195,0.95,32.693172454833984,0.9283154121863799
S,fold1,0.5579345226287842,,33.67240905761719,
R,fold1,-584.892100468686,,44627.76595008071,
X,fold1,-595.8906860351562,,45465.54296875,
S,fold1,-458.27531767601346,,34983.28679887973,
S,fold1,,0.9333333333333333,,0.9018003273322422
R,fold1,,0.9,,0.8527004909983633
X,fold1,,0.9166666666666666,,0.8805256869772999
S,fold1,,0.9166666666666666,,0.8655311519497983
M,fold2,0.3002174496650696,0.9666666666666667,63.228172302246094,0.94
S,fold2,0.3702375888824463,,56.90156936645508,
R,fold2,-518.9157567757229,,46976.485098019155,
X,fold2,-525.0799560546875,,47533.4453125,
S,fold2,-420.89814335970624,,38120.19848624953,
S,fold2,,0.95,,0.9062011464304325
R,fold2,,0.95,,0.9062011464304325
X,fold2,,0.9333333333333333,,0.88
S,fold2,,0.9333333333333333,,0.869281045751634
M,fold3,0.4712616801261902,0.9666666666666667,36.8577995300293,0.9603174603174602
S,fold3,0.426563560962677,,39.973655700683594,
R,fold3,-562.4950783538533,,39280.65301596021,
X,fold3,-559.51171875,,39072.6875,
S,fold3,-567.0003365905459,,39594.709859295566,
S,fold3,,0.9833333333333333,,0.9804623901009444
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.9666666666666667,,0.9603174603174602
S,fold3,,0.8833333333333333,,0.8477709314969192
M,fold4,0.5419639348983765,0.9333333333333333,31.398481369018555,0.9282296650717703
S,fold4,0.5467721223831177,,31.068880081176758,
R,fold4,-559.9506141267464,,38453.295551001946,
X,fold4,-613.8630981445312,,42149.01171875,
S,fold4,-551.424484472749,,37868.82737281533,
S,fold4,,0.9333333333333333,,0.9282296650717703
R,fold4,,0.9333333333333333,,0.9282296650717703
X,fold4,,0.9166666666666666,,0.9093929326487467
S,fold4,,0.8333333333333334,,0.8074454428754814
M,fold5,0.2561964988708496,0.9491525423728814,75.55894470214844,0.9238709677419354
S,fold5,0.30430787801742554,,70.67156982421875,
R,fold5,-364.0481185920961,,37083.24552583617,
X,fold5,-369.8246154785156,,37670.05078125,
S,fold5,-328.37455608462864,,33459.36305700506,
S,fold5,,0.9491525423728814,,0.9238709677419354
R,fold5,,0.9491525423728814,,0.927960927960928
X,fold5,,0.9491525423728814,,0.927960927960928
S,fold5,,0.9661016949152542,,0.9506688963210703
