,,accuracy,accuracy,Loss,Loss
,,EC,area,EC,area
method,fold,,,,
M,fold1,0.26853781938552856,0.9333333333333333,0.001203986699692905,0.9018003273322422
S,fold1,0.19122856855392456,,0.001331237843260169,
R,fold1,0.00976339188530706,,0.0016299293981111582,
X,fold1,0.014471590518951416,,0.0016221797559410334,
S,fold1,-0.042554988564928564,,0.0017160454492231832,
S,fold1,,0.95,,0.9283154121863799
R,fold1,,0.9166666666666666,,0.8736842105263158
X,fold1,,0.9166666666666666,,0.8805256869772999
S,fold1,,0.9166666666666666,,0.8655311519497983
M,fold2,0.3788551688194275,0.95,0.0015083294128999114,0.9062011464304325
S,fold2,0.3745400309562683,,0.0015188079560175538,
R,fold2,0.03252086784008135,,0.002349334882886369,
X,fold2,0.038154780864715576,,0.002335654105991125,
S,fold2,0.01296860165438718,,0.0023968137581019825,
S,fold2,,0.95,,0.9062011464304325
R,fold2,,0.9666666666666667,,0.94
X,fold2,,0.9333333333333333,,0.88
S,fold2,,0.9333333333333333,,0.869281045751634
M,fold3,0.3494318723678589,0.9666666666666667,0.0016842485638335347,0.9603174603174602
S,fold3,0.3270951509475708,,0.0017420757794752717,
R,fold3,-0.015172990286551391,,0.0026281701199826193,
X,fold3,-0.006919264793395996,,0.0026068019215017557,
S,fold3,-0.06895561568014341,,0.002767407363670278,
S,fold3,,0.9666666666666667,,0.9603174603174602
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.9666666666666667,,0.9603174603174602
S,fold3,,0.8833333333333333,,0.8477709314969192
M,fold4,0.5242704153060913,0.9333333333333333,0.0013697841204702854,0.9282296650717703
S,fold4,0.5217424631118774,,0.0013770629884675145,
R,fold4,0.005821169317084762,,0.002862572157894391,
X,fold4,0.007002651691436768,,0.00285917054861784,
S,fold4,-0.04641721414232047,,0.0030129838720138577,
S,fold4,,0.9333333333333333,,0.9282296650717703
R,fold4,,0.9333333333333333,,0.9282296650717703
X,fold4,,0.9166666666666666,,0.9093929326487467
S,fold4,,0.8333333333333334,,0.8074454428754814
M,fold5,0.3320537805557251,0.9491525423728814,0.00202076300047338,0.9238709677419354
S,fold5,0.34516626596450806,,0.0019810933154076338,
R,fold5,0.04400043160577982,,0.0028922213904458718,
X,fold5,0.04762321710586548,,0.002881261520087719,
S,fold5,0.015161093374521206,,0.0029794701232657536,
S,fold5,,0.9661016949152542,,0.9506688963210703
R,fold5,,0.9830508474576272,,0.9759869759869759
X,fold5,,0.9491525423728814,,0.927960927960928
S,fold5,,0.9661016949152542,,0.9506688963210703
