,,accuracy,accuracy,Loss,Loss
,,EC,soiltype,EC,soiltype
method,fold,,,,
M,fold1,0.2896372079849243,0.8333333333333334,0.0013015423901379108,0.28987699132889694
S,fold1,0.18541347980499268,,0.0014925035648047924,
R,fold1,-0.08718597171283604,,0.0019919662390633333,
X,fold1,-0.08455240726470947,,0.001987141091376543,
S,fold1,-0.16856462800346583,,0.002141070017192372,
S,fold1,,0.8166666666666667,,0.2841000807102502
R,fold1,,0.8,,0.2785873304998988
X,fold1,,0.8,,0.44164346839880403
S,fold1,,0.6666666666666666,,0.22946859903381642
M,fold2,0.32127559185028076,0.8305084745762712,0.0017600820865482092,0.4141666666666667
S,fold2,0.3601433038711548,,0.0016592894680798054,
R,fold2,0.02764443003462458,,0.00252153236747702,
X,fold2,0.02866262197494507,,0.002518892055377364,
S,fold2,0.016217901446755056,,0.0025511638753041833,
S,fold2,,0.864406779661017,,0.4352576647097195
R,fold2,,0.8135593220338984,,0.4020745428973277
X,fold2,,0.864406779661017,,0.4352576647097195
S,fold2,,0.6949152542372882,,0.30829228243021345
M,fold3,0.645736038684845,0.7966101694915254,0.0008314059814438224,0.32949152542372884
S,fold3,0.645911693572998,,0.0008309938129968941,
R,fold3,-0.012495006949720056,,0.0023761784610739703,
X,fold3,-0.001852273941040039,,0.002351201605051756,
S,fold3,-0.07947124806734895,,0.0025333619537875394,
S,fold3,,0.7796610169491526,,0.32021791767554475
R,fold3,,0.7796610169491526,,0.39652590595986825
X,fold3,,0.7796610169491526,,0.32222222222222224
S,fold3,,0.7457627118644068,,0.37650323774283073
M,fold4,0.4082288146018982,0.8305084745762712,0.0016857574228197336,0.291866028708134
S,fold4,0.44139647483825684,,0.0015912738163024187,
R,fold4,-0.0427061103879951,,0.002970319567969975,
X,fold4,-0.0355762243270874,,0.002950008725747466,
S,fold4,-0.09657794522969732,,0.003123782335281478,
S,fold4,,0.7966101694915254,,0.27953216374269
R,fold4,,0.7966101694915254,,0.2797619047619047
X,fold4,,0.7966101694915254,,0.2797619047619047
S,fold4,,0.7627118644067796,,0.2680851063829787
M,fold5,0.25268906354904175,0.6610169491525424,0.002167995786294341,0.2375305197070108
S,fold5,0.3014112114906311,,0.002026649657636881,
R,fold5,0.04362461965554665,,0.002774505072370389,
X,fold5,0.041198670864105225,,0.002781542483717203,
S,fold5,0.01901528951242626,,0.0028458982854465487,
S,fold5,,0.6610169491525424,,0.2375305197070108
R,fold5,,0.6610169491525424,,0.23626893939393936
X,fold5,,0.6101694915254238,,0.2206896551724138
S,fold5,,0.5932203389830508,,0.20314680878061162
