,,accuracy,accuracy,Loss,Loss
,,Humus,area,Humus,area
method,fold,,,,
M,fold1,0.5818158388137817,0.95,4.368560791015625,0.9283154121863799
S,fold1,0.5707437992095947,,4.484224319458008,
R,fold1,-43.04105308764159,,460.0748243895087,
X,fold1,-44.45496368408203,,474.84527587890625,
S,fold1,-26.930441897295562,,291.77533801128635,
S,fold1,,0.9333333333333333,,0.9018003273322422
R,fold1,,0.9166666666666666,,0.8736842105263158
X,fold1,,0.9166666666666666,,0.8805256869772999
S,fold1,,0.9166666666666666,,0.8655311519497983
M,fold2,0.3566511273384094,0.95,5.7703752517700195,0.9062011464304325
S,fold2,0.34369462728500366,,5.886585712432861,
R,fold2,-58.08243116746616,,529.9267260633626,
X,fold2,-55.66463088989258,,508.2408142089844,
S,fold2,-37.35464844300576,,344.0134889016783,
S,fold2,,0.95,,0.9062011464304325
R,fold2,,0.9666666666666667,,0.94
X,fold2,,0.9333333333333333,,0.88
S,fold2,,0.9333333333333333,,0.869281045751634
M,fold3,0.4525355100631714,0.9833333333333333,6.566427707672119,0.9804623901009444
S,fold3,0.48013150691986084,,6.235434532165527,
R,fold3,-36.0347061022403,,444.20362517042776,
X,fold3,-31.535598754882812,,390.2402038574219,
S,fold3,-26.252204495126062,,326.86982845770547,
S,fold3,,0.9833333333333333,,0.9804623901009444
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.9666666666666667,,0.9603174603174602
S,fold3,,0.8833333333333333,,0.8477709314969192
M,fold4,0.6022621989250183,0.9333333333333333,3.616400718688965,0.9282296650717703
S,fold4,0.5448398590087891,,4.1385087966918945,
R,fold4,-46.628944246621025,,433.06253507038724,
X,fold4,-45.73524856567383,,424.9366760253906,
S,fold4,-39.10626337137629,,364.66313420417714,
S,fold4,,0.9333333333333333,,0.9282296650717703
R,fold4,,0.9333333333333333,,0.9282296650717703
X,fold4,,0.9166666666666666,,0.9093929326487467
S,fold4,,0.8333333333333334,,0.8074454428754814
M,fold5,0.08490639925003052,0.9491525423728814,9.878682136535645,0.9238709677419354
S,fold5,0.08135902881622314,,9.916976928710938,
R,fold5,-35.19989515881045,,390.7875412456836,
X,fold5,-35.09938430786133,,389.7026062011719,
S,fold5,-23.545325297641565,,264.97334536634116,
S,fold5,,0.9491525423728814,,0.9238709677419354
R,fold5,,0.9491525423728814,,0.927960927960928
X,fold5,,0.9491525423728814,,0.927960927960928
S,fold5,,0.9661016949152542,,0.9506688963210703
