,,accuracy,accuracy,Loss,Loss
,,Inorganic.N,area,Inorganic.N,area
method,fold,,,,
M,fold1,0.19575601816177368,0.95,2.595578193664551,0.9283154121863799
S,fold1,0.18430060148239136,,2.6325490474700928,
R,fold1,-12.795205277724607,,44.52198465859784,
X,fold1,-13.415082931518555,,46.522544860839844,
S,fold1,-6.805131353425117,,25.18990702781706,
S,fold1,,0.9333333333333333,,0.9018003273322422
R,fold1,,0.9166666666666666,,0.8805256869772999
X,fold1,,0.9166666666666666,,0.8805256869772999
S,fold1,,0.9166666666666666,,0.8655311519497983
M,fold2,0.3790084719657898,0.95,3.1831371784210205,0.9062011464304325
S,fold2,0.3900652527809143,,3.1264612674713135,
R,fold2,-6.9518514837121375,,40.760351121288856,
X,fold2,-9.091235160827637,,51.72660827636719,
S,fold2,-3.082312077673283,,20.925500685403005,
S,fold2,,0.95,,0.9062011464304325
R,fold2,,0.9666666666666667,,0.94
X,fold2,,0.9333333333333333,,0.88
S,fold2,,0.9333333333333333,,0.869281045751634
M,fold3,0.43046045303344727,0.9666666666666667,3.0892863273620605,0.9603174603174602
S,fold3,0.4357815980911255,,3.0604236125946045,
R,fold3,-7.225224448716077,,44.61511523634847,
X,fold3,-7.224974632263184,,44.61376190185547,
S,fold3,-4.035737781477712,,27.314758742630048,
S,fold3,,0.9666666666666667,,0.9603174603174602
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.9666666666666667,,0.9603174603174602
S,fold3,,0.8833333333333333,,0.8477709314969192
M,fold4,0.48824501037597656,0.9333333333333333,3.642401695251465,0.9282296650717703
S,fold4,0.4346736669540405,,4.023694038391113,
R,fold4,-5.15692691327928,,43.82175160698522,
X,fold4,-4.004691123962402,,35.62074279785156,
S,fold4,-2.8460098103978977,,27.373865073138965,
S,fold4,,0.9333333333333333,,0.9282296650717703
R,fold4,,0.9166666666666666,,0.9093929326487467
X,fold4,,0.9166666666666666,,0.9093929326487467
S,fold4,,0.8333333333333334,,0.8074454428754814
M,fold5,0.3071047067642212,0.9491525423728814,4.484543323516846,0.9238709677419354
S,fold5,0.2630101442337036,,4.769931316375732,
R,fold5,-6.9668015668478604,,51.56256869036652,
X,fold5,-7.209010124206543,,53.13018798828125,
S,fold5,-1.9048647237147827,,18.800805517242075,
S,fold5,,0.9491525423728814,,0.9238709677419354
R,fold5,,0.9491525423728814,,0.927960927960928
X,fold5,,0.9491525423728814,,0.927960927960928
S,fold5,,0.9661016949152542,,0.9506688963210703
