,,accuracy,accuracy,Loss,Loss
,,NH4.N,area,NH4.N,area
method,fold,,,,
M,fold1,0.2319454550743103,0.95,0.2012413591146469,0.9283154121863799
S,fold1,0.2697809338569641,,0.19132791459560394,
R,fold1,-3.806250050668912,,1.259306925247414,
X,fold1,-4.114423751831055,,1.340052843093872,
S,fold1,-2.5124767648731314,,0.9203196396658043,
S,fold1,,0.95,,0.9283154121863799
R,fold1,,0.9166666666666666,,0.8736842105263158
X,fold1,,0.9166666666666666,,0.8805256869772999
S,fold1,,0.9166666666666666,,0.8655311519497983
M,fold2,0.6228969097137451,0.95,0.2123236358165741,0.9062011464304325
S,fold2,0.6732667088508606,,0.18396349251270294,
R,fold2,-0.7848966706943998,,1.0049659758851057,
X,fold2,-1.3037595748901367,,1.2971057891845703,
S,fold2,-0.46410171129976696,,0.8243459855404391,
S,fold2,,0.95,,0.9062011464304325
R,fold2,,0.95,,0.9062011464304325
X,fold2,,0.9333333333333333,,0.88
S,fold2,,0.9333333333333333,,0.869281045751634
M,fold3,0.6002315282821655,0.9833333333333333,0.19562914967536926,0.9804623901009444
S,fold3,0.568713366985321,,0.2110527604818344,
R,fold3,-0.7990498160582846,,0.8803761511306031,
X,fold3,-0.9320719242095947,,0.9454713463783264,
S,fold3,-0.7151572008700251,,0.8393227811747107,
S,fold3,,0.9666666666666667,,0.9603174603174602
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.9666666666666667,,0.9603174603174602
S,fold3,,0.8833333333333333,,0.8477709314969192
M,fold4,0.5215531587600708,0.9333333333333333,0.5452249050140381,0.9282296650717703
S,fold4,0.5463060140609741,,0.5170171856880188,
R,fold4,0.022858505768261095,,1.1135235527208254,
X,fold4,0.07969290018081665,,1.048756718635559,
S,fold4,-0.10294696272872583,,1.2568880020451416,
S,fold4,,0.9333333333333333,,0.9282296650717703
R,fold4,,0.9333333333333333,,0.9282296650717703
X,fold4,,0.9166666666666666,,0.9093929326487467
S,fold4,,0.8333333333333334,,0.8074454428754814
M,fold5,0.6181777119636536,0.9491525423728814,0.29343169927597046,0.9238709677419354
S,fold5,0.622801661491394,,0.28987812995910645,
R,fold5,-0.2238247030058682,,0.9405133132269006,
X,fold5,-0.1787242889404297,,0.9058535099029541,
S,fold5,-0.06476246448413403,,0.8182734592723866,
S,fold5,,0.9491525423728814,,0.9238709677419354
R,fold5,,0.9491525423728814,,0.927960927960928
X,fold5,,0.9491525423728814,,0.927960927960928
S,fold5,,0.9661016949152542,,0.9506688963210703
