,,accuracy,accuracy,Loss,Loss
,,NH4.N,soiltype,NH4.N,soiltype
method,fold,,,,
M,fold1,0.5104824900627136,0.8333333333333334,0.22491653263568878,0.28974979822437447
S,fold1,0.4978228807449341,,0.23073320090770721,
R,fold1,-0.8122963485421046,,0.8326881625842238,
X,fold1,-0.7899143695831299,,0.8224043250083923,
S,fold1,-0.4734532265247502,,0.6770013418808064,
S,fold1,,0.8333333333333334,,0.2898989898989899
R,fold1,,0.7833333333333333,,0.2727733820247515
X,fold1,,0.8,,0.44164346839880403
S,fold1,,0.6666666666666666,,0.22946859903381642
M,fold2,0.6949909925460815,0.8983050847457628,0.17290973663330078,0.6156531531531532
S,fold2,0.5865662097930908,,0.23437577486038208,
R,fold2,-0.9521343525019035,,1.1066656485574526,
X,fold2,-1.2384519577026367,,1.2689791917800903,
S,fold2,-0.6479364341960077,,0.9342157420638918,
S,fold2,,0.8305084745762712,,0.4141666666666667
R,fold2,,0.7966101694915254,,0.3936243936243936
X,fold2,,0.864406779661017,,0.4352576647097195
S,fold2,,0.6949152542372882,,0.30829228243021345
M,fold3,0.3881106972694397,0.8135593220338984,0.20668259263038635,0.3338173018753781
S,fold3,0.40046727657318115,,0.2025088220834732,
R,fold3,-1.0571150363629824,,0.6948476611491186,
X,fold3,-1.3646519184112549,,0.7987267971038818,
S,fold3,-0.8419190818291375,,0.6221592586760303,
S,fold3,,0.8135593220338984,,0.41391614629794826
R,fold3,,0.7288135593220338,,0.2982349360925137
X,fold3,,0.7796610169491526,,0.32222222222222224
S,fold3,,0.7457627118644068,,0.37650323774283073
M,fold4,0.53144371509552,0.8305084745762712,0.5265752673149109,0.291866028708134
S,fold4,0.5145570039749146,,0.5455529689788818,
R,fold4,0.046966194832736896,,1.0710431606547341,
X,fold4,0.08272075653076172,,1.030861258506775,
S,fold4,-0.07285080796692345,,1.2056964968563844,
S,fold4,,0.8135593220338984,,0.2855927698032961
R,fold4,,0.7966101694915254,,0.27990634312473395
X,fold4,,0.7966101694915254,,0.2797619047619047
S,fold4,,0.7627118644067796,,0.2680851063829787
M,fold5,0.5162924528121948,0.6610169491525424,0.37873944640159607,0.2375305197070108
S,fold5,0.5783510804176331,,0.33014798164367676,
R,fold5,-0.47870406335862214,,1.1578143626228896,
X,fold5,-0.523087739944458,,1.1925663948059082,
S,fold5,-0.22908015979184904,,0.9623606893928681,
S,fold5,,0.6779661016949152,,0.2446227182885711
R,fold5,,0.6610169491525424,,0.23626893939393936
X,fold5,,0.6101694915254238,,0.2206896551724138
S,fold5,,0.5932203389830508,,0.20314680878061162
