,,accuracy,accuracy,Loss,Loss
,,NO3.N,area,NO3.N,area
method,fold,,,,
M,fold1,0.26932293176651,0.95,2.4759721755981445,0.9283154121863799
S,fold1,0.27266454696655273,,2.464648962020874,
R,fold1,-6.682315998620631,,26.032293695183327,
X,fold1,-7.651535987854004,,29.31659507751465,
S,fold1,-2.0657886933270637,,10.388730649245923,
S,fold1,,0.95,,0.9283154121863799
R,fold1,,0.9,,0.8527004909983633
X,fold1,,0.9166666666666666,,0.8805256869772999
S,fold1,,0.9166666666666666,,0.8655311519497983
M,fold2,0.3965429663658142,0.95,3.214360475540161,0.9062011464304325
S,fold2,0.39612698554992676,,3.216576337814331,
R,fold2,-3.74884084102335,,25.29506920354465,
X,fold2,-5.297658443450928,,33.54496383666992,
S,fold2,-0.9461609383506586,,10.366377241273655,
S,fold2,,0.95,,0.9062011464304325
R,fold2,,0.95,,0.9062011464304325
X,fold2,,0.9333333333333333,,0.88
S,fold2,,0.9333333333333333,,0.869281045751634
M,fold3,0.4984167218208313,0.9833333333333333,2.658576250076294,0.9804623901009444
S,fold3,0.4676874876022339,,2.8214523792266846,
R,fold3,-3.3425528131921673,,23.01712656126329,
X,fold3,-2.7668919563293457,,19.965913772583008,
S,fold3,-1.3918208155219958,,12.677529736769038,
S,fold3,,0.9666666666666667,,0.9603174603174602
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.9666666666666667,,0.9603174603174602
S,fold3,,0.8833333333333333,,0.8477709314969192
M,fold4,0.49938297271728516,0.9333333333333333,3.3761813640594482,0.9282296650717703
S,fold4,0.4801865220069885,,3.5056426525115967,
R,fold4,-2.8620024031277644,,26.045492479209614,
X,fold4,-2.4448118209838867,,23.23194694519043,
S,fold4,-1.1380527042570474,,14.419109523023893,
S,fold4,,0.9333333333333333,,0.9282296650717703
R,fold4,,0.9333333333333333,,0.9282296650717703
X,fold4,,0.9166666666666666,,0.9093929326487467
S,fold4,,0.8333333333333334,,0.8074454428754814
M,fold5,0.3390372395515442,0.9491525423728814,4.470285415649414,0.9238709677419354
S,fold5,0.35023683309555054,,4.394538879394531,
R,fold5,-4.046980239924624,,34.13421096830988,
X,fold5,-3.9907240867614746,,33.75373458862305,
S,fold5,-0.5135834212783996,,10.236809609705299,
S,fold5,,0.9491525423728814,,0.9238709677419354
R,fold5,,0.9661016949152542,,0.9506688963210703
X,fold5,,0.9491525423728814,,0.927960927960928
S,fold5,,0.9661016949152542,,0.9506688963210703
