,,accuracy,accuracy,Loss,Loss
,,pH,area,pH,area
method,fold,,,,
M,fold1,0.6305128931999207,0.95,0.16244547069072723,0.9283154121863799
S,fold1,0.6248641014099121,,0.16492895781993866,
R,fold1,-34.14829789736435,,15.4529920794319,
X,fold1,-34.42325973510742,,15.573880195617676,
S,fold1,-33.463961671836934,,15.152122822444735,
S,fold1,,0.95,,0.9283154121863799
R,fold1,,0.9,,0.8527004909983633
X,fold1,,0.9166666666666666,,0.8805256869772999
S,fold1,,0.9166666666666666,,0.8655311519497983
M,fold2,0.639357328414917,0.9666666666666667,0.15733259916305542,0.94
S,fold2,0.6091454029083252,,0.17051272094249725,
R,fold2,-31.73565680953275,,14.28113260529062,
X,fold2,-32.55812072753906,,14.639936447143555,
S,fold2,-30.679843070058844,,13.820527336007501,
S,fold2,,0.95,,0.9062011464304325
R,fold2,,0.95,,0.9062011464304325
X,fold2,,0.9333333333333333,,0.88
S,fold2,,0.9333333333333333,,0.869281045751634
M,fold3,0.475327730178833,0.9833333333333333,0.1807205229997635,0.9804623901009444
S,fold3,0.49255049228668213,,0.174788236618042,
R,fold3,-49.13686971326855,,17.26937269280927,
X,fold3,-49.203369140625,,17.292278289794922,
S,fold3,-48.662010497016986,,17.10581001271053,
S,fold3,,0.9666666666666667,,0.9603174603174602
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.9666666666666667,,0.9603174603174602
S,fold3,,0.8833333333333333,,0.8477709314969192
M,fold4,0.6590819954872131,0.9333333333333333,0.12181076407432556,0.9282296650717703
S,fold4,0.6498873233795166,,0.12509603798389435,
R,fold4,-52.43976785966411,,19.094148193869525,
X,fold4,-52.65361022949219,,19.170555114746094,
S,fold4,-52.763167869159226,,19.20969973824402,
S,fold4,,0.9333333333333333,,0.9282296650717703
R,fold4,,0.9333333333333333,,0.9282296650717703
X,fold4,,0.9166666666666666,,0.9093929326487467
S,fold4,,0.8333333333333334,,0.8074454428754814
M,fold5,0.3363800644874573,0.9491525423728814,0.3411998152732849,0.9238709677419354
S,fold5,0.3029627799987793,,0.3583812713623047,
R,fold5,-31.936913428484267,,16.934494660558,
X,fold5,-32.09608459472656,,17.016334533691406,
S,fold5,-31.0050822417682,,16.455394204158285,
S,fold5,,0.9491525423728814,,0.9238709677419354
R,fold5,,0.9661016949152542,,0.9531746031746031
X,fold5,,0.9491525423728814,,0.927960927960928
S,fold5,,0.9661016949152542,,0.9506688963210703
