,,accuracy,accuracy,Loss,Loss
,,EC,crop,EC,crop
method,fold,,,,
M,fold1,0.44509565830230713,0.7833333333333333,0.0008839009678922594,0.7226643726643726
S,fold1,0.4240191578865051,,0.0009174735168926418,
R,fold1,-0.02392605420484184,,0.0016310003993414408,
X,fold1,-0.018887758255004883,,0.0016229749890044332,
S,fold1,-0.0983219306039631,,0.0017495047616613868,
S,fold1,,0.7333333333333333,,0.6572012643441215
R,fold1,,0.7166666666666667,,0.6152930402930402
X,fold1,,0.7833333333333333,,0.7361463932892504
S,fold1,,0.7166666666666667,,0.5702380952380952
M,fold2,0.49204039573669434,0.8833333333333333,0.0017247345531359315,0.8639061421670118
S,fold2,0.5737220644950867,,0.0014473912306129932,
R,fold2,0.04123050921505833,,0.0032554218458670935,
X,fold2,0.04100996255874634,,0.0032561710104346275,
S,fold2,0.016094856436060123,,0.003340767858598359,
S,fold2,,0.8666666666666667,,0.8445837978446675
R,fold2,,0.8166666666666667,,0.7449147790984527
X,fold2,,0.75,,0.7056180767464609
S,fold2,,0.7833333333333333,,0.6066849816849818
M,fold3,0.4825025796890259,0.8666666666666667,0.0012479738797992468,0.8197115384615384
S,fold3,0.48981839418411255,,0.0012303313706070185,
R,fold3,-0.00499803108559882,,0.002423608557129189,
X,fold3,0.003433823585510254,,0.002403274876996875,
S,fold3,-0.06372346505215609,,0.0025652282020241454,
S,fold3,,0.8666666666666667,,0.818444055944056
R,fold3,,0.8166666666666667,,0.5891233766233765
X,fold3,,0.8666666666666667,,0.8238163300663301
S,fold3,,0.8,,0.5005411255411255
M,fold4,0.635513424873352,0.8666666666666667,0.0008382787345908582,0.7859896194613801
S,fold4,0.1016741394996643,,0.0020660499576479197,
R,fold4,0.03393745673469506,,0.0022218366214769732,
X,fold4,0.03248792886734009,,0.00222517061047256,
S,fold4,-0.03324695232227248,,0.0023763533051799927,
S,fold4,,0.85,,0.7462198654059119
R,fold4,,0.7833333333333333,,0.6420989862850328
X,fold4,,0.8,,0.6006106321839081
S,fold4,,0.7833333333333333,,0.5354944796805262
M,fold5,0.3838275074958801,0.7796610169491526,0.0018175054574385285,0.612169080919081
S,fold5,0.4127562642097473,,0.0017321751220151782,
R,fold5,0.03637552003928013,,0.0028423738531070724,
X,fold5,0.04330801963806152,,0.002821925561875105,
S,fold5,0.004634231617877016,,0.00293600016724617,
S,fold5,,0.8135593220338984,,0.6108753035582304
R,fold5,,0.7288135593220338,,0.4501595666409153
X,fold5,,0.847457627118644,,0.6847639149468417
S,fold5,,0.8135593220338984,,0.5022321428571428
