,,accuracy,accuracy,Loss,Loss
,,pH,crop,pH,crop
method,fold,,,,
M,fold1,0.7011606693267822,0.7333333333333333,0.1250484138727188,0.6270205984491699
S,fold1,0.7019854187965393,,0.1247033104300499,
R,fold1,-35.59369403223627,,15.31252097718257,
X,fold1,-35.355892181396484,,15.213014602661133,
S,fold1,-35.57844028977399,,15.306138094622847,
S,fold1,,0.6833333333333333,,0.5423909423909424
R,fold1,,0.7,,0.5760846296560581
X,fold1,,0.7833333333333333,,0.7361463932892504
S,fold1,,0.7166666666666667,,0.5702380952380952
M,fold2,0.6470835208892822,0.85,0.13561047613620758,0.8478980322003578
S,fold2,0.6185304522514343,,0.14658215641975403,
R,fold2,-41.3385719594943,,16.26887177772718,
X,fold2,-41.86612319946289,,16.471586227416992,
S,fold2,-41.2578145792661,,16.237840228876298,
S,fold2,,0.7333333333333333,,0.6772395405048466
R,fold2,,0.8166666666666667,,0.736954711954712
X,fold2,,0.75,,0.7056180767464609
S,fold2,,0.7833333333333333,,0.6066849816849818
M,fold3,0.6187540292739868,0.65,0.14201804995536804,0.39583333333333337
S,fold3,0.5496948957443237,,0.1677432656288147,
R,fold3,-45.71172744761401,,17.400600466067772,
X,fold3,-45.652862548828125,,17.37866973876953,
S,fold3,-45.90273175649345,,17.471751541990535,
S,fold3,,0.9,,0.8656195777906305
R,fold3,,0.75,,0.4573051948051948
X,fold3,,0.8666666666666667,,0.8238163300663301
S,fold3,,0.8,,0.5005411255411255
M,fold4,0.8304526805877686,0.85,0.05931572616100311,0.7197669765580651
S,fold4,0.8166070580482483,,0.0641595870256424,
R,fold4,-54.38927201174359,,19.3778050018847,
X,fold4,-54.02666473388672,,19.250947952270508,
S,fold4,-53.92719093646212,,19.216147037324934,
S,fold4,,0.8,,0.5934726126586591
R,fold4,,0.7833333333333333,,0.6420989862850328
X,fold4,,0.8,,0.6006106321839081
S,fold4,,0.7833333333333333,,0.5354944796805262
M,fold5,0.4961639642715454,0.7627118644067796,0.2887466549873352,0.5101674972314507
S,fold5,0.4555531144142151,,0.31202057003974915,
R,fold5,-25.847739372241932,,15.386342597882171,
X,fold5,-26.2779483795166,,15.632895469665527,
S,fold5,-25.76024215038052,,15.336198255624645,
S,fold5,,0.6610169491525424,,0.48267614738202974
R,fold5,,0.7627118644067796,,0.5914772727272728
X,fold5,,0.847457627118644,,0.6847639149468417
S,fold5,,0.8135593220338984,,0.5022321428571428
