,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss,Loss,Loss
,,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC
method,fold,,,,,,,,,,,,
M,fold1,0.6427086001229918,0.6611492522286019,0.718387369444907,0.7373580307859693,0.8449499494844785,0.6529389569497085,1.1485623121261597,0.2768712639808655,45.05013656616211,10.66748046875,0.24456310272216797,0.025332920253276825
M,fold1,0.640765564499989,0.6119049036427541,0.7033875964176914,0.7332271705789237,0.8194760848787158,0.6615487975275031,1.087539792060852,0.3207520842552185,47.80092239379883,10.92725658416748,0.277220755815506,0.025496860966086388
S,fold1,0.6138016946225704,,,,,,1.0894132852554321,,,,,
R,fold1,0.6252278009143528,,,,,,1.0955473130534579,,,,,
X,fold1,0.43315165837741426,,,,,,1.340421438217163,,,,,
S,fold1,0.6841540395137273,,,,,,0.880454472728062,,,,,
S,fold1,,0.6803006975312345,,,,,,0.31902140378952026,,,,
R,fold1,,0.4056254611452576,,,,,,0.3020106843316872,,,,
X,fold1,,0.30525497171051746,,,,,,0.2799331247806549,,,,
S,fold1,,0.6592548760198499,,,,,,0.2315135820877433,,,,
S,fold1,,,0.6952255507045376,,,,,,52.11637496948242,,,
R,fold1,,,0.620274793762531,,,,,,52.23062228151571,,,
X,fold1,,,0.5497806783863323,,,,,,53.29713439941406,,,
S,fold1,,,0.702511693521519,,,,,,44.1126563724231,,,
S,fold1,,,,0.671934992921887,,,,,,11.720760345458984,,
R,fold1,,,,0.6610644088452554,,,,,,12.66519386314113,,
X,fold1,,,,0.6136025647258164,,,,,,13.700155258178711,,
S,fold1,,,,0.6854176426452536,,,,,,11.965129771529075,,
S,fold1,,,,,0.8471823687837384,,,,,,0.2733181416988373,
R,fold1,,,,,0.8361612351564995,,,,,,0.2513583110250696,
X,fold1,,,,,0.7825401956481226,,,,,,0.2992951273918152,
S,fold1,,,,,0.8388467129795297,,,,,,0.24808579148466178,
S,fold1,,,,,,0.6202349908720343,,,,,,0.026804888620972633
R,fold1,,,,,,0.6201194478041544,,,,,,0.02507666698332252
X,fold1,,,,,,0.5608315180602124,,,,,,0.027211306616663933
S,fold1,,,,,,0.7110512422328076,,,,,,0.02169084460048348
M,fold2,0.8048096711413483,0.795103150359172,0.7070326006876693,0.5802616157883133,0.8324860506249487,0.8052976690516068,1.0184178352355957,0.32246077060699463,44.57060623168945,13.168920516967773,0.27776193618774414,0.025013690814375877
M,fold2,0.8043752638318798,0.8243288582129513,0.6898502908142169,0.5871732809054683,0.8259003799174313,0.7997387173385876,1.0563563108444214,0.3135295808315277,47.1452751159668,13.338107109069824,0.2673455774784088,0.024735979735851288
S,fold2,0.778101186531731,,,,,,1.0761877298355103,,,,,
R,fold2,0.7582649029684316,,,,,,1.174439776928712,,,,,
X,fold2,0.7572086083932943,,,,,,1.2280603647232056,,,,,
S,fold2,0.7502190959901057,,,,,,1.1651117732544352,,,,,
S,fold2,,0.8180586516519892,,,,,,0.30167776346206665,,,,
R,fold2,,0.5884058192977126,,,,,,0.3897900556860158,,,,
X,fold2,,0.6131933655340932,,,,,,0.38861772418022156,,,,
S,fold2,,0.7868876736844919,,,,,,0.3053520041551559,,,,
