,,accuracy,accuracy,Loss,Loss
,,EC,NH4.N,EC,NH4.N
method,fold,,,,
M,fold1,0.40124189853668213,0.49218350648880005,0.0009537551668472588,0.13458995521068573
S,fold1,0.27774059772491455,,0.0011504790745675564,
R,fold1,-0.022311961040525352,,0.0016284293283302445,
X,fold1,-0.018887758255004883,,0.0016229749890044332,
S,fold1,-0.0983219306039631,,0.0017495047616613868,
S,fold1,,0.5550244450569153,,0.11793481558561325
R,fold1,,-2.7504023357772587,,0.9939939638984957
X,fold1,,-2.235938310623169,,0.8576421141624451
S,fold1,,-1.9480510655121681,,0.7813414940656812
M,fold2,0.5241767168045044,0.6837901473045349,0.0016156182391569018,0.18242265284061432
S,fold2,0.49510133266448975,,0.00171434145886451,
R,fold2,0.04073160143431531,,0.0032571158456283647,
X,fold2,0.04100996255874634,,0.0032561710104346275,
S,fold2,0.016094856436060123,,0.003340767858598359,
S,fold2,,0.7438639402389526,,0.1477658599615097
R,fold2,,-0.7390015567845463,,1.0032365862528654
X,fold2,,-0.8408052921295166,,1.0619674921035767
S,fold2,,-0.30768411696609577,,0.7544079211912393
M,fold3,0.5158663988113403,0.6381007432937622,0.0011675151763483882,0.1760978400707245
S,fold3,0.5014941096305847,,0.0012021748116239905,
R,fold3,-0.006521439078841729,,0.0024272823400961407,
X,fold3,0.003433823585510254,,0.002403274876996875,
S,fold3,-0.06372346505215609,,0.0025652282020241454,
S,fold3,,0.6374163627624512,,0.1764308363199234
R,fold3,,-0.8356921738112948,,0.893235902428432
X,fold3,,-0.7616612911224365,,0.8572129607200623
S,fold3,,-0.46099764358993567,,0.7109119749137317
M,fold4,0.5482208728790283,0.4586142301559448,0.0010390420211479068,0.6151477694511414
S,fold4,0.5255515575408936,,0.0010911788558587432,
R,fold4,0.03508057636597128,,0.0022192075732055086,
X,fold4,0.03248792886734009,,0.00222517061047256,
S,fold4,-0.03324695232227248,,0.0023763533051799927,
S,fold4,,0.4989853501319885,,0.5692761540412903
R,fold4,,0.17645843233074066,,0.9357462657311956
X,fold4,,0.12898612022399902,,0.9896866083145142
S,fold4,,0.07824093570219881,,1.0473455575067563
M,fold5,0.4488292932510376,0.5422993898391724,0.0016257716342806816,0.3420461416244507
S,fold5,0.3142032027244568,,0.0020228740759193897,
R,fold5,0.03786270253529256,,0.0028379871560799933,
X,fold5,0.04330801963806152,,0.002821925561875105,
S,fold5,0.004634231617877016,,0.00293600016724617,
S,fold5,,0.4890184998512268,,0.38186371326446533
R,fold5,,0.07875089820698666,,0.6884624999636832
X,fold5,,0.007307648658752441,,0.7418531179428101
S,fold5,,0.10615053638406136,,0.6679863623362216
