,,accuracy,accuracy,Loss,Loss
,,EC,crop,EC,crop
method,fold,,,,
M,fold1,-0.16153287887573242,0.4166666666666667,0.0018501929007470608,0.36224489795918363
S,fold1,0.23253679275512695,,0.001222483697347343,
R,fold1,-0.0234620052350758,,0.0016302612209096639,
X,fold1,-0.018887758255004883,,0.0016229749890044332,
S,fold1,-0.0983219306039631,,0.0017495047616613868,
S,fold1,,0.7,,0.5425850340136054
R,fold1,,0.7,,0.6094224924012159
X,fold1,,0.7833333333333333,,0.7361463932892504
S,fold1,,0.7166666666666667,,0.5702380952380952
M,fold2,0.40241312980651855,0.5333333333333333,0.002029056428000331,0.46020173586676044
S,fold2,0.25936323404312134,,0.002514770720154047,
R,fold2,0.04072457912429217,,0.003257139689296397,
X,fold2,0.04100996255874634,,0.0032561710104346275,
S,fold2,0.016094856436060123,,0.003340767858598359,
S,fold2,,0.4,,0.125
R,fold2,,0.8333333333333334,,0.7759157509157509
X,fold2,,0.75,,0.7056180767464609
S,fold2,,0.7833333333333333,,0.6066849816849818
M,fold3,0.2601165771484375,0.48333333333333334,0.0017842701636254787,0.2749917654808959
S,fold3,0.33548957109451294,,0.0016025039367377758,
R,fold3,-0.005114488063323153,,0.002423889399597552,
X,fold3,0.003433823585510254,,0.002403274876996875,
S,fold3,-0.06372346505215609,,0.0025652282020241454,
S,fold3,,0.36666666666666664,,0.17267857142857143
R,fold3,,0.8166666666666667,,0.6316352897748246
X,fold3,,0.8666666666666667,,0.8238163300663301
S,fold3,,0.8,,0.5005411255411255
M,fold4,0.42514103651046753,0.7166666666666667,0.001322111813351512,0.4077888519748984
S,fold4,0.34614676237106323,,0.0015037900302559137,
R,fold4,0.034055748102682415,,0.002221564564460343,
X,fold4,0.03248792886734009,,0.00222517061047256,
S,fold4,-0.03324695232227248,,0.0023763533051799927,
S,fold4,,0.7,,0.3812841997264022
R,fold4,,0.7833333333333333,,0.6420989862850328
X,fold4,,0.8,,0.6006106321839081
S,fold4,,0.7833333333333333,,0.5354944796805262
M,fold5,0.34090495109558105,0.6610169491525424,0.0019441128242760897,0.3318337024732374
S,fold5,0.38091039657592773,,0.0018261100631207228,
R,fold5,0.03801658270242603,,0.0028375332604259626,
X,fold5,0.04330801963806152,,0.002821925561875105,
S,fold5,0.004634231617877016,,0.00293600016724617,
S,fold5,,0.4067796610169492,,0.29794372294372296
R,fold5,,0.7627118644067796,,0.46336221917617265
X,fold5,,0.847457627118644,,0.6847639149468417
S,fold5,,0.8135593220338984,,0.5022321428571428
