,,accuracy,accuracy,Loss,Loss
,,Humus,CEC,Humus,CEC
method,fold,,,,
M,fold1,0.4540882706642151,0.4765781760215759,5.816490173339844,38.4119873046875
S,fold1,0.49280762672424316,,5.40394926071167,
R,fold1,-41.478123018314534,,452.5889042481521,
X,fold1,-41.27936553955078,,450.47119140625,
S,fold1,-32.48909074706687,,356.81404470124636,
S,fold1,,0.437481164932251,,41.28117370605469
R,fold1,,-637.2846776853928,,46841.344647308586
X,fold1,,-650.85888671875,,47837.5078125
S,fold1,,-563.7049577047793,,41441.601957005165
M,fold2,0.45662981271743774,0.41932594776153564,4.845297813415527,49.75349426269531
S,fold2,0.42280906438827515,,5.146881580352783,
R,fold2,-59.58883457157562,,540.278014876879,
X,fold2,-51.0634765625,,464.25634765625,
S,fold2,-45.88071285923712,,418.041024533655,
