,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,crop,pref,pH,crop,pref
method,fold,,,,,,
M,fold1,0.6683334112167358,0.7166666666666667,0.8166666666666667,0.13878488540649414,0.63,0.7528080148363167
S,fold1,0.6876899600028992,,,0.1306852102279663,,
R,fold1,-35.735302786272406,,,15.371776733510993,,
X,fold1,-35.355892181396484,,,15.213014602661133,,
S,fold1,-35.57844028977399,,,15.306138094622847,,
S,fold1,,0.7,,,0.5619111947379424,
R,fold1,,0.6833333333333333,,,0.5729959559746794,
X,fold1,,0.7833333333333333,,,0.7361463932892504,
S,fold1,,0.7166666666666667,,,0.5702380952380952,
S,fold1,,,0.8333333333333334,,,0.7688672438672438
R,fold1,,,0.7333333333333333,,,0.5786810411810412
X,fold1,,,0.8833333333333333,,,0.7994200244200244
S,fold1,,,0.7166666666666667,,,0.49360670194003525
M,fold2,0.6401921510696411,0.7166666666666667,0.85,0.13825850188732147,0.6171376242804814,0.8313888888888888
S,fold2,0.5492638349533081,,,0.17319829761981964,,
R,fold2,-41.51586655920097,,,16.336998381342223,,
X,fold2,-41.86612319946289,,,16.471586227416992,,
S,fold2,-41.2578145792661,,,16.237840228876298,,
S,fold2,,0.75,,,0.5877169931517757,
R,fold2,,0.8,,,0.7431486880466471,
X,fold2,,0.75,,,0.7056180767464609,
S,fold2,,0.7833333333333333,,,0.6066849816849818,
S,fold2,,,0.8,,,0.7430383769669483
R,fold2,,,0.8166666666666667,,,0.7247276688453158
X,fold2,,,0.8,,,0.7387110904968047
S,fold2,,,0.7,,,0.44412249176400115
M,fold3,0.5304052829742432,0.8166666666666667,0.8333333333333334,0.17492887377738953,0.7390782828282828,0.8243014561196381
S,fold3,0.5830939412117004,,,0.1553017944097519,,
R,fold3,-45.88411311575877,,,17.464815906201668,,
X,fold3,-45.652862548828125,,,17.37866973876953,,
S,fold3,-45.90273175649345,,,17.471751541990535,,
S,fold3,,0.8166666666666667,,,0.6335467045993362,
R,fold3,,0.7833333333333333,,,0.5923687423687424,
X,fold3,,0.8666666666666667,,,0.8238163300663301,
S,fold3,,0.8,,,0.5005411255411255,
S,fold3,,,0.85,,,0.7955135773317591
R,fold3,,,0.7166666666666667,,,0.4986518111518112
X,fold3,,,0.7833333333333333,,,0.6268781723327178
S,fold3,,,0.7166666666666667,,,0.5485696122059758
M,fold4,0.8122208714485168,0.85,0.8333333333333334,0.06569408625364304,0.7513841688895432,0.8188542938542939
S,fold4,0.69573575258255,,,0.10644613206386566,,
R,fold4,-54.40138818249174,,,19.382043815387743,,
X,fold4,-54.02666473388672,,,19.250947952270508,,
S,fold4,-53.92719093646212,,,19.216147037324934,,
S,fold4,,0.7666666666666667,,,0.6393778978496586,
R,fold4,,0.7833333333333333,,,0.6420989862850328,
X,fold4,,0.8,,,0.6006106321839081,
S,fold4,,0.7833333333333333,,,0.5354944796805262,
S,fold4,,,0.8666666666666667,,,0.8361787611787612
R,fold4,,,0.7833333333333333,,,0.7326479076479077
X,fold4,,,0.8333333333333334,,,0.7837092731829575
S,fold4,,,0.6333333333333333,,,0.41746344879415176
M,fold5,0.4574284553527832,0.6779661016949152,0.7457627118644068,0.3109458386898041,0.4536919221129747,0.7020174270174272
S,fold5,0.4508433938026428,,,0.31471970677375793,,
R,fold5,-25.987719229836866,,,15.46656454938045,,
X,fold5,-26.2779483795166,,,15.632895469665527,,
S,fold5,-25.76024215038052,,,15.336198255624645,,
S,fold5,,0.7457627118644068,,,0.4951788407670761,
R,fold5,,0.7966101694915254,,,0.6184752747252747,
X,fold5,,0.847457627118644,,,0.6847639149468417,
S,fold5,,0.8135593220338984,,,0.5022321428571428,
S,fold5,,,0.7966101694915254,,,0.7668026418026418
R,fold5,,,0.6779661016949152,,,0.6358796296296296
X,fold5,,,0.7457627118644068,,,0.7287006974506974
S,fold5,,,0.7288135593220338,,,0.5847703222703222
